model,r2,mse,rmse,mae
linear,-436.65031394495384,3231.3621972150454,38.4824866364385,2.447382907421159
ridge,-0.1937726843349854,8.831325070758638,2.95364405336381,1.979352922110619
lasso,-0.00022105426461229704,7.417575778963344,2.723483567052619,2.069483887428959
enet,0.0015456297562476795,7.404478627662238,2.7210775546270343,2.067439722671718
xgb,0.175808516376789,6.1115127355237835,2.472126543645662,1.870064530406402
lgbm,0.1799283151176206,6.08083759570062,2.4659303760830444,1.862631797079997
catboost,0.18261716225789354,6.060991161388258,2.461903952562514,1.8593468195358134
nn1,0.0918115462648793,6.734894500774499,2.595004185588777,1.9329200670800417
nn2,0.11115583860858777,6.590888794138392,2.567182783712422,1.9255662083304017
nn3,0.12206682482317206,6.5099699355612675,2.5514374533323356,1.9321154881438614
