model,r2,mse,rmse,mae
linear,551.562930703414,4054.7608475139846,41.83850403027547,0.5393001946539631
ridge,0.28103434749873063,1.9838366853790699,0.32758491538414897,0.007244588773514622
lasso,0.00019100402203449138,0.07948507575092849,0.014595854126580177,0.015117942396391972
enet,0.000625769835185354,0.07989332269872852,0.014682280721849086,0.015269227966976565
xgb,0.01049345324543885,0.05024190797337757,0.010153212611598619,0.010667592226619936
lgbm,0.010120272100771823,0.024658846140716995,0.004997600580002098,0.005501630741592231
catboost,0.008907230548274553,0.022090926337338463,0.004482158556912287,0.00829618731812375
nn1,0.01904140186205208,0.15084473200524295,0.029116619845461593,0.011392152660274144
nn2,0.01749449046298796,0.11069633172981153,0.02147903975813282,0.01136066256377809
nn3,0.012179391697556765,0.05966292472551436,0.011698602235878918,0.006002595961104241
