feature,importance,feature_category
x_FCFP,-21.240119131005113,5.0
x_STO,19.686829743775927,1.0
x_CFP,4.399970476921325,5.0
x_BP,-2.828000037177455,5.0
x_CashP,0.5376519725318023,5.0
x_OCFAst_2,0.4320397994578402,4.0
x_AdjFwdFCFPC,-0.428690100496638,5.0
x_IndRel_SUEC,0.32391197578259545,3.0
x_EPSNumRevFY1C,0.3232029723001757,3.0
x_CapExToAst,-0.28758639528659247,6.0
x_AdjFwdEPC,0.25245195005847476,5.0
x_EBITDAEV,-0.19140635803290657,5.0
x_LogAssets,-0.18783366496040288,7.0
x_LogTTMSales,0.18498787454276844,7.0
x_52WVPT20DLag,-0.17020646396792782,1.0
x_CFEV,0.16008924169924604,5.0
x_CashAst,0.15746435919149654,5.0
x_LTDA,-0.1536957170649007,6.0
x_CFAst,-0.15236998424372628,4.0
x_RevEstDisp,-0.1331866501958796,3.0
x_DivP,-0.1257729786884323,5.0
x_130DMinRtn,-0.12549510451857993,8.0
x_IndRel_NCAP,-0.12192850275368672,5.0
x_IndRel_AssetTurn,-0.11825468620517021,4.0
x_LogUnadjPrice,0.10784792284801442,1.0
x_AnnVol1M,-0.10142683279632592,8.0
x_CQPTTMCFtoSales,-0.09863081996122758,2.0
x_ConsQPosChginTTMCF,0.09581263182279415,2.0
x_IO_InvDuration,0.09342875183685972,1.0
x_StdErr180D,0.09320845435841107,1.0
x_24MResRtnVar,-0.089849022850363,1.0
x_IndRel_AstP,-0.0821817175310744,5.0
x_IndRel_EP,0.08189281940140858,5.0
x_ShortIntRatio,-0.07892058691953696,1.0
x_PM6M,0.07699515284550529,1.0
x_IndRel_EPSEstDispFY1C,-0.07688923069590187,3.0
x_IndRel_EBITDAEV,0.07502208749561329,5.0
x_IndRel_OEP,-0.07350832295830179,5.0
x_TobinQ,0.07245164854493535,6.0
x_PrcTo260DL,0.07091717015334797,1.0
x_IndRel_LTDA,0.07072162711094943,6.0
x_ConsQPosChgTTMEPS,-0.06614037970713284,2.0
x_IO_BreadthStabHD,-0.06513680106153785,1.0
x_STO_6M,0.06473001788983207,1.0
x_InvToAst,0.062084560744283646,4.0
x_IndRel_OCFEV,0.05996634561311731,5.0
x_IndRel_TobinQ,-0.058159029090993575,6.0
x_IndRel_FCFEV,-0.05777866542953114,5.0
x_AnnVol12M,0.05598925018101042,8.0
x_IndRel_CashAst,-0.055895773523436,5.0
x_SUEC,0.05561344409889968,3.0
x_Rev3MFY2C,-0.053189714195434945,3.0
x_CVVolPrc30D,-0.0508482959251807,1.0
x_IO_Level,-0.049732935460098826,1.0
x_IndRel_EBITDAP,-0.04948868302362408,5.0
x_IndRel_DivP,0.04788625731277163,5.0
x_AdjEPSNumRevFY2C,0.04756403263210718,3.0
x_IndRel_PAdjChg1YEPS,-0.046180128471253745,2.0
x_AdjSTO_6M,0.04552316228170661,1.0
x_AdjRev3MFY1C,0.04521496680858372,3.0
x_PM1M,0.04446894001845947,1.0
x_AstAdjChg1YCF,0.04425434302790176,2.0
x_IndRel_OEA,0.04402762363000068,4.0
x_IndRel_MaxRetPayoff,-0.043532151882081205,1.0
x_calendarquarter,0.043387938860317554,
x_IO_Level_AM,0.043263160128330314,1.0
x_IndRel_ChgSalesMargin,-0.04276097352420383,4.0
x_AssetTurn_2,-0.04268585225269489,4.0
x_SharpeRatio,-0.04197012179169518,1.0
x_60MAVGTTMROA,0.04193104730220172,6.0
x_IndRel_CapExToAst,0.04118656292080536,6.0
x_IndRel_ShareChg,-0.04076469592636639,6.0
x_Chg1YAmihud,0.04074518189753995,8.0
x_CQDOHtoSales,0.040538604716984894,2.0
x_IndRel_FwdFCFPC,-0.04036333910322809,5.0
x_EPSToOCFChg,-0.038704910622868766,4.0
x_WCAccruals,-0.03834396569388768,4.0
x_IndRel_PTMargin,-0.03776091729884856,6.0
x_Alpha60M,-0.037437098670296876,1.0
x_MVEToTL,-0.035833152663640955,6.0
x_IO_ChgofNumBY,-0.033177095944659785,1.0
x_SalesToEPSChg,0.033009278201020384,4.0
x_6MChgTgtPrcGapEMA,0.03295626322736926,3.0
x_EPSStab,-0.03262482473916442,2.0
x_AdjAstAdjChg1YFCF,-0.032602493765910026,2.0
x_RskAdjRS,0.032523893344174055,1.0
x_SEV,0.031988409059327455,5.0
x_IO_BreadthStabBY,0.031514992267160036,1.0
x_IndRel_PM6M,-0.03149301746782851,1.0
x_5DMoneyFlowVol,0.03145724131044269,1.0
x_AdjRevMagC,0.030665257020605186,3.0
x_ShareChg,0.03021786570919338,6.0
x_IndRel_PM12M1M,0.029957227404312725,1.0
x_IndRel_DA,-0.029882750950988246,6.0
x_IndRel_BP,0.029780209040734418,5.0
x_PrcTo52WH,0.029417732682894382,1.0
x_IndRel_ShortIntTrdVol,-0.02936600236948772,1.0
x_14DayRSI,0.02896646624010657,1.0
x_PA52WL20DLag,-0.027666537242303835,1.0
x_DebtChg1Y,0.02759698560231738,6.0
x_IndRel_FCFEqt,0.026974008008474715,5.0
x_InvToAstChg1Y,-0.02479426667151241,4.0
x_AstGrwth,-0.024647136162279367,6.0
x_IndRel_RONA,-0.024217610545329255,5.0
x_PSlopeSERR_26W,-0.02382730640294728,1.0
x_CQDRItoSales,-0.02370703923291409,2.0
x_EPSEstDispFY2C,-0.023433690581186606,3.0
x_IndRel_InvToAsset,0.023224602403026484,4.0
x_FCFEqt,-0.022834900956974657,5.0
x_IO_ChgofIO_HF,0.022510870287406615,1.0
x_IndRel_PM5D,0.02228720225075112,1.0
x_IndRel_CFROIC,-0.020846064095639827,6.0
x_AstAdjChg1YOCF,-0.020375833822901757,2.0
x_IndRel_FwdEPC,-0.020347899705617983,5.0
x_IndRel_Chg1YOPM,0.020013055180009814,2.0
x_GPMargin,-0.019983741001626032,4.0
x_PM9M,-0.019421994299672063,1.0
x_CapAcqRatio,0.019387273137841,6.0
x_DepToCapex,0.019381145892719553,4.0
x_IndRel_TotalAccruals,0.019261507323017568,4.0
x_Chg1YOPM,-0.01917975249018916,2.0
x_IndRel_GPMargin,-0.018662877025053592,4.0
x_Chg1YTurnover,-0.01853825625503025,1.0
x_IndRel_Chg1YOCF,0.018047611838256927,2.0
x_Chg1YLTDA,0.018044328879479377,2.0
x_RecTurn,-0.017940668849999925,6.0
x_PAdjChg1YEPS,0.017804433721306523,2.0
x_IndRel_ROE,-0.01760144489337656,6.0
x_6MAvgChg1MRecC,-0.01741606446971722,3.0
x_IndRel_AccrualRatioBS,0.017072959903660506,4.0
x_60MAVGTTMROE,-0.016872704990882934,6.0
x_EPSEstDispFY1C,0.016606687188772673,3.0
x_AccrualRatioCF,-0.016232180036901356,4.0
x_IO_NAT,-0.01621196245866452,1.0
x_AdjAccruals,0.01605340130665453,4.0
x_AdjEBITDAEV,-0.015671035934454347,5.0
x_SalesAcc,0.015379842330830062,2.0
x_IndRel_SP,-0.015268251484800821,5.0
x_ROEStab,-0.015145349141697947,2.0
x_6MChgTgtPrcGap,0.015144737996878734,3.0
x_90DCV,-0.013969757817294398,8.0
x_IO_ChgofIO_AM,-0.012459754776501658,1.0
x_IndRel_WCAccruals,0.012350356327217038,4.0
x_IndRel_LTDE,-0.012132216952909163,6.0
x_Adj50DVolSig,-0.012075508419401138,8.0
x_IndRel_RecTurn,0.012008864932027352,6.0
x_AstAdjChg3YEPS,-0.011983670581417605,2.0
x_SalesToInvCap,0.011606290569274147,4.0
x_IndRel_InvToAst,-0.011567633346803441,4.0
x_CashAdjEV,0.011417123195259338,5.0
