feature,importance,feature_category
x_EBITEstDisp,10.182243301019572,3.0
x_AdjFwdEPC,6.074517320618479,5.0
x_SUEC,4.860554195200209,3.0
x_EPSEstDispFY1C,4.171537830452116,3.0
x_EPSEstDispFY2C,2.9903626479918963,3.0
x_AdjRevMagC,2.595924980072264,3.0
x_RevMagFY1C,2.108763838966346,3.0
x_AdjEBITP,1.9945384264850097,5.0
x_AdjEPSNumRevFY1C,1.9464890067208243,3.0
x_IndRel_EPSEstDispFY1C,1.3684343100371705,3.0
x_AnnVol12M,1.2201799579210673,8.0
x_IndRel_EPSSurpC,1.060585538296847,3.0
x_PrcTo260DL,0.9869574754081119,1.0
x_PA52WL20DLag,0.8890618849151922,1.0
x_EPSNumRevFY1C,0.876447765013646,3.0
x_24MResRtnVar,0.8117947677722829,1.0
x_EBITMargin,0.7874567456771429,4.0
x_MaxRetPayoff,0.7797792864893927,1.0
x_IO_Level_AM,0.7135079150726416,1.0
x_CashEV,0.69871580769399,5.0
x_AdjEBITDAEV,0.6968461819437457,5.0
x_IndRel_AdjAccruals,0.6768759157231582,4.0
x_IndRel_PM5D,0.6682306228141615,1.0
x_PTIToNOA,0.6469358153654787,4.0
x_Rev3MFY2C,0.6353395150673034,3.0
x_InvToAstChg1Y,0.6172558788166046,4.0
x_SalesToEPSChg,0.594233938265799,4.0
x_SEV,0.5927026926185357,5.0
x_AdjRev3MFY1C,0.5907073172933409,3.0
x_Beta60M,0.5874849704570815,8.0
x_ShortIntRatio,0.5818629366442115,1.0
x_Alpha60M,0.5767299029783334,1.0
x_LogTTMSales,0.574063667170758,7.0
x_AdjFwdFCFPC,0.5711479651741075,5.0
x_Chg1YOPM,0.5656238232317119,2.0
x_REToAst_2,0.5594382543641501,4.0
x_PAdjChg1YEPS,0.5297852839008234,2.0
x_IndRel_RONA,0.5081397455956835,5.0
x_IndRel_ShareChg,0.4693293830268206,6.0
x_CapExToAst,0.4675383385136992,6.0
x_AdjEPSNumRevFY2C,0.4645351591872094,3.0
x_Chg4QSalesTrend,0.46300625217025404,2.0
x_IndRel_CashP,0.46219619293965475,5.0
x_RevEstDisp,0.45890324209259886,3.0
x_CFP,0.45185441669483606,5.0
x_IO_InvDuration,0.4478557207130606,1.0
x_LogUnadjPrice,0.44723921688549145,1.0
x_EPSToOCFChg,0.4342974321021607,4.0
x_CashBurn,0.4328091061848025,4.0
x_12QTrendTTMEPS,0.4214619882492288,2.0
x_IndRel_PM12M1M,0.4189170923420804,1.0
x_RONA,0.4094606319658417,5.0
x_Chg1YROA,0.40408628345097103,2.0
x_calendarquarter,0.40291862765693576,
x_IndRel_PTMargin,0.4004301886236151,6.0
x_RskAdjRS,0.39507877480984493,1.0
x_IO_Concentration,0.3939540694508847,1.0
x_IndRel_FwdFCFPC,0.38973930441942045,5.0
x_PM1M,0.3886392074876509,1.0
x_IO_BreadthStabHD,0.3833807820358214,1.0
x_IndRel_Chg1YOCF,0.383038354167501,2.0
x_Chg1YOCF,0.3808432540002441,2.0
x_IndRel_PM1M,0.38060909875538984,1.0
x_IndRel_EP,0.37586504452988356,5.0
x_DivToCF,0.36920744705965947,5.0
x_AstAdjChg3YEPS,0.36772842010860574,2.0
x_CashAdjEV,0.3611079493337393,5.0
x_130DMinRtn,0.36076807094256147,8.0
x_IndRel_TotalAccruals,0.36055712221253294,4.0
x_CashP,0.35862748906039965,5.0
x_BVEV,0.3574243688257348,5.0
x_EPSStab,0.3514833984117031,2.0
x_IndRel_CFEV,0.3485483912338328,5.0
x_IndRel_ShortIntTrdVol,0.3470588337138902,1.0
x_CFIC,0.34478406985729243,4.0
x_ChgSalestoChgEPS,0.3433767317278411,4.0
x_ROA_2,0.34334906345043426,6.0
x_IndRel_PAdjChg1YEPS,0.33128560514411154,2.0
x_ChgATO_2,0.32461766386746665,2.0
x_IndRel_SolvencyRatio,0.32088533240166506,5.0
x_IO_ChgofNumBY,0.3154639677276734,1.0
x_SalesAcc,0.3104707057089351,2.0
x_BuyToSellRecLess3MEMA,0.30896215089560636,3.0
x_90DCV,0.30843851418584195,8.0
x_ChgSalesMargin,0.30438366575459413,4.0
x_RecTurn,0.30387730962642884,6.0
x_PM5D,0.30045413450780717,1.0
x_52WVPT20DLag,0.2984926574089046,1.0
x_STO_6M,0.29600401054077546,1.0
x_BP,0.2901985863661245,5.0
x_Chg1YAmihud,0.28606581101291706,8.0
x_PrcTo52WH,0.2828999554803416,1.0
x_IndRel_PTIP,0.2806713307959836,5.0
x_Chg1YLTDA,0.28017132561594826,2.0
x_Chg3YOPM,0.2793445007948692,2.0
x_IndRel_AccrualRatioCF,0.27792158887412266,4.0
x_60MAVGTTMROA,0.2732456234488907,6.0
x_PSlopeSERR_26W,0.27112816625744957,1.0
x_IndRel_OEA,0.2703501027560248,4.0
x_FCFP,0.2681216390427297,5.0
x_60MAVGTTMROE,0.26694659129770704,6.0
x_AdjChgEPStoSales,0.26658957865721306,4.0
x_ETO,0.2664635076878014,4.0
x_GPMargin,0.2655783997796759,4.0
x_IndRel_PM6M,0.2616419805547837,1.0
x_AdjAccruals,0.2594934826554222,4.0
x_UnexpectedRecChg,0.25924258353250934,4.0
x_CapAcqRatio,0.2571179901019798,6.0
x_IndRel_BP,0.25645802558800035,5.0
x_LogAssets,0.2546753849236712,7.0
x_IndRel_SUEC,0.24898468252404765,3.0
x_IndRel_OCFEV,0.2478634829347374,5.0
x_CVVolPrc20D,0.24746785141645125,1.0
x_WCAccruals,0.2465873729754786,4.0
x_6MChgTgtPrcGapEMA,0.24453949035870828,3.0
x_IndRel_OEP,0.24223158945484943,5.0
x_SalesToInvCap,0.24172524930421466,4.0
x_AnnVol1M,0.23647509842977807,8.0
x_SharpeRatio,0.23609517141909547,1.0
x_ConsQPosChgTTMEPS,0.2354532646642177,2.0
x_4To52WPrcOsc,0.2322827386892606,1.0
x_IndRel_WCAccruals,0.2315582711827529,4.0
x_IndRel_DivP,0.2298654967187593,5.0
x_CVVolPrc60D,0.22651374043874292,1.0
x_IO_BreadthStabBY,0.22599586698721616,1.0
x_EBITDAEV,0.22567150162784932,5.0
x_DepToCapex,0.22162157434680468,4.0
x_IndRel_CFROIC,0.22102651676676013,6.0
x_CashAst,0.21746583278895423,5.0
x_IndRel_DebtChg1Y,0.2137288760673823,6.0
x_PM9M,0.2119478214886321,1.0
x_MVEToTL,0.21142079611875175,6.0
x_FCFEqt,0.20601061272582752,5.0
x_IO_Foreign,0.20579271466817206,1.0
x_TobinQ,0.204979859670675,6.0
x_IO_StabofChgHD,0.20370794101710732,1.0
x_PAdjChg3YEPS,0.2023963129968115,2.0
x_DivP,0.19821871025156534,5.0
x_ConsQPosChginTTMCF,0.19532630063548664,2.0
x_IndRel_DepToCapex,0.194062989700359,4.0
x_IndRel_PAdjChg1YSales,0.19379757664449743,2.0
x_ShareChg,0.1931250999166137,6.0
x_IndRel_CashAst,0.19077721745646817,5.0
x_IndRel_AccrualRatioBS,0.18978532068808354,4.0
x_IndRel_NCAP,0.18841122378421302,5.0
x_Alpha36M6MPChg,0.18289675694550844,1.0
x_IndRel_AstP,0.17879163625297198,5.0
x_OCFAst_2,0.17804969334611145,4.0
x_PAdjChg1YSales,0.17790336932271436,2.0
x_InvToAst,0.17775081568337422,4.0
x_HL1M,0.17676985903581854,1.0
x_IndRel_GPMargin,0.17442198487259233,4.0
x_IndRel_CFP,0.17367222575735988,5.0
x_IndRel_LTDA,0.1728007715491116,6.0
x_CashCycle,0.17240391212307293,4.0
x_CVVolPrc30D,0.17206764263592417,1.0
x_PAdjChg1YOCF,0.17063163417575075,2.0
x_PAdjChg3YSales,0.17053189552984493,2.0
x_6MChgTgtPrc,0.17018637438741638,3.0
x_PM6M,0.162976319465948,1.0
x_5DMoneyFlowVol,0.1613935673267049,1.0
x_IndRel_LTDE,0.15935619723694974,6.0
x_InvToAsset,0.1580788465829205,4.0
x_IO_Level,0.15628985435117237,1.0
x_IndRel_Chg1YOPM,0.15496520864540642,2.0
x_AstAdjChg1YCF,0.1546326870912938,2.0
x_IndRel_EBITDAP,0.15230584770365563,5.0
x_LTDA,0.14938433817861752,6.0
x_IndRel_InvToAst,0.14330192238372408,4.0
x_IndRel_MaxRetPayoff,0.14322703647714688,1.0
x_IndRel_TobinQ,0.14312309147621044,6.0
x_AssetTurn_2,0.14262005763624552,4.0
x_IndRel_PM9M,0.1417408303260197,1.0
x_IndRel_FwdEPC,0.1408057636060853,5.0
x_AccrualRatioBS,0.13962518266155868,4.0
x_IndRel_OCFP,0.1393304611000501,5.0
x_AstGrwth,0.13826204586925098,6.0
x_IndRel_SP,0.13542585825416828,5.0
x_52WSlope,0.13468433267865756,1.0
x_FL,0.13164890848010116,6.0
x_6MChgTgtPrcGap,0.12941302673385308,3.0
x_IndRel_SEV,0.12855913288310367,5.0
x_CFAst,0.12753714312787992,4.0
x_IndRel_AssetTurn,0.12482922969919248,4.0
x_IndRel_FCFEqt,0.12015573206161839,5.0
x_StdErr180D,0.11876427956169214,1.0
x_5DVolSig,0.1183902614723213,1.0
x_DebtChg1Y,0.1174809506014055,6.0
x_YoYChgDA,0.11460100284657129,8.0
x_AccrualRatioCF,0.11347256628363282,4.0
x_IndRel_FCFP,0.11221729554063169,5.0
x_IndRel_EBITDAEV,0.11090045485687719,5.0
x_IndRel_EPSToSalesChg1Y,0.11008162590165582,4.0
x_AdjAstAdjChg1YFCF,0.10786695628231244,2.0
x_Chg1YTurnover,0.10678882299717246,1.0
x_CQDOHtoSales,0.10501117118861078,2.0
x_IndRel_ROIC,0.10227739616841001,6.0
x_IndRel_CashCycle,0.10159722695910031,4.0
x_HL52W,0.100137938096002,1.0
x_IndRel_RecTurn,0.09937781658398123,6.0
x_AstAdjChg1YOCF,0.09927682920124725,2.0
x_IndRel_CapExToAst,0.09404720195805974,6.0
x_Alpha12M6MPChg,0.09362400081340498,1.0
x_CFEV,0.09224141714318192,5.0
x_ROE,0.09203263184759937,6.0
x_IndRel_CashEV,0.0902489200452864,5.0
x_14DayRSI,0.08990954100666369,1.0
x_IndRel_FCFEV,0.08868273253064558,5.0
x_IndRel_ROE,0.08795456261984096,6.0
x_IndRel_ChgSalesMargin,0.08690003388381343,4.0
x_IndRel_ROA,0.08392483798444068,6.0
x_IndRel_InvToAsset,0.08260154326553945,4.0
x_IO_ChgofIO_AM,0.07652855320666607,1.0
x_IO_TO,0.07636077599117669,1.0
x_AdjSTO_6M,0.07406832180204415,1.0
x_IO_NAT,0.0733465002696656,1.0
x_6MAvgChg1MRecC,0.06904223222859204,3.0
x_IndRel_DA,0.05824303929760294,6.0
x_ROEStab,0.05274316914705145,2.0
x_STO,0.03382660831542269,1.0
x_Alpha18M6MPChg,0.02798076672738399,1.0
x_CQPTTMCFtoSales,0.02752878761354744,2.0
x_IO_ChgofIO_HF,0.026439611422469745,1.0
x_Adj50DVolSig,0.020400875775652864,8.0
x_RelPrStr_12M,0.006687559410857567,1.0
x_CQDRItoSales,0.0,2.0
