feature,importance,feature_category
x_STO,-255.47511084556314,1.0
x_BP,123.25997508060611,5.0
x_52WVPT20DLag,101.45737965435174,1.0
x_CFP,56.89386465742411,5.0
x_FCFP,-21.23762836916168,5.0
x_AdjFwdFCFPC,-6.155997955706045,5.0
x_PA52WL20DLag,2.89674882403997,1.0
x_AdjFwdEPC,-2.75804249740909,5.0
x_EBITMargin,-2.596525527971091,4.0
x_GPMargin,2.40781071553472,4.0
x_AnnVol12M,2.343896885532927,8.0
x_LogTTMSales,2.09189576723774,7.0
x_CashAst,1.5997882691336345,5.0
x_CashP,1.575556041373073,5.0
x_CFAst,-1.3532224457955624,4.0
x_IndRel_OCFEV,1.2691076923810138,5.0
x_LogAssets,-1.2339929501949842,7.0
x_CapExToAst,-1.1882519609616342,6.0
x_IndRel_SUEC,1.1663755440554477,3.0
x_ConsQPosChgTTMEPS,-1.1492812916259298,2.0
x_EPSNumRevFY1C,1.0980259538794206,3.0
x_PrcTo260DL,-1.0635310149903328,1.0
x_IndRel_FCFEV,-1.056791919428894,5.0
x_AssetTurn_2,-1.0511315275683293,4.0
x_IndRel_EPSEstDispFY1C,1.0319820866274498,3.0
x_InvToAst,0.9941397869723165,4.0
x_IO_Level_AM,-0.912387820178574,1.0
x_IndRel_PTIP,-0.842064462419627,5.0
x_IndRel_AssetTurn,0.8378754416366864,4.0
x_AdjEPSNumRevFY1C,0.7775125286880518,3.0
x_IndRel_CapExToAst,0.772846777823949,6.0
x_STO_6M,0.7492197167962881,1.0
x_DivP,-0.7011369075811252,5.0
x_PM9M,-0.6477955127906698,1.0
x_LTDA,0.6419759526068106,6.0
x_RevMagFY1C,-0.6416533126636386,3.0
x_AdjRevMagC,0.6122651879273697,3.0
x_4To52WPrcOsc,-0.6103348686773709,1.0
x_IndRel_AstP,0.604291029994687,5.0
x_Chg1YOPM,0.6024497511165543,2.0
x_CQPTTMCFtoSales,0.5838517448317858,2.0
x_PM1M,0.5724145040587929,1.0
x_IndRel_LTDA,-0.5687363815861581,6.0
x_AdjSTO_6M,0.5656003580682887,1.0
x_MaxRetPayoff,0.5641532078721225,1.0
x_CQDOHtoSales,0.55437353209533,2.0
x_IndRel_ROA,0.5478312998948636,6.0
x_IO_Concentration,0.547425351184182,1.0
x_IndRel_TobinQ,-0.5433467024534668,6.0
x_ConsQPosChginTTMCF,-0.5412082165208716,2.0
x_PM6M,0.5347558473935079,1.0
x_52WSlope,0.5296229940979991,1.0
x_AdjChgEPStoSales,0.5280464776159193,4.0
x_SharpeRatio,-0.523521452730727,1.0
x_WCAccruals,-0.5230478061575077,4.0
x_IndRel_TotalAccruals,0.5035288544904932,4.0
x_IndRel_Chg1YOPM,-0.5016841331313395,2.0
x_IndRel_PAdjChg1YSales,0.49573515343465197,2.0
x_AstGrwth,-0.4873114908831031,6.0
x_SalesToEPSChg,0.48532905295889517,4.0
x_OCFAst_2,-0.47563837851092494,4.0
x_ETO,-0.4753101841835585,4.0
x_IndRel_EP,0.47025676103095737,5.0
x_EPSEstDispFY1C,0.47000801713029294,3.0
x_StdErr180D,-0.4622451927084654,1.0
x_IndRel_ChgSalesMargin,-0.4531918074728507,4.0
x_CFEV,0.4377499208908171,5.0
x_DebtChg1Y,0.4352424316102099,6.0
x_RevEstDisp,0.4343160735203083,3.0
x_AstAdjChg1YCF,0.41748331967341956,2.0
x_24MResRtnVar,-0.4108051036007083,1.0
x_CVVolPrc30D,-0.405279132499351,1.0
x_UnexpectedRecChg,0.39611519689761265,4.0
x_PSlopeSERR_26W,0.3913873978067297,1.0
x_6MChgTgtPrc,-0.38178027867492936,3.0
x_Chg1YLTDA,0.38135170607851276,2.0
x_IndRel_EPSSurpC,0.36840228017619947,3.0
x_RelPrStr_12M,-0.3683822641439485,1.0
x_CQDRItoSales,0.3614498088467333,2.0
x_EPSToOCFChg,-0.3598842494440404,4.0
x_CashEV,-0.3589145307755104,5.0
x_PrcTo52WH,-0.3385396152119844,1.0
x_IndRel_PM6M,-0.3270211224190974,1.0
x_PAdjChg1YOCF,-0.3241402191815047,2.0
x_calendarquarter,0.3225324072214254,
x_CashAdjEV,-0.31846521546657613,5.0
x_EBITEstDisp,0.31495592076974716,3.0
x_IndRel_DepToCapex,0.3147717564495204,4.0
x_130DMinRtn,-0.31475177652574793,8.0
x_IndRel_CashP,0.3089371926555631,5.0
x_IO_InvDuration,0.2990826427038489,1.0
x_AdjEBITP,-0.2947416196419694,5.0
x_IndRel_OEP,0.2943717258111189,5.0
x_IndRel_OEA,-0.2919379243078456,4.0
x_IndRel_CFP,0.29004031481646364,5.0
x_IndRel_Chg1YOCF,0.28285745384980987,2.0
x_IndRel_GPMargin,-0.27247336517948395,4.0
x_ROEStab,-0.27168649988815696,2.0
x_InvToAstChg1Y,-0.2656597886054799,4.0
x_AstAdjChg1YOCF,0.25694488767059565,2.0
x_IndRel_EBITDAEV,-0.2564306022647609,5.0
x_IndRel_FCFP,0.25507802920707057,5.0
x_TobinQ,0.249716020295711,6.0
x_5DMoneyFlowVol,0.24493238539555917,1.0
x_IndRel_SolvencyRatio,-0.2410633177531467,5.0
x_Rev3MFY2C,0.24044421658448512,3.0
x_InvToAsset,-0.23232865628144483,4.0
x_IndRel_OCFP,-0.2316208947511874,5.0
x_IO_BreadthStabBY,-0.23124589620231562,1.0
x_IO_StabofChgHD,-0.23076760618500103,1.0
x_IndRel_RecTurn,0.22584059274766133,6.0
x_IndRel_SEV,-0.22245339883453852,5.0
x_IndRel_PM1M,0.22016302943827792,1.0
x_IndRel_FwdEPC,0.2188285990187589,5.0
x_PM5D,0.214923817483103,1.0
x_5DVolSig,0.2126630450754213,1.0
x_IndRel_ROIC,-0.21228378716281204,6.0
x_HL1M,-0.20420853237161188,1.0
x_ChgSalestoChgEPS,0.20161928675175556,4.0
x_IndRel_EBITDAP,-0.20050512745952181,5.0
x_IndRel_DA,-0.1993648305640987,6.0
x_IndRel_PM9M,0.19604671987255928,1.0
x_ShortIntRatio,0.1923370036071792,1.0
x_IndRel_PM12M1M,-0.18663605273671702,1.0
x_IndRel_NCAP,0.18481002400010235,5.0
x_IO_Foreign,-0.18372094339020772,1.0
x_IO_Level,0.18323927197319279,1.0
x_Alpha60M,-0.18187705995445597,1.0
x_IndRel_InvToAst,-0.17975017504292437,4.0
x_ROE,0.17791703618042776,6.0
x_IndRel_ShortIntTrdVol,-0.17651926631450532,1.0
x_LogUnadjPrice,-0.17351060724235362,1.0
x_IndRel_CashEV,0.17216249439741405,5.0
x_90DCV,-0.16941921949251815,8.0
x_IO_ChgofNumBY,-0.1673371020769886,1.0
x_IndRel_InvToAsset,0.1652845238347529,4.0
x_SUEC,0.16404955604746196,3.0
x_IndRel_MaxRetPayoff,-0.16023676137284334,1.0
x_IndRel_CashCycle,-0.15801737697562168,4.0
x_IndRel_FCFEqt,0.15769349095495544,5.0
x_SalesAcc,0.1561265053504347,2.0
x_CapAcqRatio,0.15596777979694276,6.0
x_YoYChgDA,-0.15424707641641877,8.0
x_BuyToSellRecLess3MEMA,0.15225885794305716,3.0
x_ShareChg,0.14744836539061412,6.0
x_AdjEBITDAEV,-0.14649161375119069,5.0
x_IndRel_FwdFCFPC,-0.14632198426070936,5.0
x_HL52W,0.14555863699778637,1.0
x_Chg1YOCF,-0.1448358273338663,2.0
x_FCFEqt,0.143538633886515,5.0
x_PAdjChg3YSales,0.1412155676156975,2.0
x_IndRel_AccrualRatioCF,0.14005811410395452,4.0
x_IndRel_BP,-0.13913932211371238,5.0
x_IndRel_AdjAccruals,0.1371553396651778,4.0
x_IndRel_ShareChg,0.1368848575672898,6.0
x_FL,-0.13533554106871243,6.0
x_IndRel_SP,-0.12757354920941705,5.0
x_CashBurn,0.1235146838716778,4.0
x_PAdjChg1YSales,0.12289633463616967,2.0
x_AccrualRatioCF,0.12289409893896042,4.0
x_AccrualRatioBS,-0.11958354914881014,4.0
x_6MChgTgtPrcGapEMA,0.11545272660725375,3.0
x_Chg1YROA,0.11317996196320201,2.0
x_PTIToNOA,-0.1124629739421637,4.0
x_IndRel_PM5D,0.11209408704293583,1.0
x_12QTrendTTMEPS,0.11110302250868231,2.0
x_Chg1YAmihud,0.10966339874707343,8.0
x_RecTurn,-0.10746190687578085,6.0
x_IO_BreadthStabHD,-0.1061006745993884,1.0
x_BVEV,0.10375960795788763,5.0
x_IndRel_CFEV,0.09388414724554861,5.0
x_CashCycle,0.09348487332042694,4.0
x_Chg1YTurnover,-0.09069639029036636,1.0
x_AdjRev3MFY1C,-0.08973098828856951,3.0
x_Adj50DVolSig,0.08790305129105391,8.0
x_EPSStab,0.08592159103967001,2.0
x_Chg3YOPM,-0.08338391610375401,2.0
x_IO_TO,-0.07943131175364493,1.0
x_SalesToInvCap,-0.07627397950240566,4.0
x_EPSEstDispFY2C,0.07558782130177918,3.0
x_AdjAstAdjChg1YFCF,0.07349035386563818,2.0
x_PAdjChg1YEPS,0.0707153885109324,2.0
x_IO_ChgofIO_HF,0.07055884701276444,1.0
x_IndRel_DebtChg1Y,0.06828985714621161,6.0
x_EBITDAEV,0.06489458991265101,5.0
x_60MAVGTTMROA,-0.06318022871802252,6.0
x_AnnVol1M,-0.06208191980537725,8.0
x_IndRel_WCAccruals,-0.05895567670609247,4.0
x_AstAdjChg3YEPS,-0.055904704705640906,2.0
x_60MAVGTTMROE,0.05498899355903886,6.0
x_ChgSalesMargin,-0.05478754964202959,4.0
x_6MAvgChg1MRecC,0.054603467132499084,3.0
x_6MChgTgtPrcGap,0.05275712520371054,3.0
x_AdjEPSNumRevFY2C,0.05255405084571674,3.0
x_IndRel_CFROIC,0.04203219310699624,6.0
x_IndRel_AccrualRatioBS,0.04132246256330302,4.0
x_Alpha18M6MPChg,-0.03698563041553804,1.0
x_IO_ChgofIO_AM,0.03485095888751788,1.0
x_CVVolPrc60D,-0.03389481690006879,1.0
x_ChgATO_2,-0.032572716614963804,2.0
x_DivToCF,0.03113590172258901,5.0
x_CFIC,-0.030927910038039075,4.0
x_SEV,0.027348351818529792,5.0
x_Alpha36M6MPChg,-0.025067343025531763,1.0
x_DepToCapex,-0.023084875005305636,4.0
x_IndRel_LTDE,0.023059664919856004,6.0
x_Beta60M,0.022862210628325108,8.0
x_Alpha12M6MPChg,0.022257730246683094,1.0
x_IndRel_RONA,-0.02221736326020618,5.0
x_IO_NAT,-0.02188041688369835,1.0
x_14DayRSI,0.021473442404292165,1.0
x_RONA,-0.02106172484391189,5.0
x_RskAdjRS,0.020773628390343912,1.0
x_REToAst_2,0.020174986486796165,4.0
x_PAdjChg3YEPS,0.018763917217582804,2.0
x_ROA_2,-0.017814850873157262,6.0
x_AdjAccruals,0.015323791307896184,4.0
x_MVEToTL,-0.01059592262960174,6.0
x_IndRel_PTMargin,-0.00834512641670404,6.0
x_CVVolPrc20D,-0.006725327797509673,1.0
x_IndRel_CashAst,-0.004406722084165038,5.0
x_IndRel_EPSToSalesChg1Y,0.00420582573889583,4.0
x_IndRel_ROE,-0.002691263619479689,6.0
x_IndRel_DivP,0.0006788530290698369,5.0
x_Chg4QSalesTrend,-0.0005923538383110771,2.0
x_IndRel_PAdjChg1YEPS,0.00047424427749881426,2.0
