feature,importance,feature_category
x_BP,26.938439256949497,5.0
x_STO,-21.054236706021605,1.0
x_FCFP,-20.093391672948528,5.0
x_CFP,12.457588919796155,5.0
x_AdjFwdFCFPC,-3.752378416402375,5.0
x_52WVPT20DLag,3.5406152085858835,1.0
x_PA52WL20DLag,2.994844342567599,1.0
x_AdjFwdEPC,-2.6861979936193605,5.0
x_EBITMargin,-2.5315488606949788,4.0
x_GPMargin,2.330082434451588,4.0
x_AnnVol12M,2.319396286248007,8.0
x_CashP,2.2856854248650547,5.0
x_LogTTMSales,1.6547509325256595,7.0
x_CashAst,1.4548250828154055,5.0
x_CFAst,-1.3786052025058204,4.0
x_IndRel_OCFEV,1.3182378187086017,5.0
x_ConsQPosChgTTMEPS,-1.195262304735492,2.0
x_IndRel_SUEC,1.1818256903631845,3.0
x_IndRel_FCFEV,-1.1137681593272775,5.0
x_EPSNumRevFY1C,1.1088078530640233,3.0
x_CapExToAst,-1.1083252565105572,6.0
x_PrcTo260DL,-1.0572028822270796,1.0
x_InvToAst,1.0310915381538421,4.0
x_IndRel_EPSEstDispFY1C,1.0157372605824184,3.0
x_AssetTurn_2,-0.9907762383676831,4.0
x_IO_Level_AM,-0.876570893725821,1.0
x_IndRel_AssetTurn,0.8689145268316897,4.0
x_IndRel_PTIP,-0.8390922899156406,5.0
x_IndRel_CapExToAst,0.8009999840488004,6.0
x_AdjEPSNumRevFY1C,0.7779272584521888,3.0
x_STO_6M,0.7686603553652583,1.0
x_LogAssets,-0.6962587477718025,7.0
x_MaxRetPayoff,0.6721199901419981,1.0
x_DivP,-0.6444346198304267,5.0
x_PM9M,-0.6412559391171614,1.0
x_RevMagFY1C,-0.6288829818713005,3.0
x_IndRel_AstP,0.6254994140440928,5.0
x_AdjSTO_6M,0.6158756941341124,1.0
x_Chg1YOPM,0.6019667271835208,2.0
x_52WSlope,0.5740241295651181,1.0
x_AdjRevMagC,0.5733205805939577,3.0
x_CQPTTMCFtoSales,0.5667725143230518,2.0
x_CQDOHtoSales,0.5616136930105614,2.0
x_OCFAst_2,-0.5608379489840187,4.0
x_SharpeRatio,-0.5607285375220117,1.0
x_4To52WPrcOsc,-0.5567011600935249,1.0
x_IndRel_PAdjChg1YSales,0.5477525465870101,2.0
x_PM1M,0.545982750315038,1.0
x_IO_Concentration,0.5458273615490813,1.0
x_IndRel_TobinQ,-0.5454722904051607,6.0
x_IndRel_ROA,0.5453683963382429,6.0
x_IndRel_LTDA,-0.5428529307552794,6.0
x_StdErr180D,-0.5320608797935296,1.0
x_PM6M,0.5303749689184515,1.0
x_AdjChgEPStoSales,0.5263773864236322,4.0
x_AstGrwth,-0.5139190145523318,6.0
x_IndRel_TotalAccruals,0.5102491599879642,4.0
x_IndRel_Chg1YOPM,-0.5071689414503096,2.0
x_ConsQPosChginTTMCF,-0.5061448246808835,2.0
x_LTDA,0.5006080934497132,6.0
x_CFEV,0.49983027207374353,5.0
x_WCAccruals,-0.49581267098645243,4.0
x_SalesToEPSChg,0.49459044200096114,4.0
x_IndRel_EP,0.49106107927588116,5.0
x_ETO,-0.48293652028739953,4.0
x_EPSEstDispFY1C,0.4775246840448551,3.0
x_RevEstDisp,0.4569826719865524,3.0
x_IndRel_ChgSalesMargin,-0.4487106241212082,4.0
x_DebtChg1Y,0.43997506225295113,6.0
x_AstAdjChg1YCF,0.413103312279134,2.0
x_Chg1YLTDA,0.4002128977470606,2.0
x_24MResRtnVar,-0.3913883763042738,1.0
x_UnexpectedRecChg,0.3908517818068541,4.0
x_CQDRItoSales,0.3900818534351255,2.0
x_IndRel_EPSSurpC,0.38730861564680114,3.0
x_PSlopeSERR_26W,0.37646926793542257,1.0
x_CashEV,-0.3654954699757103,5.0
x_6MChgTgtPrc,-0.36428309577441353,3.0
x_CVVolPrc30D,-0.3636007443422752,1.0
x_EPSToOCFChg,-0.3586093124171991,4.0
x_PAdjChg1YOCF,-0.3344785515127268,2.0
x_calendarquarter,0.3257755311633362,
x_RelPrStr_12M,-0.3254369091126457,1.0
x_IndRel_PM6M,-0.3227674195467893,1.0
x_CashAdjEV,-0.31851745885617794,5.0
x_IndRel_CFP,0.3172955504634511,5.0
x_EBITEstDisp,0.3147248868609363,3.0
x_IndRel_DepToCapex,0.31042593536868857,4.0
x_IndRel_OEP,0.30592977892551243,5.0
x_LogUnadjPrice,-0.3045471740405527,1.0
x_IndRel_EBITDAEV,-0.29731300443833747,5.0
x_IndRel_OEA,-0.29711435620848226,4.0
x_IndRel_GPMargin,-0.2955411720708412,4.0
x_IO_InvDuration,0.2951940974031417,1.0
x_PrcTo52WH,-0.2943420642854071,1.0
x_InvToAstChg1Y,-0.28917502159784714,4.0
x_IndRel_CashP,0.2889493472763208,5.0
x_ROEStab,-0.28688265658505574,2.0
x_IndRel_Chg1YOCF,0.2849126264375015,2.0
x_AstAdjChg1YOCF,0.27641962734069775,2.0
x_AdjEBITP,-0.2750078621309264,5.0
x_IndRel_FCFP,0.2601186868453832,5.0
x_TobinQ,0.2591027936191594,6.0
x_IndRel_SolvencyRatio,-0.24981516330515618,5.0
x_5DMoneyFlowVol,0.2457027826955219,1.0
x_IndRel_RecTurn,0.24209270546481185,6.0
x_IO_BreadthStabBY,-0.23463142693169525,1.0
x_IndRel_PM1M,0.23031852395016905,1.0
x_IndRel_InvToAst,-0.22903922014697434,4.0
x_IO_StabofChgHD,-0.2281624353898914,1.0
x_IndRel_OCFP,-0.22692568256765183,5.0
x_IndRel_ROIC,-0.21804911706587743,6.0
x_InvToAsset,-0.21786195219366497,4.0
x_IndRel_SEV,-0.2102286240102938,5.0
x_5DVolSig,0.20933829745167887,1.0
x_IndRel_EBITDAP,-0.20845460634343016,5.0
x_IndRel_FwdEPC,0.20521101702161695,5.0
x_HL1M,-0.20109706771226982,1.0
x_IndRel_NCAP,0.19817442007713593,5.0
x_ChgSalestoChgEPS,0.19800738224125006,4.0
x_IndRel_PM9M,0.19335146978611392,1.0
x_IO_Foreign,-0.18853459041388734,1.0
x_PM5D,0.1849874203827326,1.0
x_IndRel_DA,-0.18497437380847292,6.0
x_Alpha60M,-0.1846398746751222,1.0
x_IndRel_CashEV,0.18239772618897357,5.0
x_ROE,0.18044503365858997,6.0
x_IO_Level,0.17528354720855885,1.0
x_YoYChgDA,-0.17498928473970798,8.0
x_90DCV,-0.17212261154848002,8.0
x_ShareChg,0.1688525890214017,6.0
x_130DMinRtn,-0.16809599610809883,8.0
x_IndRel_PM12M1M,-0.16719344500020034,1.0
x_IndRel_FwdFCFPC,-0.16696822442149892,5.0
x_IndRel_FCFEqt,0.1657661553146031,5.0
x_CapAcqRatio,0.1637115846834819,6.0
x_BuyToSellRecLess3MEMA,0.161174779759498,3.0
x_SUEC,0.16103561407178618,3.0
x_IO_ChgofNumBY,-0.16066371884436936,1.0
x_SalesAcc,0.16031520046154024,2.0
x_IndRel_InvToAsset,0.15776145000962538,4.0
x_IndRel_SP,-0.1530499229301535,5.0
x_AdjEBITDAEV,-0.15006367529465148,5.0
x_IndRel_ShareChg,0.15005337927566625,6.0
x_Chg1YOCF,-0.14990259160186833,2.0
x_FCFEqt,0.14452749593506,5.0
x_PAdjChg3YSales,0.14429447899903475,2.0
x_IndRel_MaxRetPayoff,-0.144187373769813,1.0
x_IndRel_ShortIntTrdVol,-0.14377498905134814,1.0
x_HL52W,0.1430876049172257,1.0
x_ShortIntRatio,0.1403107524992764,1.0
x_FL,-0.13194414069555724,6.0
x_IndRel_PM5D,0.13151437590865755,1.0
x_IndRel_AccrualRatioCF,0.1308617706952893,4.0
x_IndRel_AdjAccruals,0.1302252752724368,4.0
x_CashBurn,0.1293236759814141,4.0
x_AccrualRatioCF,0.1268011241456789,4.0
x_IndRel_CashCycle,-0.12643231314485043,4.0
x_AccrualRatioBS,-0.12060901178262559,4.0
x_PAdjChg1YSales,0.11993904015638537,2.0
x_Chg1YTurnover,-0.11971225086858782,1.0
x_Chg1YROA,0.11680992928601064,2.0
x_6MChgTgtPrcGapEMA,0.11661988042012796,3.0
x_Rev3MFY2C,0.11485454421861171,3.0
x_PTIToNOA,-0.11296713384892296,4.0
x_RecTurn,-0.11000608086041888,6.0
x_12QTrendTTMEPS,0.10817088852361217,2.0
x_BVEV,0.105045379232747,5.0
x_IndRel_CFEV,0.10048857711053256,5.0
x_Adj50DVolSig,0.0972710350405165,8.0
x_IO_BreadthStabHD,-0.09548313986355997,1.0
x_AdjRev3MFY1C,-0.09378391188785958,3.0
x_EPSEstDispFY2C,0.09164973601635644,3.0
x_AdjAstAdjChg1YFCF,0.08876810529558728,2.0
x_CashCycle,0.08782652496291962,4.0
x_Chg1YAmihud,0.08737510047484627,8.0
x_Chg3YOPM,-0.08720073924024345,2.0
x_SalesToInvCap,-0.08694653774626478,4.0
x_EPSStab,0.08292988515295822,2.0
x_IO_TO,-0.08063096476771721,1.0
x_EBITDAEV,0.07851348986933947,5.0
x_IndRel_CashAst,0.07193186991138004,5.0
x_PAdjChg1YEPS,0.06933249279203084,2.0
x_IO_ChgofIO_HF,0.06766143587591553,1.0
x_IndRel_DebtChg1Y,0.06754853232005512,6.0
x_60MAVGTTMROE,0.06689439870827857,6.0
x_60MAVGTTMROA,-0.062416217573738844,6.0
x_ChgSalesMargin,-0.05875703570690605,4.0
x_REToAst_2,0.057390480353061574,4.0
x_IndRel_WCAccruals,-0.05575717869365802,4.0
x_AdjEPSNumRevFY2C,0.055282707027526266,3.0
x_6MChgTgtPrcGap,0.05346420030456022,3.0
x_ChgATO_2,-0.05192336177427544,2.0
x_IndRel_BP,-0.046282961484044115,5.0
x_CVVolPrc60D,-0.04517794208219726,1.0
x_6MAvgChg1MRecC,0.04375791729417865,3.0
x_IndRel_CFROIC,0.04156633200283214,6.0
x_SEV,0.03930088203855338,5.0
x_AstAdjChg3YEPS,-0.0392343643377326,2.0
x_CFIC,-0.03802800864081616,4.0
x_DivToCF,0.03786180024486006,5.0
x_Alpha18M6MPChg,-0.03439671360569232,1.0
x_IO_ChgofIO_AM,0.03384967115671023,1.0
x_IndRel_AccrualRatioBS,0.03350224567715548,4.0
x_RskAdjRS,0.032117246122007545,1.0
x_RONA,-0.030134366126625154,5.0
x_14DayRSI,0.02765772625665513,1.0
x_IndRel_PTMargin,-0.02711320146663952,6.0
x_IO_NAT,-0.02522634870791922,1.0
x_IndRel_DivP,-0.02346473144943874,5.0
x_Alpha12M6MPChg,0.02315290917980045,1.0
x_Alpha36M6MPChg,-0.022389225882309793,1.0
x_ROA_2,-0.021844316493168484,6.0
x_PAdjChg3YEPS,0.020452369056320644,2.0
x_IndRel_RONA,-0.01940264057967672,5.0
x_DepToCapex,-0.019200948619539932,4.0
x_IndRel_ROE,-0.017711000182163858,6.0
x_Beta60M,0.01744233301074278,8.0
x_IndRel_LTDE,-0.01420462071898684,6.0
x_Chg4QSalesTrend,0.012818265543508487,2.0
x_AdjAccruals,0.007602393592016934,4.0
x_AnnVol1M,-0.0067043977195389804,8.0
x_CVVolPrc20D,-0.006063094913477823,1.0
x_MVEToTL,-0.005498487131035233,6.0
x_IndRel_EPSToSalesChg1Y,0.0033312214336848342,4.0
x_IndRel_PAdjChg1YEPS,-0.002743296959439924,2.0
