feature,importance,feature_category
x_AdjEBITP,0.037121836,5.0
x_EBITEstDisp,0.018297466,3.0
x_AdjFwdEPC,0.01754948,5.0
x_SUEC,0.014075568,3.0
x_AdjRevMagC,0.011650937,3.0
x_AnnVol12M,0.011052428,8.0
x_PrcTo260DL,0.010470561,1.0
x_EBITMargin,0.009361716,4.0
x_RevMagFY1C,0.008492398,3.0
x_AdjEPSNumRevFY1C,0.008383057,3.0
x_AdjRev3MFY1C,0.0072655156,3.0
x_EPSEstDispFY2C,0.007214901,3.0
x_AdjEPSNumRevFY2C,0.006963937,3.0
x_CFAst,0.0068217693,4.0
x_EPSEstDispFY1C,0.00655298,3.0
x_AdjEBITDAEV,0.0064523113,5.0
x_IndRel_ShareChg,0.006391855,6.0
x_EPSNumRevFY1C,0.005914215,3.0
x_IndRel_EPSSurpC,0.0058811517,3.0
x_IndRel_PM1M,0.005764305,1.0
x_DivToCF,0.00572268,5.0
x_IndRel_FCFEV,0.005669511,5.0
x_CashP,0.005577189,5.0
x_IndRel_CFEV,0.0055414354,5.0
x_CashAdjEV,0.0055011194,5.0
x_CashEV,0.005430318,5.0
x_IO_BreadthStabHD,0.0054207775,1.0
x_EBITDAEV,0.0053818505,5.0
x_YoYChgDA,0.0053736414,8.0
x_SalesToInvCap,0.0052128257,4.0
x_PA52WL20DLag,0.005208244,1.0
x_DepToCapex,0.005208172,4.0
x_LTDA,0.0051768348,6.0
x_MaxRetPayoff,0.00508528,1.0
x_IndRel_EP,0.0050165537,5.0
x_IndRel_PAdjChg1YEPS,0.004977318,2.0
x_AdjFwdFCFPC,0.0049675177,5.0
x_24MResRtnVar,0.0049122768,1.0
x_InvToAsset,0.004910568,4.0
x_PAdjChg1YEPS,0.0048953365,2.0
x_ChgSalestoChgEPS,0.004892942,4.0
x_PTIToNOA,0.004889808,4.0
x_IndRel_CashP,0.004885932,5.0
x_InvToAst,0.0048814737,4.0
x_MVEToTL,0.004877459,6.0
x_IO_Level,0.0048734276,1.0
x_IndRel_PM5D,0.0048244894,1.0
x_IndRel_PTIP,0.004815514,5.0
x_Chg1YOPM,0.004638076,2.0
x_PAdjChg1YOCF,0.0046087485,2.0
x_StdErr180D,0.004605709,1.0
x_CashCycle,0.0045814724,4.0
x_ROE,0.0045564123,6.0
x_IndRel_WCAccruals,0.0045515806,4.0
x_ConsQPosChgTTMEPS,0.0045453343,2.0
x_6MChgTgtPrcGap,0.004537832,3.0
x_IO_Level_AM,0.0045221993,1.0
x_CFP,0.0045219962,5.0
x_IndRel_OCFEV,0.004472381,5.0
x_IndRel_PM12M1M,0.0044528553,1.0
x_ETO,0.004446195,4.0
x_DivP,0.0044262,5.0
x_IndRel_OCFP,0.004415796,5.0
x_Chg1YLTDA,0.0043914644,2.0
x_IndRel_SP,0.0043758266,5.0
x_IndRel_NCAP,0.0043683783,5.0
x_RevEstDisp,0.0043650996,3.0
x_calendarquarter,0.0043487335,
x_BP,0.004330032,5.0
x_IndRel_CFP,0.0043243724,5.0
x_Rev3MFY2C,0.004312493,3.0
x_Chg3YOPM,0.004293752,2.0
x_AdjAccruals,0.004262521,4.0
x_GPMargin,0.0042540724,4.0
x_LogTTMSales,0.0042471024,7.0
x_AdjChgEPStoSales,0.0042348173,4.0
x_PAdjChg3YEPS,0.004215657,2.0
x_PAdjChg1YSales,0.0042065424,2.0
x_IndRel_RONA,0.004197143,5.0
x_AstGrwth,0.0041948794,6.0
x_IndRel_DivP,0.004164446,5.0
x_IndRel_AstP,0.004159132,5.0
x_ROA_2,0.0041582338,6.0
x_HL1M,0.004157495,1.0
x_PAdjChg3YSales,0.004154513,2.0
x_IndRel_GPMargin,0.0041465634,4.0
x_CapAcqRatio,0.004122266,6.0
x_InvToAstChg1Y,0.004119476,4.0
x_IO_InvDuration,0.00410096,1.0
x_IO_Concentration,0.0040820283,1.0
x_IndRel_EBITDAP,0.0040786327,5.0
x_Chg4QSalesTrend,0.0040666033,2.0
x_AstAdjChg1YCF,0.0040588765,2.0
x_6MChgTgtPrc,0.0040372172,3.0
x_IndRel_EPSEstDispFY1C,0.0040363236,3.0
x_IndRel_SolvencyRatio,0.004029674,5.0
x_IndRel_PAdjChg1YSales,0.004018197,2.0
x_IndRel_OEP,0.004014859,5.0
x_EPSStab,0.0039974754,2.0
x_IndRel_BP,0.0039888113,5.0
x_SharpeRatio,0.003974882,1.0
x_12QTrendTTMEPS,0.0039390856,2.0
x_REToAst_2,0.003928603,4.0
x_Chg1YAmihud,0.003921717,8.0
x_5DMoneyFlowVol,0.003915219,1.0
x_ShareChg,0.0039131674,6.0
x_IndRel_CashAst,0.0039026365,5.0
x_IndRel_ROA,0.0038862093,6.0
x_PrcTo52WH,0.0038845676,1.0
x_AstAdjChg1YOCF,0.0038843772,2.0
x_CFEV,0.0038835492,5.0
x_IndRel_CFROIC,0.003874317,6.0
x_IndRel_TobinQ,0.0038459522,6.0
x_52WVPT20DLag,0.003844739,1.0
x_CashAst,0.003841524,5.0
x_IO_ChgofNumBY,0.00384098,1.0
x_RskAdjRS,0.0038391869,1.0
x_RecTurn,0.0038378763,6.0
x_PM6M,0.003835609,1.0
x_AccrualRatioCF,0.0038342685,4.0
x_ShortIntRatio,0.0038334662,1.0
x_AccrualRatioBS,0.0038029603,4.0
x_IndRel_CashCycle,0.0037960773,4.0
x_PM1M,0.0037923441,1.0
x_FL,0.003791443,6.0
x_CashBurn,0.0037897949,4.0
x_PSlopeSERR_26W,0.003787107,1.0
x_IndRel_PTMargin,0.0037768027,6.0
x_FCFEqt,0.003762529,5.0
x_IndRel_SUEC,0.0037485026,3.0
x_IndRel_ROIC,0.0037403388,6.0
x_Beta60M,0.0037360797,8.0
x_Chg1YROA,0.003734519,2.0
x_LogAssets,0.0037198788,7.0
x_Chg1YTurnover,0.003711784,1.0
x_IndRel_Chg1YOCF,0.0037046468,2.0
x_IndRel_ChgSalesMargin,0.003699511,4.0
x_IO_BreadthStabBY,0.0036977495,1.0
x_AnnVol1M,0.0036807864,8.0
x_UnexpectedRecChg,0.003674568,4.0
x_IndRel_TotalAccruals,0.0036702394,4.0
x_IndRel_OEA,0.0036672195,4.0
x_IndRel_SEV,0.0036572732,5.0
x_5DVolSig,0.0036496827,1.0
x_IndRel_LTDE,0.0036370247,6.0
x_IO_NAT,0.0036354654,1.0
x_IndRel_CapExToAst,0.0036236148,6.0
x_IndRel_PM9M,0.003622212,1.0
x_SalesToEPSChg,0.0036202418,4.0
x_PM9M,0.0036167416,1.0
x_CFIC,0.0036060184,4.0
x_Chg1YOCF,0.003600701,2.0
x_DebtChg1Y,0.0035955773,6.0
x_IndRel_EBITDAEV,0.0035787483,5.0
x_IO_StabofChgHD,0.0035717841,1.0
x_AdjAstAdjChg1YFCF,0.003571033,2.0
x_IndRel_ROE,0.0035436028,6.0
x_IO_Foreign,0.0035424312,1.0
x_14DayRSI,0.0035317948,1.0
x_SalesAcc,0.0035070472,2.0
x_90DCV,0.0035034693,8.0
x_CapExToAst,0.003483345,6.0
x_IndRel_AdjAccruals,0.0034830375,4.0
x_IndRel_DA,0.0034496246,6.0
x_Adj50DVolSig,0.0034435773,8.0
x_Alpha60M,0.003439749,1.0
x_Alpha18M6MPChg,0.0034243597,1.0
x_AdjSTO_6M,0.0034218936,1.0
x_130DMinRtn,0.0034209774,8.0
x_RONA,0.0034167042,5.0
x_SEV,0.0034118427,5.0
x_IndRel_Chg1YOPM,0.0034071454,2.0
x_ConsQPosChginTTMCF,0.0034041323,2.0
x_IndRel_FwdFCFPC,0.0033962906,5.0
x_IndRel_FCFEqt,0.0033889872,5.0
x_WCAccruals,0.0033699244,4.0
x_IndRel_MaxRetPayoff,0.003368318,1.0
x_IndRel_AssetTurn,0.0033615956,4.0
x_IndRel_InvToAsset,0.0033536253,4.0
x_IndRel_EPSToSalesChg1Y,0.003347369,4.0
x_IO_ChgofIO_HF,0.0033444506,1.0
x_CVVolPrc20D,0.00333197,1.0
x_IndRel_RecTurn,0.0033303595,6.0
x_PM5D,0.003328792,1.0
x_AstAdjChg3YEPS,0.0033186048,2.0
x_TobinQ,0.0033077188,6.0
x_IndRel_ShortIntTrdVol,0.0033043406,1.0
x_STO_6M,0.0033028738,1.0
x_HL52W,0.0033015574,1.0
x_CVVolPrc30D,0.0033012498,1.0
x_CQPTTMCFtoSales,0.0032745185,2.0
x_IndRel_CashEV,0.0032698684,5.0
x_CVVolPrc60D,0.0032692384,1.0
x_6MChgTgtPrcGapEMA,0.0032528623,3.0
x_CQDOHtoSales,0.0032511805,2.0
x_4To52WPrcOsc,0.0032435758,1.0
x_BuyToSellRecLess3MEMA,0.0032426924,3.0
x_6MAvgChg1MRecC,0.0032241105,3.0
x_IndRel_InvToAst,0.0032178652,4.0
x_STO,0.0032005932,1.0
x_ChgSalesMargin,0.0031341137,4.0
x_52WSlope,0.0030730215,1.0
x_OCFAst_2,0.0030070383,4.0
x_IndRel_FCFP,0.0029859575,5.0
x_Alpha12M6MPChg,0.0029669863,1.0
x_AssetTurn_2,0.0029549876,4.0
x_EPSToOCFChg,0.0029504816,4.0
x_IndRel_DebtChg1Y,0.0029319809,6.0
x_IndRel_DepToCapex,0.0029069914,4.0
x_IO_ChgofIO_AM,0.0028595645,1.0
x_IndRel_PM6M,0.0028362642,1.0
x_IndRel_FwdEPC,0.0028085932,5.0
x_Alpha36M6MPChg,0.0027938737,1.0
x_CQDRItoSales,0.0026289257,2.0
x_RelPrStr_12M,0.0026074136,1.0
x_IndRel_LTDA,0.0024817346,6.0
x_IndRel_AccrualRatioCF,0.0024673427,4.0
x_LogUnadjPrice,0.0023366455,1.0
x_IndRel_AccrualRatioBS,0.002107074,4.0
x_FCFP,0.0019188145,5.0
x_ChgATO_2,0.0018988758,2.0
x_IO_TO,0.0016773088,1.0
x_ROEStab,0.0015296466,2.0
x_BVEV,0.0014120336,5.0
x_60MAVGTTMROE,0.0011220833,6.0
x_60MAVGTTMROA,0.0007236516,6.0
