feature,importance,feature_category
x_CapExToAst,3.2115976291374912,6.0
x_SUEC,2.7579861946873416,3.0
x_CashBurn,1.5362810030973426,4.0
x_CashAst,1.4229554740137222,5.0
x_EPSNumRevFY1C,1.367799503566689,3.0
x_calendarquarter,1.3279812678436063,
x_BP,1.290038221745761,5.0
x_ShareChg,1.2502283707936441,6.0
x_IndRel_FCFP,1.2105005819225616,5.0
x_AdjEPSNumRevFY1C,1.179662858419514,3.0
x_IO_BreadthStabBY,1.1792054788448452,1.0
x_EPSStab,1.0945218128881957,2.0
x_PAdjChg1YEPS,1.0657871846670472,2.0
x_AdjFwdFCFPC,1.0244130290253026,5.0
x_InvToAsset,0.9619499276585266,4.0
x_EPSEstDispFY1C,0.9602880056588788,3.0
x_EPSEstDispFY2C,0.9526000217938674,3.0
x_IndRel_TotalAccruals,0.9116872192702677,4.0
x_ChgATO_2,0.8922733498216802,2.0
x_AdjRevMagC,0.8862486890684346,3.0
x_RONA,0.8610581937011657,5.0
x_IndRel_CashP,0.8605476228212531,5.0
x_AdjRev3MFY1C,0.8572801508385689,3.0
x_TobinQ,0.8465057696390133,6.0
x_IndRel_CashEV,0.8367161771457547,5.0
x_AnnVol1M,0.8260074803074475,8.0
x_IndRel_OCFP,0.8162803278100309,5.0
x_PAdjChg3YEPS,0.7979404022914567,2.0
x_STO,0.7745339520260974,1.0
x_PTIToNOA,0.7508533107293792,4.0
x_LogAssets,0.7230927090273963,7.0
x_IndRel_PM6M,0.7159626025125102,1.0
x_LTDA,0.7111414609463287,6.0
x_IndRel_CashAst,0.7043183287413756,5.0
x_AnnVol12M,0.7033734389980575,8.0
x_AdjEPSNumRevFY2C,0.6755591856336803,3.0
x_IndRel_FwdEPC,0.6690647956497943,5.0
x_IndRel_FwdFCFPC,0.6590051012260063,5.0
x_IndRel_ShareChg,0.6569106115955758,6.0
x_IndRel_AssetTurn,0.6547720922445703,4.0
x_AdjEBITP,0.6465502358557842,5.0
x_130DMinRtn,0.6436950759109757,8.0
x_PA52WL20DLag,0.6418359760453594,1.0
x_ConsQPosChgTTMEPS,0.6308727243191964,2.0
x_RskAdjRS,0.6300580675506344,1.0
x_RevEstDisp,0.62517021740076,3.0
x_IndRel_SEV,0.6233381938248199,5.0
x_Alpha60M,0.6113779618165242,1.0
x_IndRel_SP,0.6113046347863995,5.0
x_LogTTMSales,0.6110635845917497,7.0
