model,r2,mse,rmse,mae
linear,-1070.6692494386612,21814.749686502706,69.94867323768304,3.9401367810688726
ridge,-8.192637356957869,187.978413108881,9.674444446127792,3.168288945088489
lasso,-0.0002616154159864159,21.129948309469288,4.596258526482281,3.116374070141494
enet,0.0029496579337881857,21.06228178165737,4.588883709609795,3.109583829990302
xgb,0.0989737172833638,19.027780979007208,4.361901694289878,3.0133792110191244
lgbm,0.09836761482481624,19.04178505603711,4.363440223029497,3.0044364263547267
catboost,0.10061094270885025,18.99528526357877,4.358085648675129,2.9841379434665036
nn1,0.054384368147933196,19.971739436849784,4.468675790467226,3.0637352533517337
nn2,0.05584936161462863,19.941191467377312,4.465256709209633,3.0547242918847566
nn3,0.06070525543313723,19.837697618299188,4.45369440301962,3.0826984278653478
