feature,importance,feature_category
x_SUEC,135,3.0
x_CapExToAst,113,6.0
x_IndRel_EPSEstDispFY1C,113,3.0
x_IndRel_FCFP,104,5.0
x_InvToAsset,104,4.0
x_IO_BreadthStabBY,104,1.0
x_CashAst,104,5.0
x_Chg1YAmihud,103,8.0
x_IndRel_TotalAccruals,102,4.0
x_ChgATO_2,101,2.0
x_AdjFwdFCFPC,99,5.0
x_IndRel_MaxRetPayoff,97,1.0
x_IndRel_InvToAst,96,4.0
x_EPSEstDispFY1C,95,3.0
x_ShareChg,95,6.0
x_EPSStab,94,2.0
x_AdjEPSNumRevFY2C,94,3.0
x_EPSNumRevFY1C,94,3.0
x_Chg3YOPM,94,2.0
x_IndRel_DA,94,6.0
x_IndRel_DivP,93,5.0
x_IndRel_CashEV,92,5.0
x_IndRel_CashP,92,5.0
x_Alpha12M6MPChg,91,1.0
x_IO_ChgofIO_HF,90,1.0
x_IO_StabofChgHD,90,1.0
x_STO_6M,90,1.0
x_CVVolPrc60D,89,1.0
x_Chg1YTurnover,89,1.0
x_IndRel_SUEC,88,3.0
x_LogAssets,88,7.0
x_AdjEPSNumRevFY1C,88,3.0
x_EBITEstDisp,88,3.0
x_IndRel_PAdjChg1YSales,85,2.0
x_IndRel_SEV,85,5.0
x_5DMoneyFlowVol,85,1.0
x_Alpha18M6MPChg,85,1.0
x_IO_ChgofIO_AM,84,1.0
x_IndRel_ShareChg,84,6.0
x_AnnVol1M,84,8.0
x_Chg1YLTDA,84,2.0
x_IndRel_PM6M,84,1.0
x_DepToCapex,83,4.0
x_SEV,82,5.0
x_Beta60M,82,8.0
x_DebtChg1Y,81,6.0
x_12QTrendTTMEPS,81,2.0
x_IndRel_OCFP,81,5.0
x_IndRel_EPSSurpC,80,3.0
x_AdjRevMagC,80,3.0
x_IndRel_Chg1YOPM,80,2.0
x_IO_Level_AM,80,1.0
x_CashBurn,79,4.0
x_Alpha36M6MPChg,79,1.0
x_WCAccruals,79,4.0
x_SalesAcc,78,2.0
x_AdjFwdEPC,78,5.0
x_IndRel_ShortIntTrdVol,78,1.0
x_IndRel_SolvencyRatio,78,5.0
x_IndRel_ChgSalesMargin,78,4.0
x_Adj50DVolSig,77,8.0
x_IO_Foreign,77,1.0
x_AstGrwth,77,6.0
x_IndRel_AssetTurn,77,4.0
x_IO_InvDuration,77,1.0
x_IndRel_CFEV,77,5.0
x_IndRel_RONA,76,5.0
x_ShortIntRatio,76,1.0
x_EPSEstDispFY2C,76,3.0
x_SharpeRatio,76,1.0
x_IndRel_PM12M1M,76,1.0
x_AnnVol12M,76,8.0
x_IO_NAT,75,1.0
x_CashCycle,75,4.0
x_LTDA,75,6.0
x_IndRel_GPMargin,74,4.0
x_IO_ChgofNumBY,74,1.0
x_PSlopeSERR_26W,74,1.0
x_IndRel_RecTurn,74,6.0
x_PTIToNOA,74,4.0
x_IndRel_CashAst,74,5.0
x_RevMagFY1C,74,3.0
x_IndRel_LTDE,73,6.0
x_STO,73,1.0
x_RskAdjRS,73,1.0
x_90DCV,73,8.0
x_SalesToEPSChg,73,4.0
x_ChgSalesMargin,73,4.0
x_RevEstDisp,73,3.0
x_IndRel_FwdFCFPC,72,5.0
x_IndRel_AccrualRatioCF,72,4.0
