feature,importance,feature_category
x_BP,-28.56315359325085,5.0
x_FCFP,16.427314961796306,5.0
x_AdjEBITP,13.033330856775823,5.0
x_CFP,-10.192096245957796,5.0
x_STO,6.86962475267513,1.0
x_CashP,2.3897600759753614,5.0
x_AdjFwdFCFPC,-1.1224580669485145,5.0
x_52WVPT20DLag,1.0592600028772938,1.0
x_EPSNumRevFY1C,0.30121012327085017,3.0
x_CashAst,0.29150348760093314,5.0
x_IndRel_SUEC,0.2782753871465324,3.0
x_LogAssets,0.2777006348037032,7.0
x_LogTTMSales,-0.2444454458857095,7.0
x_CapExToAst,-0.24235339797662991,6.0
x_StdErr180D,0.2352795739409972,1.0
x_ConsQPosChgTTMEPS,0.222881714282135,2.0
x_InvToAst,0.2041039309185102,4.0
x_PAdjChg1YEPS,0.18668085112221366,2.0
x_IndRel_EBITDAP,-0.18351839267866404,5.0
x_AnnVol1M,-0.18225076165101095,8.0
x_AdjFwdEPC,0.16758968614728142,5.0
x_OCFAst_2,0.16035008509835286,4.0
x_calendarquarter,0.16015539866573303,
x_IndRel_InvToAst,-0.15800774669685225,4.0
x_AnnVol12M,0.15049892855523872,8.0
x_PSlopeSERR_26W,-0.14793710879907973,1.0
x_YoYChgDA,-0.14705120436860408,8.0
x_PrcTo52WH,0.13216873599580348,1.0
x_IO_Level,-0.12864534541865025,1.0
x_ROEStab,0.12708446335957505,2.0
x_DivP,-0.12561824873389604,5.0
x_IndRel_CapExToAst,0.12534082992316053,6.0
x_LTDA,-0.12486486581739387,6.0
x_IndRel_OCFP,0.12210235410630643,5.0
x_CVVolPrc30D,-0.116940363954048,1.0
x_IndRel_CFEV,0.11528254132303539,5.0
x_AssetTurn_2,0.11320293584682833,4.0
x_CFAst,0.10670310701102581,4.0
x_STO_6M,-0.10646124581473715,1.0
x_5DMoneyFlowVol,0.10514335416772427,1.0
x_IO_BreadthStabHD,-0.10153193829887575,1.0
x_ConsQPosChginTTMCF,-0.0990621393662604,2.0
x_IndRel_ROIC,0.09818961287946609,6.0
x_IndRel_TotalAccruals,0.09683234460174142,4.0
x_130DMinRtn,-0.09678645211587633,8.0
x_IndRel_CFROIC,-0.09256578313203402,6.0
x_IndRel_PM1M,0.08137106800809782,1.0
x_IndRel_AssetTurn,-0.08071579413874962,4.0
x_IndRel_PTIP,0.08047865018474909,5.0
