feature,importance,feature_category
x_BP,-15.596730944209192,5.0
x_AdjEBITP,4.2962938508493895,5.0
x_FCFP,4.27955867336025,5.0
x_STO,4.023344244608198,1.0
x_CashP,2.542427765561768,5.0
x_52WVPT20DLag,1.30702690074234,1.0
x_AdjFwdFCFPC,-0.7705515148894858,5.0
x_CashAst,0.33724235890594373,5.0
x_EPSNumRevFY1C,0.3003663108479624,3.0
x_AdjFwdEPC,0.2846124004920139,5.0
x_IndRel_SUEC,0.2781745910841757,3.0
x_CapExToAst,-0.23918735982544156,6.0
x_StdErr180D,0.23850348822997872,1.0
x_ConsQPosChgTTMEPS,0.23067143287966296,2.0
x_LogAssets,0.22465091913973442,7.0
x_LogTTMSales,-0.21582004947319566,7.0
x_InvToAst,0.1984615866024995,4.0
x_PAdjChg1YEPS,0.19054223832025988,2.0
x_AnnVol1M,-0.1899874704818688,8.0
x_IndRel_EBITDAP,-0.17766124416376922,5.0
x_OCFAst_2,0.17391719966311314,4.0
x_calendarquarter,0.1599285960411127,
x_IndRel_InvToAst,-0.15160079818903643,4.0
x_PSlopeSERR_26W,-0.14881458545304208,1.0
x_YoYChgDA,-0.14583345744913517,8.0
x_AnnVol12M,0.14322554844488103,8.0
x_CFP,-0.138062035736604,5.0
x_PrcTo52WH,0.13805887247453788,1.0
x_IO_Level,-0.13227668057551445,1.0
x_DivP,-0.13140662869146164,5.0
x_ROEStab,0.13028556873951055,2.0
x_IndRel_CapExToAst,0.12856646696680446,6.0
x_AssetTurn_2,0.12836250541395627,4.0
x_IndRel_OCFP,0.1197750980319399,5.0
x_CVVolPrc30D,-0.11716266296914753,1.0
x_IndRel_CFEV,0.11181561794036493,5.0
x_STO_6M,-0.1108696355396413,1.0
x_130DMinRtn,-0.10602817276326652,8.0
x_5DMoneyFlowVol,0.10419035176090102,1.0
x_ConsQPosChginTTMCF,-0.10173590192332815,2.0
x_IO_BreadthStabHD,-0.10134200934906809,1.0
x_LogUnadjPrice,0.09853364548040036,1.0
x_IndRel_TotalAccruals,0.09417921385017139,4.0
x_IndRel_ROIC,0.09337647331240413,6.0
x_LTDA,-0.0927947907558939,6.0
x_IndRel_AssetTurn,-0.0924727113798004,4.0
x_Rev3MFY2C,0.08592858872336,3.0
x_IndRel_PTIP,0.08409082255312833,5.0
x_IndRel_CFROIC,-0.08364815894099752,6.0
x_IndRel_EP,-0.08342452122047589,5.0
x_IndRel_NCAP,-0.08324941502405007,5.0
x_IO_InvDuration,0.08323617280620418,1.0
x_CFAst,0.08132564414572349,4.0
x_IndRel_PM1M,0.08115921725695278,1.0
x_IndRel_FwdEPC,-0.07985861091163576,5.0
x_CQPTTMCFtoSales,0.07844544506024229,2.0
x_90DCV,-0.07578358437847964,8.0
x_IndRel_LTDA,-0.07510701185367238,6.0
x_6MAvgChg1MRecC,-0.07335807590777235,3.0
x_TobinQ,0.07255054314657657,6.0
x_RelPrStr_12M,0.07247523296320976,1.0
x_IndRel_Chg1YOPM,0.07088369309722141,2.0
x_IndRel_GPMargin,-0.07018827355895171,4.0
x_24MResRtnVar,-0.06726367175913753,1.0
x_DebtChg1Y,0.06612758356368166,6.0
x_IndRel_PM9M,0.06589821638326539,1.0
x_4To52WPrcOsc,-0.06516910907036359,1.0
x_PAdjChg1YOCF,0.06323267182141531,2.0
x_6MChgTgtPrc,-0.06269248641720045,3.0
x_IndRel_FwdFCFPC,-0.0626369929899496,5.0
x_WCAccruals,0.06262311544512074,4.0
x_EBITDAEV,-0.06230677014825511,5.0
x_IndRel_FCFEqt,0.06184521982375753,5.0
x_IndRel_RONA,0.061837425982105086,5.0
x_AstAdjChg1YCF,0.06078687317419688,2.0
x_CVVolPrc20D,-0.06071519393193346,1.0
x_IndRel_PM6M,-0.060264099032285565,1.0
x_SalesToEPSChg,-0.059653365006139894,4.0
x_IO_TO,-0.05958497181769535,1.0
x_IndRel_ROE,-0.05798586855389935,6.0
x_AdjRev3MFY1C,-0.05420416945764443,3.0
x_AdjSTO_6M,-0.052570924224351244,1.0
x_PAdjChg1YSales,-0.051433278865930625,2.0
x_IndRel_AstP,-0.05117157996961965,5.0
x_IndRel_TobinQ,-0.0505829545308256,6.0
x_IndRel_DA,0.05055554590832835,6.0
x_RONA,-0.04964731058217122,5.0
x_CQDRItoSales,-0.04919629633974941,2.0
x_IndRel_RecTurn,0.04918198369364708,6.0
x_CashAdjEV,-0.04845785121415058,5.0
x_IndRel_FCFP,-0.047757313137117875,5.0
x_REToAst_2,-0.04707001954381374,4.0
x_SharpeRatio,0.046199843596329296,1.0
x_InvToAstChg1Y,-0.044629976193736036,4.0
x_RevEstDisp,-0.0443412756122484,3.0
x_IndRel_MaxRetPayoff,-0.04326827996007668,1.0
x_Adj50DVolSig,-0.04325640359367054,8.0
x_IO_ChgofIO_AM,-0.043045754729297184,1.0
x_6MChgTgtPrcGapEMA,-0.04261505291631778,3.0
x_IndRel_DivP,0.04250413038799488,5.0
x_AstGrwth,-0.04224871285422099,6.0
x_CVVolPrc60D,0.04092747637998645,1.0
x_HL52W,0.03977089948715398,1.0
x_IndRel_AccrualRatioCF,-0.03850049269518414,4.0
x_PTIToNOA,-0.038125012506539775,4.0
x_IO_Foreign,-0.0377259225236422,1.0
x_PrcTo260DL,-0.0368546194144468,1.0
x_FCFEqt,-0.03622892802226136,5.0
