model,r2,mse,rmse,mae
linear,-18.540588992706624,26067.439120962903,99.75204301761912,23.775129006299327
ridge,-0.03450792219668455,1373.6934663333,37.02640977594407,22.75316536445817
lasso,0.05722218062568478,1252.673635956496,35.3923793104232,22.18130658840911
enet,0.0600633364164924,1248.8997872200412,35.33900151016114,22.129882782764565
xgb,0.1347172099589296,1149.2891881251528,33.8991654754159,21.384280683000828
lgbm,0.12478691031281793,1162.3967017070313,34.09135293486281,21.417421654330294
catboost,0.1322250288357988,1152.647947763995,33.94849426779403,21.262691813968797
nn1,0.061425955461442715,1246.9032114127676,35.31057699268432,22.120613885568716
nn2,0.05460702684328707,1256.024547691843,35.43496929787849,22.041450435794594
nn3,0.08599171185203476,1214.2221283838087,34.8448856022905,22.33904617545437
