feature,importance,feature_category
x_EBITEstDisp,304,3.0
x_EPSEstDispFY2C,198,3.0
x_SalesToEPSChg,166,4.0
x_EPSEstDispFY1C,150,3.0
x_SUEC,146,3.0
x_12QTrendTTMEPS,132,2.0
x_AdjFwdEPC,130,5.0
x_Chg1YROA,115,2.0
x_AdjFwdFCFPC,114,5.0
x_AdjEPSNumRevFY2C,111,3.0
x_AdjEBITP,109,5.0
x_AdjRevMagC,107,3.0
x_InvToAsset,104,4.0
x_Chg3YOPM,98,2.0
x_60MAVGTTMROA,96,6.0
x_EPSStab,96,2.0
x_ChgSalestoChgEPS,96,4.0
x_ROA_2,95,6.0
x_90DCV,95,8.0
x_IndRel_EPSEstDispFY1C,93,3.0
x_CashBurn,92,4.0
x_RevMagFY1C,91,3.0
x_Chg1YOPM,91,2.0
x_AdjAccruals,91,4.0
x_AdjChgEPStoSales,90,4.0
x_IO_ChgofNumBY,90,1.0
x_IndRel_DivP,90,5.0
x_60MAVGTTMROE,88,6.0
x_IO_ChgofIO_HF,87,1.0
x_IndRel_CashEV,87,5.0
x_IndRel_CFROIC,86,6.0
x_Chg1YAmihud,86,8.0
x_IndRel_MaxRetPayoff,85,1.0
x_Chg1YTurnover,85,1.0
x_IO_Concentration,84,1.0
x_SalesAcc,84,2.0
x_IndRel_Chg1YOPM,83,2.0
x_6MAvgChg1MRecC,83,3.0
x_Beta60M,81,8.0
x_IndRel_OCFP,81,5.0
x_IO_Foreign,81,1.0
x_EPSNumRevFY1C,81,3.0
x_52WVPT20DLag,80,1.0
x_IndRel_CashP,80,5.0
x_RevEstDisp,80,3.0
x_130DMinRtn,80,8.0
x_CFP,80,5.0
x_IndRel_RecTurn,79,6.0
x_REToAst_2,78,4.0
x_CashCycle,78,4.0
x_Chg4QSalesTrend,78,2.0
x_PAdjChg3YEPS,78,2.0
x_IndRel_EPSSurpC,78,3.0
x_PM1M,77,1.0
x_IndRel_TotalAccruals,76,4.0
x_IndRel_GPMargin,76,4.0
x_IndRel_ChgSalesMargin,76,4.0
x_IndRel_SUEC,76,3.0
x_5DVolSig,76,1.0
x_PAdjChg3YSales,76,2.0
x_AdjEPSNumRevFY1C,75,3.0
x_IO_ChgofIO_AM,75,1.0
x_IO_NAT,74,1.0
x_LogUnadjPrice,74,1.0
x_IndRel_SEV,74,5.0
x_IO_BreadthStabHD,73,1.0
x_OCFAst_2,73,4.0
x_IO_TO,73,1.0
x_IndRel_AdjAccruals,73,4.0
x_IndRel_CFEV,73,5.0
x_Alpha60M,72,1.0
x_EBITMargin,72,4.0
x_STO_6M,72,1.0
x_IndRel_PM9M,71,1.0
x_IndRel_PTIP,70,5.0
x_WCAccruals,70,4.0
x_FCFP,70,5.0
x_IndRel_Chg1YOCF,70,2.0
x_ConsQPosChgTTMEPS,70,2.0
x_CVVolPrc20D,70,1.0
x_PM6M,70,1.0
x_IndRel_AccrualRatioCF,69,4.0
x_IndRel_FwdFCFPC,69,5.0
x_LogTTMSales,69,7.0
x_IO_StabofChgHD,69,1.0
