feature,importance,feature_category
x_GPMargin,5.087084679882169,4.0
x_EBITMargin,-4.744412276882856,4.0
x_AdjFwdEPC,-2.8546046199411963,5.0
x_AdjFwdFCFPC,-2.814669044686555,5.0
x_PA52WL20DLag,2.687785478203287,1.0
x_CashAst,2.4540158587571494,5.0
x_IndRel_EPSEstDispFY1C,2.325996666366441,3.0
x_AnnVol12M,2.3025028188523833,8.0
x_CFAst,-2.2564738555597366,4.0
x_YoYChgDA,-2.193139860922939,8.0
x_InvToAst,1.900016920719555,4.0
x_CFP,1.8866570486068301,5.0
x_Chg1YLTDA,1.747356632246635,2.0
x_IndRel_EP,1.7224412862944567,5.0
x_IndRel_EBITDAEV,1.6949846770327384,5.0
x_AssetTurn_2,-1.6791102402625102,4.0
x_IndRel_LTDA,-1.5848492187118774,6.0
x_TobinQ,1.5612605209982973,6.0
x_RevMagFY1C,-1.5218128570512708,3.0
x_InvToAsset,-1.5154691729028629,4.0
x_6MChgTgtPrc,1.4673021134749582,3.0
x_PM1M,1.4445417574614685,1.0
x_CashAdjEV,-1.431756441557643,5.0
x_EPSNumRevFY1C,1.412673958400916,3.0
x_EBITDAEV,-1.385980222999288,5.0
x_LogTTMSales,1.368075364914309,7.0
x_AdjSTO_6M,1.3584291946744025,1.0
x_RevEstDisp,1.307118857479769,3.0
x_IndRel_ChgSalesMargin,-1.2812307488444066,4.0
x_IndRel_SUEC,1.27184833449243,3.0
x_CapExToAst,1.2523462413285376,6.0
x_PrcTo260DL,-1.238559713825614,1.0
x_SalesToEPSChg,-1.2378585679320804,4.0
x_EPSEstDispFY1C,-1.1719621502872184,3.0
x_SEV,1.1684405338554178,5.0
x_IndRel_OEP,-1.1610267547967346,5.0
x_IndRel_PM6M,-1.1585520400528206,1.0
x_WCAccruals,-1.1446320513209023,4.0
x_IndRel_InvToAst,-1.0916529322616977,4.0
x_IndRel_GPMargin,-1.0858375784872718,4.0
x_Rev3MFY2C,-1.0790304840282934,3.0
x_IO_Level,-1.0512858274159962,1.0
x_ConsQPosChgTTMEPS,-1.044986762472685,2.0
x_PAdjChg1YSales,-1.0399217087444605,2.0
x_AdjRevMagC,1.0385769238973457,3.0
x_IndRel_SEV,-1.0381140975789085,5.0
x_ConsQPosChginTTMCF,-1.0341564670101646,2.0
x_IndRel_DA,1.0312978474765018,6.0
x_ChgSalesMargin,1.0197051728679685,4.0
x_ChgSalestoChgEPS,0.9722436680487869,4.0
x_CQPTTMCFtoSales,0.9352717950944319,2.0
x_Chg1YAmihud,0.9054775079449773,8.0
x_EPSEstDispFY2C,0.9004379485053818,3.0
x_STO_6M,0.8823967510365014,1.0
x_IndRel_CFEV,-0.851704596076178,5.0
x_AstAdjChg1YCF,0.8341988111939789,2.0
x_IndRel_PAdjChg1YEPS,-0.8313883495449687,2.0
x_PM6M,0.8163473328422405,1.0
x_IO_Concentration,0.798259977616253,1.0
x_REToAst_2,-0.7972425423622064,4.0
x_IndRel_RecTurn,0.795512689998119,6.0
x_IndRel_SolvencyRatio,-0.7733899833793841,5.0
x_52WVPT20DLag,-0.7592134603448862,1.0
x_IndRel_ROIC,0.7451993879003264,6.0
x_ShortIntRatio,0.7385281947888822,1.0
x_IO_InvDuration,0.7341877380538371,1.0
x_AstGrwth,0.7229442700242275,6.0
x_IndRel_ShareChg,-0.7179351099885828,6.0
x_SharpeRatio,-0.711224556404059,1.0
x_PSlopeSERR_26W,0.7059204576823632,1.0
x_STO,-0.6884081153795021,1.0
x_AdjEPSNumRevFY2C,0.686136564703581,3.0
x_IndRel_DivP,-0.6781234254574696,5.0
x_IndRel_FwdEPC,0.6698465860539017,5.0
x_IndRel_CashCycle,-0.6669468051230836,4.0
x_SalesToInvCap,-0.6616241859633056,4.0
x_IO_BreadthStabHD,-0.6575226036628208,1.0
x_IndRel_TobinQ,-0.6542423120282465,6.0
x_BP,0.6490926959411897,5.0
x_CVVolPrc30D,-0.6372452667560823,1.0
x_IndRel_CashEV,-0.6323564405949846,5.0
x_IndRel_PM9M,0.6300948339744122,1.0
x_CQDOHtoSales,0.6207011875471653,2.0
x_CapAcqRatio,0.6171418314568912,6.0
x_4To52WPrcOsc,0.6071733069778049,1.0
x_AnnVol1M,-0.5937424961537053,8.0
x_IndRel_AssetTurn,0.5906258803942286,4.0
x_14DayRSI,-0.5815740318542376,1.0
x_StdErr180D,-0.5795894318571821,1.0
x_IndRel_EPSToSalesChg1Y,-0.5744144301347175,4.0
x_IndRel_CashP,0.5625516671632451,5.0
x_PAdjChg1YEPS,0.5610822419981158,2.0
x_AdjRev3MFY1C,0.5588772099922679,3.0
x_Chg1YTurnover,0.5563968082747937,1.0
x_UnexpectedRecChg,0.5363516059392252,4.0
x_IndRel_SP,0.5300122198063987,5.0
x_IndRel_PTIP,-0.5237839268045488,5.0
x_IndRel_AdjAccruals,-0.520120703518355,4.0
x_DebtChg1Y,0.5129541766923578,6.0
x_PAdjChg1YOCF,0.5088240704591854,2.0
x_Alpha12M6MPChg,-0.5079070706602448,1.0
x_60MAVGTTMROE,-0.4970869912951572,6.0
x_OCFAst_2,-0.47486712608161996,4.0
x_IndRel_CFROIC,-0.46833868665376677,6.0
x_CVVolPrc20D,-0.4528236608568025,1.0
x_IO_TO,0.44899585162169275,1.0
x_AdjEPSNumRevFY1C,-0.4458912274710965,3.0
x_Chg1YOPM,-0.44244645009135347,2.0
x_CashP,0.44073473630413795,5.0
x_IndRel_TotalAccruals,0.43259471228059665,4.0
x_IO_ChgofIO_AM,-0.4162838266165042,1.0
x_EBITEstDisp,0.4158736788858524,3.0
x_ROE,0.4087911914426389,6.0
x_AdjChgEPStoSales,0.4077486691471923,4.0
x_LogUnadjPrice,-0.4003434837200998,1.0
x_IndRel_Chg1YOPM,0.395559043791218,2.0
x_IndRel_PAdjChg1YSales,0.39527527064109813,2.0
x_BuyToSellRecLess3MEMA,-0.3951262085599608,3.0
x_ROEStab,0.3945565558739686,2.0
x_CVVolPrc60D,0.3930196461131012,1.0
x_5DMoneyFlowVol,0.3923098587779729,1.0
x_60MAVGTTMROA,-0.39155529512747284,6.0
x_ChgATO_2,0.38895455439878157,2.0
x_PM9M,-0.3851932927520238,1.0
x_IndRel_FwdFCFPC,0.3780860054493059,5.0
x_IndRel_Chg1YOCF,0.3775818460568973,2.0
x_FL,-0.3767294669076587,6.0
x_Chg1YOCF,0.3747870188822612,2.0
x_52WSlope,0.36806580799055094,1.0
x_24MResRtnVar,0.3675193795443654,1.0
x_AstAdjChg1YOCF,-0.36653867209121355,2.0
x_IndRel_PM1M,0.35767629710437226,1.0
x_IndRel_ROE,-0.3529015361453864,6.0
x_IndRel_PM12M1M,-0.35232664671979674,1.0
x_IO_Foreign,-0.334021900468646,1.0
x_IndRel_FCFEqt,0.3321837744826424,5.0
x_IndRel_OEA,0.33117992474669605,4.0
x_IO_Level_AM,0.330302278438749,1.0
x_AdjEBITP,-0.3295841855755319,5.0
x_ETO,-0.32046085586141465,4.0
x_CashBurn,0.31507300816427103,4.0
x_6MAvgChg1MRecC,-0.313128053390574,3.0
x_CashCycle,0.31252565947205546,4.0
x_AstAdjChg3YEPS,0.3002590555056649,2.0
x_RskAdjRS,-0.27256052768808803,1.0
x_PAdjChg3YSales,-0.26859043520227616,2.0
x_IO_NAT,0.25924663425367445,1.0
x_AdjAccruals,0.25786978786319964,4.0
x_PrcTo52WH,0.24597649249566078,1.0
x_Adj50DVolSig,-0.24323555667213975,8.0
x_12QTrendTTMEPS,-0.24161442055059523,2.0
x_IndRel_ShortIntTrdVol,0.2398154132368425,1.0
x_ROA_2,-0.23452062931424486,6.0
x_130DMinRtn,-0.22575564753147376,8.0
x_PAdjChg3YEPS,0.21806659043303797,2.0
x_Chg1YROA,0.2157684687758779,2.0
x_IndRel_AccrualRatioBS,0.2134337040061612,4.0
x_AccrualRatioCF,-0.2126463872328998,4.0
x_ShareChg,0.20989572241676088,6.0
x_MVEToTL,-0.2021538252644769,6.0
x_IndRel_PTMargin,-0.19515283218681453,6.0
x_RONA,-0.19372960641400178,5.0
x_IndRel_WCAccruals,0.19303430908909172,4.0
x_calendarquarter,-0.19180549019256002,
x_Chg3YOPM,0.18812046773695473,2.0
x_AdjEBITDAEV,-0.18611834440619654,5.0
x_HL1M,0.18433956181976738,1.0
x_IndRel_CashAst,-0.18341813903430274,5.0
x_IndRel_OCFEV,-0.1767272728867923,5.0
x_LogAssets,0.17067094007464698,7.0
x_EPSStab,0.16904804775169838,2.0
x_EPSToOCFChg,-0.16583882691137303,4.0
x_6MChgTgtPrcGap,0.16440670709242658,3.0
x_SUEC,0.16203447119133693,3.0
x_IndRel_OCFP,0.15502997709234276,5.0
x_IO_BreadthStabBY,0.1531830778123984,1.0
x_DivToCF,0.15270383766023096,5.0
x_IndRel_EBITDAP,-0.15036046707730727,5.0
x_AdjAstAdjChg1YFCF,0.14983286239507515,2.0
x_IO_ChgofNumBY,-0.14970242415093152,1.0
x_CFIC,0.14845585787399898,4.0
x_Alpha60M,-0.14718179673197515,1.0
x_RecTurn,-0.1442239880457789,6.0
x_HL52W,0.1424167503890843,1.0
x_LTDA,-0.11953321890324803,6.0
x_IndRel_FCFP,0.11627249785064223,5.0
x_IndRel_BP,-0.11301080682626032,5.0
x_IndRel_CapExToAst,0.10792545703781009,6.0
x_5DVolSig,0.09830015995718364,1.0
x_IndRel_MaxRetPayoff,-0.09812181558507649,1.0
x_PM5D,0.09209532423849892,1.0
x_IndRel_EPSSurpC,-0.08370427343452039,3.0
x_IndRel_FCFEV,-0.083245584536305,5.0
x_IndRel_LTDE,-0.08124133169614449,6.0
x_IndRel_ROA,-0.08113265892875089,6.0
x_IndRel_DebtChg1Y,0.0808215505121835,6.0
x_90DCV,-0.08021575825075156,8.0
x_Chg4QSalesTrend,0.07749676244431865,2.0
x_DepToCapex,0.07602238566100683,4.0
x_SalesAcc,0.07574139713199735,2.0
x_IndRel_AccrualRatioCF,0.07389310348474837,4.0
x_MaxRetPayoff,-0.07263559441229384,1.0
x_IndRel_NCAP,0.07172215891837924,5.0
x_BVEV,0.06979162240149442,5.0
x_FCFEqt,0.06564996101682702,5.0
x_IndRel_InvToAsset,-0.06431890090505081,4.0
x_IO_ChgofIO_HF,-0.06274085357272863,1.0
x_CQDRItoSales,0.06215145408157407,2.0
x_CFEV,0.058799764264567164,5.0
x_IndRel_AstP,0.05603012041091312,5.0
x_IndRel_DepToCapex,0.05579997647542007,4.0
x_IndRel_RONA,0.054535336188285335,5.0
x_IndRel_CFP,-0.05250902462723054,5.0
x_FCFP,0.05030711557879688,5.0
x_PTIToNOA,-0.049505671182853796,4.0
x_DivP,-0.0487437575081534,5.0
x_InvToAstChg1Y,-0.045107267295591225,4.0
x_6MChgTgtPrcGapEMA,-0.03554682396391087,3.0
x_RelPrStr_12M,-0.03452711293677247,1.0
x_IO_StabofChgHD,-0.02129036061022315,1.0
x_Alpha36M6MPChg,0.017382285802190162,1.0
x_IndRel_PM5D,-0.016213460331285637,1.0
x_Alpha18M6MPChg,-0.013331359251073148,1.0
x_CashEV,-0.010746469330301071,5.0
x_Beta60M,-0.008848892168559762,8.0
x_AccrualRatioBS,-0.0013800974647490763,4.0
