feature,importance,feature_category
x_AdjEBITP,0.027721621,5.0
x_EBITEstDisp,0.018034946,3.0
x_AdjFwdEPC,0.010045244,5.0
x_EPSEstDispFY2C,0.009130299,3.0
x_AdjRevMagC,0.008698374,3.0
x_SUEC,0.00868393,3.0
x_PrcTo260DL,0.0073786443,1.0
x_Rev3MFY2C,0.0070641865,3.0
x_InvToAsset,0.0069320407,4.0
x_CFIC,0.006846753,4.0
x_AdjRev3MFY1C,0.006705013,3.0
x_AdjFwdFCFPC,0.0064913016,5.0
x_EPSEstDispFY1C,0.006013966,3.0
x_WCAccruals,0.005906494,4.0
x_RevMagFY1C,0.0057940115,3.0
x_CapExToAst,0.005765252,6.0
x_AnnVol12M,0.0057506585,8.0
x_EPSNumRevFY1C,0.005635753,3.0
x_EBITDAEV,0.0056339814,5.0
x_DivP,0.0055971313,5.0
x_PA52WL20DLag,0.0055883727,1.0
x_CashP,0.0055609006,5.0
x_ChgSalestoChgEPS,0.0055120154,4.0
x_SalesToInvCap,0.005477554,4.0
x_AdjEPSNumRevFY1C,0.005307055,3.0
x_IndRel_TotalAccruals,0.0052886056,4.0
x_EBITMargin,0.0052162656,4.0
x_FCFEqt,0.005200296,5.0
x_Chg4QSalesTrend,0.005182748,2.0
x_AssetTurn_2,0.0050328295,4.0
x_PTIToNOA,0.005028338,4.0
x_CashEV,0.0050142086,5.0
x_CapAcqRatio,0.005010943,6.0
x_ROA_2,0.0049793324,6.0
x_CashAst,0.004963021,5.0
x_IndRel_RecTurn,0.0049528433,6.0
x_IndRel_PTIP,0.004901448,5.0
x_CashCycle,0.004875119,4.0
x_AdjEPSNumRevFY2C,0.004865626,3.0
x_IndRel_CFEV,0.004831462,5.0
x_IndRel_CFROIC,0.004784421,6.0
x_GPMargin,0.004764819,4.0
x_CashBurn,0.0047261002,4.0
x_IndRel_CashP,0.0047188736,5.0
x_IndRel_SEV,0.004713739,5.0
x_IndRel_OEP,0.004707047,5.0
x_Chg1YLTDA,0.004673168,2.0
x_6MChgTgtPrc,0.0046257474,3.0
x_LTDA,0.0046238727,6.0
x_IO_ChgofIO_HF,0.004617645,1.0
x_AdjSTO_6M,0.004613691,1.0
x_ShortIntRatio,0.0046124468,1.0
x_IndRel_CFP,0.004607304,5.0
x_PM6M,0.00460393,1.0
x_IndRel_InvToAsset,0.0045946357,4.0
x_REToAst_2,0.0045927246,4.0
x_IndRel_DivP,0.004589542,5.0
x_IndRel_ShortIntTrdVol,0.004577674,1.0
x_CFP,0.0045767445,5.0
x_IO_ChgofNumBY,0.004575235,1.0
x_STO_6M,0.0045680185,1.0
x_AccrualRatioCF,0.0045490162,4.0
x_IndRel_PAdjChg1YEPS,0.0045393463,2.0
x_CVVolPrc30D,0.0045271395,1.0
x_IndRel_PM1M,0.004510491,1.0
x_IndRel_FCFEV,0.004501897,5.0
x_AdjAccruals,0.004499531,4.0
x_ConsQPosChgTTMEPS,0.0044961344,2.0
x_RskAdjRS,0.0044846134,1.0
x_12QTrendTTMEPS,0.0044781994,2.0
x_PM1M,0.0044745323,1.0
x_IndRel_TobinQ,0.004472191,6.0
x_IndRel_ShareChg,0.0044685616,6.0
x_AdjEBITDAEV,0.0044418103,5.0
x_IndRel_AstP,0.004439802,5.0
x_IO_NAT,0.0044328636,1.0
x_IndRel_FCFEqt,0.0044240486,5.0
x_Chg1YAmihud,0.0044193524,8.0
x_IndRel_MaxRetPayoff,0.0044168467,1.0
x_24MResRtnVar,0.004415613,1.0
x_52WVPT20DLag,0.004407158,1.0
x_CashAdjEV,0.004371684,5.0
x_Chg1YOCF,0.004369533,2.0
x_IO_InvDuration,0.004365821,1.0
x_CVVolPrc20D,0.0043457514,1.0
x_SalesAcc,0.004327192,2.0
x_LogAssets,0.004304002,7.0
x_IndRel_PM9M,0.0042979587,1.0
x_52WSlope,0.0042978465,1.0
x_ChgSalesMargin,0.0042823222,4.0
x_PAdjChg1YSales,0.0042774263,2.0
x_PM5D,0.0042673955,1.0
x_RevEstDisp,0.0042651175,3.0
x_IndRel_CashEV,0.0042627687,5.0
x_IndRel_LTDE,0.0042619146,6.0
x_Chg1YOPM,0.004258823,2.0
x_LogTTMSales,0.004247501,7.0
x_UnexpectedRecChg,0.004241127,4.0
x_IndRel_ChgSalesMargin,0.004240962,4.0
x_CQDOHtoSales,0.0042367526,2.0
x_IndRel_GPMargin,0.004234946,4.0
x_IndRel_LTDA,0.0042340765,6.0
x_DepToCapex,0.004222834,4.0
x_IndRel_CashAst,0.004213822,5.0
x_IndRel_DA,0.004212953,6.0
x_DivToCF,0.0042099548,5.0
x_Beta60M,0.004208189,8.0
x_Adj50DVolSig,0.00419731,8.0
x_PAdjChg3YSales,0.0041930564,2.0
x_IndRel_NCAP,0.0041859844,5.0
x_IndRel_CapExToAst,0.0041850028,6.0
x_IndRel_WCAccruals,0.0041663223,4.0
x_PSlopeSERR_26W,0.0041421447,1.0
x_IndRel_Chg1YOCF,0.0041293874,2.0
x_Alpha36M6MPChg,0.0041052154,1.0
x_STO,0.0041051153,1.0
x_InvToAstChg1Y,0.0040914267,4.0
x_Chg3YOPM,0.0040815403,2.0
x_IndRel_ROA,0.0040811547,6.0
x_IO_Concentration,0.0040806145,1.0
x_SalesToEPSChg,0.0040696696,4.0
x_InvToAst,0.004067717,4.0
x_IndRel_EP,0.0040602456,5.0
x_IndRel_OCFP,0.004054875,5.0
x_BP,0.004045073,5.0
x_IndRel_OEA,0.004034371,4.0
x_Chg1YROA,0.0040233615,2.0
x_IndRel_SolvencyRatio,0.0040143817,5.0
x_MaxRetPayoff,0.0040118946,1.0
x_RONA,0.0040113013,5.0
x_FL,0.0040103756,6.0
x_StdErr180D,0.004005568,1.0
x_IO_Foreign,0.0039951736,1.0
x_BuyToSellRecLess3MEMA,0.0039897244,3.0
x_ROE,0.0039714724,6.0
x_CVVolPrc60D,0.0039686556,1.0
x_AccrualRatioBS,0.0039572665,4.0
x_TobinQ,0.00394839,6.0
x_RecTurn,0.0039433055,6.0
x_calendarquarter,0.0039410437,
x_IndRel_PAdjChg1YSales,0.0039377296,2.0
x_6MChgTgtPrcGap,0.0039372863,3.0
x_AdjChgEPStoSales,0.003926148,4.0
x_IO_StabofChgHD,0.0039162184,1.0
x_IndRel_EPSEstDispFY1C,0.003915126,3.0
x_ETO,0.0038877688,4.0
x_130DMinRtn,0.0038823371,8.0
x_AstAdjChg1YCF,0.0038809506,2.0
x_IndRel_EBITDAEV,0.0038697582,5.0
x_IndRel_ROIC,0.0038676716,6.0
x_90DCV,0.0038642297,8.0
x_IndRel_SUEC,0.0038559756,3.0
x_CFAst,0.0038457958,4.0
x_Alpha12M6MPChg,0.0038326639,1.0
x_AstAdjChg3YEPS,0.003831391,2.0
x_AdjAstAdjChg1YFCF,0.0038273511,2.0
x_IndRel_EPSToSalesChg1Y,0.0038196833,4.0
x_PAdjChg1YEPS,0.0038195266,2.0
x_IO_BreadthStabBY,0.00381076,1.0
x_Alpha60M,0.0037999118,1.0
x_IndRel_EBITDAP,0.0037979404,5.0
x_14DayRSI,0.00379711,1.0
x_IndRel_FCFP,0.0037928422,5.0
x_IndRel_CashCycle,0.0037880025,4.0
x_AstGrwth,0.0037747684,6.0
x_Chg1YTurnover,0.0037717472,1.0
