model,r2,mse,rmse,mae
linear,-57.88296822192602,351.6671932625683,11.427041289900325,1.869549129634515
ridge,-1.947395958085026,17.37910515650215,3.54863891446565,1.7599197273662384
lasso,-0.0001444952004713951,5.867542343863417,2.422179535193139,1.8061997113666646
enet,-0.0001444952004713951,5.867542343863417,2.422179535193139,1.8061997113666646
xgb,0.20554144280914316,4.661434130663646,2.1588380499713984,1.6104858969996205
lgbm,0.20295294794978513,4.676663541840838,2.1623568125075403,1.6114768824769747
catboost,0.19553704939918826,4.720143186460211,2.172392026249608,1.6181957426611304
nn1,0.09948701972052158,5.284330380103141,2.298445775478995,1.7055503594533827
nn2,0.10155013232756552,5.273246029028977,2.2957574751019623,1.7020289453679962
nn3,0.10456248112426411,5.254478353585879,2.2919677598318837,1.7152199267449177
