model,r2,mse,rmse,mae
linear,110.83168332309776,662.4878419667688,14.869092797527404,0.21590439984620954
ridge,3.832318229699998,22.662283638145663,2.187753873552096,0.042038635613596144
lasso,0.0001412311462732582,0.11677398339988138,0.024261969313414806,0.018090142371453812
enet,0.0001412311462732582,0.11677398339988138,0.024261969313414806,0.018090142371453812
xgb,0.007058336446909553,0.1253906264772424,0.0291959699159831,0.022493847151326917
lgbm,0.007125593340761699,0.1272022748741123,0.02960670942657029,0.022173762762583305
catboost,0.006698750180551918,0.1263759301247836,0.029258686698736172,0.022041750198638754
nn1,0.013660157210096021,0.17581244597337073,0.03843692607250813,0.029583323317502172
nn2,0.02558723183328587,0.23889857156894184,0.052379810446776594,0.027200226662702713
nn3,0.011832788115375806,0.16808962244885367,0.036907200884049064,0.02826506026934585
