feature,importance,feature_category
x_STO,27.28071863100736,1.0
x_FCFP,-23.52451878464763,5.0
x_52WVPT20DLag,-1.7392048296402263,1.0
x_BP,-1.3160580339312187,5.0
x_CFP,-0.8516404686272638,5.0
x_OCFAst_2,0.31198678798953966,4.0
x_CashAst,0.22897748969213372,5.0
x_RevEstDisp,-0.22017412763292477,3.0
x_CashP,0.21422619044135938,5.0
x_SUEC,0.20289678218687146,3.0
x_EPSNumRevFY1C,0.19505550336306943,3.0
x_CFAst,-0.19168122306971824,4.0
x_CapExToAst,-0.1870819382548894,6.0
x_ConsQPosChgTTMEPS,-0.17942320563051728,2.0
x_PrcTo260DL,-0.16687936444171214,1.0
x_LTDA,-0.1600762853212538,6.0
x_TobinQ,0.15205488576837833,6.0
x_ShortIntRatio,-0.14964709173432644,1.0
x_IndRel_LTDA,0.12449963767914413,6.0
x_PAdjChg1YEPS,0.114386320799436,2.0
x_IO_BreadthStabHD,-0.10804998423625167,1.0
x_PA52WL20DLag,0.10621503934101728,1.0
x_AdjFwdEPC,0.10612493734716805,5.0
x_ConsQPosChginTTMCF,0.10496072079721996,2.0
x_CQPTTMCFtoSales,-0.10263602973072694,2.0
x_IndRel_OEP,-0.10180957780755229,5.0
x_IndRel_NCAP,-0.09017969288230665,5.0
x_LogTTMSales,-0.08779871631895952,7.0
x_AstAdjChg1YCF,0.08532861448764795,2.0
x_PM9M,0.08361327462879053,1.0
x_IndRel_EP,0.07910576767371302,5.0
x_AnnVol12M,0.07901672258434811,8.0
x_14DayRSI,0.07674610445452335,1.0
x_IndRel_PM1M,0.07540548414877946,1.0
x_AssetTurn_2,-0.07457415930537406,4.0
x_IndRel_PAdjChg1YEPS,-0.07345832556335252,2.0
x_AstAdjChg1YOCF,-0.07320229652637789,2.0
x_IndRel_CashP,-0.07266776578466577,5.0
x_PM6M,0.07063184118477484,1.0
x_130DMinRtn,-0.07037114779260079,8.0
x_IndRel_OCFP,0.06884786315963262,5.0
x_IndRel_DA,-0.06840944814964986,6.0
x_AdjChgEPStoSales,0.06786342884081059,4.0
x_CQDOHtoSales,0.06488011332813559,2.0
x_IO_BreadthStabBY,0.06456770248533417,1.0
x_Adj50DVolSig,0.06365580584658048,8.0
x_Chg1YTurnover,-0.06308523006547961,1.0
x_90DCV,0.06302451759361283,8.0
x_CVVolPrc30D,-0.06194773490464056,1.0
x_LogUnadjPrice,0.058829659877496776,1.0
x_IndRel_FwdFCFPC,-0.058550233752116654,5.0
x_PrcTo52WH,0.057061549316814286,1.0
x_IO_Foreign,0.05600929149939171,1.0
x_CVVolPrc60D,-0.05437710113984384,1.0
x_RecTurn,-0.054361719348998916,6.0
x_DivP,-0.05324398420715615,5.0
x_StdErr180D,0.05300050375403842,1.0
x_AstGrwth,0.05196335348596337,6.0
x_EPSStab,-0.05195237826413712,2.0
x_GPMargin,-0.05087307125231266,4.0
x_IndRel_CFP,-0.05048590890830651,5.0
x_PM5D,0.05009876355154641,1.0
x_calendarquarter,-0.049800824404720834,
x_STO_6M,0.04934353575705383,1.0
x_AdjEPSNumRevFY2C,0.04916125739876076,3.0
x_4To52WPrcOsc,-0.04860680515520066,1.0
x_IndRel_SolvencyRatio,-0.047036425676938665,5.0
x_IndRel_AstP,-0.04694518757898991,5.0
x_RelPrStr_12M,0.04684827651692319,1.0
x_IndRel_PTIP,0.04609974978911746,5.0
x_IO_Level,0.04447029713166134,1.0
x_AdjRev3MFY1C,-0.04338939152876675,3.0
x_IndRel_ShortIntTrdVol,0.04183472469264575,1.0
x_CQDRItoSales,-0.04152304973565801,2.0
x_IndRel_InvToAst,0.04129647407562326,4.0
x_IndRel_ROIC,0.040865070143855764,6.0
x_IndRel_CashCycle,0.03998914784512497,4.0
x_YoYChgDA,0.03931086295951014,8.0
x_IndRel_EBITDAEV,0.03899508882178382,5.0
x_6MAvgChg1MRecC,-0.03804869964509616,3.0
x_IndRel_RecTurn,0.037794722857861784,6.0
x_SharpeRatio,-0.03737903074469218,1.0
x_WCAccruals,-0.03730335013793873,4.0
x_60MAVGTTMROA,-0.036823004189503454,6.0
x_IndRel_EPSSurpC,-0.03680561907403407,3.0
x_AdjSTO_6M,0.035980059969029865,1.0
x_ROE,0.03552457348438787,6.0
x_IndRel_CapExToAst,0.035089876603927816,6.0
x_ChgSalesMargin,-0.03423746452797294,4.0
x_IndRel_TobinQ,0.032865088904623585,6.0
x_PSlopeSERR_26W,0.03274183275466758,1.0
x_ChgATO_2,-0.03251427587745199,2.0
x_IndRel_AssetTurn,-0.03231963246433822,4.0
x_FCFEqt,-0.03168739834897896,5.0
x_IndRel_CashAst,-0.030973211433413805,5.0
x_IO_ChgofIO_HF,0.030847101082053963,1.0
x_Alpha60M,-0.030758108649168642,1.0
x_InvToAst,0.03060946171614809,4.0
x_ROEStab,-0.029954132383576193,2.0
x_RONA,-0.029203351421875495,5.0
x_PM1M,-0.029102745390215734,1.0
x_IndRel_TotalAccruals,-0.027632924998006736,4.0
x_EBITDAEV,-0.02702916722789439,5.0
x_DebtChg1Y,-0.02600153500814284,6.0
x_IndRel_SP,0.025928262571017324,5.0
x_Chg1YLTDA,-0.025908349181348322,2.0
x_IndRel_PM12M1M,-0.02545067936231238,1.0
x_IndRel_PM6M,-0.025025121772744185,1.0
x_IndRel_WCAccruals,0.024978580511803905,4.0
x_IO_NAT,-0.0249738552367616,1.0
x_Chg1YAmihud,0.024805944535427837,8.0
x_AdjEBITP,-0.024776082553983336,5.0
x_ETO,0.02463419838339509,4.0
x_IO_Level_AM,-0.024600447867503428,1.0
x_24MResRtnVar,-0.023395840113856148,1.0
x_6MChgTgtPrcGap,0.02338923873892102,3.0
x_IndRel_FCFEV,-0.022623879101964395,5.0
x_AstAdjChg3YEPS,-0.022516325572272233,2.0
x_IndRel_ROE,-0.022235533751485313,6.0
x_InvToAsset,0.022052995478670345,4.0
x_AdjEPSNumRevFY1C,-0.02184670448493442,3.0
x_5DMoneyFlowVol,-0.02170834834260086,1.0
