feature,importance,feature_category
x_STO,1.667706288718931,1.0
x_52WVPT20DLag,-1.49681815299992,1.0
x_BP,-0.5117822708407843,5.0
x_CashP,0.3397553916065971,5.0
x_CFP,0.3279999816423581,5.0
x_OCFAst_2,0.2888206679320468,4.0
x_CashAst,0.2436761520936337,5.0
x_RevEstDisp,-0.216967189461634,3.0
x_SUEC,0.20322213562954622,3.0
x_AdjFwdFCFPC,-0.20041187978035604,5.0
x_EPSNumRevFY1C,0.19422005318448618,3.0
x_ConsQPosChgTTMEPS,-0.18088751138234938,2.0
x_CFAst,-0.18001013296890586,4.0
x_CapExToAst,-0.17129192159658158,6.0
x_PrcTo260DL,-0.16558741747017516,1.0
x_AdjFwdEPC,0.15902943733593086,5.0
x_TobinQ,0.15454728424530867,6.0
x_LTDA,-0.15138286929554426,6.0
x_ShortIntRatio,-0.14719238210592447,1.0
x_IndRel_LTDA,0.11986287204011942,6.0
x_IO_BreadthStabHD,-0.10901146463926878,1.0
x_ConsQPosChginTTMCF,0.10716310201865925,2.0
x_PA52WL20DLag,0.10396499446241354,1.0
x_CQPTTMCFtoSales,-0.10279045176122135,2.0
x_IndRel_OEP,-0.10049831628692671,5.0
x_FCFP,-0.09719334019088458,5.0
x_IndRel_NCAP,-0.09066759809853696,5.0
x_PAdjChg1YEPS,0.09064986149739675,2.0
x_AssetTurn_2,-0.08648245892338767,4.0
x_AstAdjChg1YCF,0.08625622705814172,2.0
x_PM9M,0.08309191045756668,1.0
x_AstAdjChg1YOCF,-0.07778717731547265,2.0
x_14DayRSI,0.07657461944727051,1.0
x_IndRel_EP,0.07566511233306997,5.0
x_AnnVol12M,0.07481020972083889,8.0
x_IndRel_PM1M,0.07443754966658957,1.0
x_IndRel_CashP,-0.07200057292117176,5.0
x_130DMinRtn,-0.07129294124625683,8.0
x_PM6M,0.07121269837972845,1.0
x_IndRel_PAdjChg1YEPS,-0.07057175011315704,2.0
x_AdjChgEPStoSales,0.06899233843357347,4.0
x_IndRel_DA,-0.06895116047395222,6.0
x_IndRel_FwdFCFPC,-0.06706243525522425,5.0
x_CQDOHtoSales,0.06471563557935042,2.0
x_IO_BreadthStabBY,0.06461603611898697,1.0
x_IndRel_OCFP,0.06431280449075412,5.0
x_Adj50DVolSig,0.06379656254260332,8.0
x_Chg1YTurnover,-0.06350721371213801,1.0
x_90DCV,0.06265771697110936,8.0
x_LogUnadjPrice,0.06197939265131434,1.0
x_CVVolPrc30D,-0.061881916612033766,1.0
x_LogAssets,-0.06171598355089543,7.0
x_EPSStab,-0.05949744909848743,2.0
x_PrcTo52WH,0.05923300565958743,1.0
x_IO_Foreign,0.057917412003633574,1.0
x_StdErr180D,0.05594641886952038,1.0
x_IndRel_CFP,-0.055365307215540026,5.0
x_RecTurn,-0.05473786422537893,6.0
x_AstGrwth,0.05441561418322227,6.0
x_CVVolPrc60D,-0.05421410098992257,1.0
x_IndRel_PTIP,0.05149556083910574,5.0
x_STO_6M,0.05083672098439771,1.0
x_DivP,-0.05071862801776637,5.0
x_LogTTMSales,-0.05054494228604749,7.0
x_calendarquarter,-0.04974837702541702,
x_AdjEPSNumRevFY2C,0.0490652800735511,3.0
x_GPMargin,-0.04894503105906649,4.0
x_PM5D,0.04888671283246371,1.0
x_RelPrStr_12M,0.04767201942603237,1.0
x_IndRel_AstP,-0.04583190719282582,5.0
x_IndRel_ROIC,0.04557953148968324,6.0
x_IndRel_SolvencyRatio,-0.04540086138371795,5.0
x_IO_Level,0.04296959684172276,1.0
x_YoYChgDA,0.0427218688061465,8.0
x_IndRel_EBITDAEV,0.04269659017878859,5.0
x_CQDRItoSales,-0.04213061529397442,2.0
x_IndRel_CashAst,-0.04082556946471115,5.0
x_AdjSTO_6M,0.04052755316884993,1.0
x_WCAccruals,-0.04039328634576384,4.0
x_IndRel_ShortIntTrdVol,0.03932019591756285,1.0
x_4To52WPrcOsc,-0.038856627024903535,1.0
x_IndRel_InvToAst,0.03834531861549134,4.0
x_6MAvgChg1MRecC,-0.038254927080129654,3.0
x_IndRel_RecTurn,0.03788017067477079,6.0
x_IndRel_EPSSurpC,-0.03776911125351144,3.0
x_SharpeRatio,-0.03759323850198151,1.0
x_60MAVGTTMROA,-0.03618271097073438,6.0
x_ROE,0.03522038167028432,6.0
x_InvToAst,0.03519290247271988,4.0
x_ChgSalesMargin,-0.03456562283356518,4.0
x_AdjRev3MFY1C,-0.03439293131541191,3.0
x_PSlopeSERR_26W,0.032394439905173045,1.0
x_IndRel_TobinQ,0.03238854951480507,6.0
x_EBITDAEV,-0.03143571339463634,5.0
x_IndRel_CashCycle,0.0313234727696515,4.0
x_ChgATO_2,-0.03131920997506767,2.0
x_IO_ChgofIO_HF,0.031308415372655704,1.0
x_IndRel_AssetTurn,-0.031159748144418617,4.0
x_FCFEqt,-0.030870687042540902,5.0
x_Alpha60M,-0.030782549589488437,1.0
x_IndRel_CapExToAst,0.02986330280228144,6.0
x_ROEStab,-0.029637747061073545,2.0
x_Chg1YLTDA,-0.02916735973631394,2.0
x_RONA,-0.029140328630308132,5.0
x_IndRel_TotalAccruals,-0.02843537880814269,4.0
x_IndRel_CFROIC,-0.02756050169669566,6.0
x_PM1M,-0.02675990428856992,1.0
x_IO_Level_AM,-0.025967590856781467,1.0
x_IndRel_PM6M,-0.02577769226052254,1.0
x_IO_NAT,-0.025639603097344345,1.0
x_DebtChg1Y,-0.025575808482944,6.0
x_IndRel_PM12M1M,-0.024924598679588055,1.0
x_24MResRtnVar,-0.02472805599822928,1.0
x_ETO,0.02449212356095537,4.0
x_IndRel_FCFEV,-0.024358277669590613,5.0
x_IndRel_WCAccruals,0.0240685203240093,4.0
x_Chg1YAmihud,0.023869374163216245,8.0
x_AdjEBITP,-0.023691873167295763,5.0
x_IndRel_SP,0.023568756985512973,5.0
x_6MChgTgtPrcGap,0.023432505152802013,3.0
x_AstAdjChg3YEPS,-0.02332291388144682,2.0
x_EPSToOCFChg,-0.021505555104441455,4.0
x_AdjEPSNumRevFY1C,-0.021478560909656427,3.0
x_IndRel_ROE,-0.0214656864752932,6.0
x_5DMoneyFlowVol,-0.02144035424363416,1.0
x_IndRel_SUEC,-0.02119622552959558,3.0
x_Chg4QSalesTrend,0.020659785796804542,2.0
