feature,importance,feature_category
x_AdjEBITP,0.04040881,5.0
x_AdjEBITDAEV,0.018790044,5.0
x_EBITDAEV,0.01827847,5.0
x_RevEstDisp,0.017080914,3.0
x_CashAst,0.014709195,5.0
x_CFP,0.013295444,5.0
x_SUEC,0.012867174,3.0
x_Rev3MFY2C,0.010726394,3.0
x_PrcTo260DL,0.009636838,1.0
x_EPSNumRevFY1C,0.009211253,3.0
x_GPMargin,0.008314313,4.0
x_4To52WPrcOsc,0.0075855367,1.0
x_SalesAcc,0.007124321,2.0
x_PM9M,0.0070385956,1.0
x_BP,0.0069229454,5.0
x_6MChgTgtPrc,0.0068723164,3.0
x_AdjEPSNumRevFY1C,0.0065171164,3.0
x_PA52WL20DLag,0.0064255274,1.0
x_DivP,0.0060770395,5.0
x_DivToCF,0.0060730195,5.0
x_calendarquarter,0.006043922,
x_ChgSalesMargin,0.0057263486,4.0
x_TobinQ,0.0056463536,6.0
x_EBITMargin,0.0055789966,4.0
x_AdjFwdEPC,0.005571518,5.0
x_PM6M,0.0055534453,1.0
x_AdjRev3MFY1C,0.0055037173,3.0
x_AdjEPSNumRevFY2C,0.005487703,3.0
x_CFAst,0.005347802,4.0
x_IndRel_PM1M,0.005281893,1.0
x_CapAcqRatio,0.005124758,6.0
x_IndRel_CashP,0.0050863945,5.0
x_PAdjChg1YSales,0.0050847633,2.0
x_CapExToAst,0.004979207,6.0
x_AstGrwth,0.0049240394,6.0
x_ShortIntRatio,0.004782871,1.0
x_CashEV,0.004735026,5.0
x_FL,0.0046333885,6.0
x_InvToAst,0.004604583,4.0
x_ConsQPosChgTTMEPS,0.0045394124,2.0
x_CashCycle,0.004501978,4.0
x_IO_Foreign,0.00449099,1.0
x_IndRel_TotalAccruals,0.004478694,4.0
x_Chg4QSalesTrend,0.004444886,2.0
x_RecTurn,0.00441297,6.0
x_MVEToTL,0.004400751,6.0
x_IndRel_OEP,0.0043702936,5.0
x_CFEV,0.004353671,5.0
x_PAdjChg3YSales,0.004311776,2.0
x_PM1M,0.0042548846,1.0
x_ETO,0.004227026,4.0
x_LogAssets,0.004210172,7.0
x_CVVolPrc60D,0.004197862,1.0
x_MaxRetPayoff,0.0041954624,1.0
x_UnexpectedRecChg,0.004192802,4.0
x_SharpeRatio,0.004186887,1.0
x_IndRel_FCFP,0.004180373,5.0
x_IndRel_InvToAsset,0.0041507636,4.0
x_LogTTMSales,0.0041293954,7.0
x_CashBurn,0.0041286564,4.0
x_IndRel_SolvencyRatio,0.004122258,5.0
x_AdjFwdFCFPC,0.0041132187,5.0
x_AnnVol12M,0.0041005863,8.0
x_IndRel_NCAP,0.0040921215,5.0
x_IndRel_OCFP,0.0040792497,5.0
x_CashAdjEV,0.0040660514,5.0
x_IndRel_CashAst,0.0040650037,5.0
x_IO_Concentration,0.004062459,1.0
x_IndRel_PAdjChg1YSales,0.0040242304,2.0
x_IndRel_FCFEqt,0.0040152185,5.0
x_CashP,0.0039975927,5.0
x_IO_StabofChgHD,0.0039952253,1.0
x_24MResRtnVar,0.00398513,1.0
x_IO_InvDuration,0.003975541,1.0
x_IndRel_SEV,0.003962488,5.0
x_IndRel_ROA,0.003961011,6.0
x_STO,0.003956799,1.0
x_IndRel_OEA,0.003949001,4.0
x_IndRel_OCFEV,0.003946083,5.0
x_IndRel_ShareChg,0.003939471,6.0
x_EBITEstDisp,0.003931775,3.0
x_CQDRItoSales,0.0039279805,2.0
x_Beta60M,0.003925797,8.0
x_IndRel_AstP,0.003924587,5.0
x_StdErr180D,0.00392069,1.0
x_IndRel_EBITDAP,0.0039189723,5.0
x_IndRel_PTMargin,0.0039156475,6.0
x_FCFEqt,0.0039139064,5.0
x_Alpha60M,0.0039110794,1.0
x_IndRel_RecTurn,0.00390346,6.0
x_DebtChg1Y,0.0039002893,6.0
x_AstAdjChg3YEPS,0.0038948373,2.0
x_IndRel_SP,0.003870377,5.0
x_Chg1YOCF,0.0038668883,2.0
x_RevMagFY1C,0.003864529,3.0
x_InvToAstChg1Y,0.0038596313,4.0
x_IndRel_GPMargin,0.0038549074,4.0
x_52WVPT20DLag,0.0038532796,1.0
x_IndRel_PAdjChg1YEPS,0.0038310196,2.0
x_REToAst_2,0.0038295526,4.0
x_IO_Level,0.0038269067,1.0
x_CVVolPrc30D,0.0038245164,1.0
x_ShareChg,0.0038201467,6.0
x_AdjRevMagC,0.0038007756,3.0
x_IndRel_MaxRetPayoff,0.00379874,1.0
x_DepToCapex,0.0037971719,4.0
x_RONA,0.0037884624,5.0
x_IndRel_EBITDAEV,0.003774179,5.0
