feature,importance,feature_category
x_RevEstDisp,11.98567059359446,3.0
x_SalesAcc,3.5022432754673543,2.0
x_Chg4QSalesTrend,2.255751026102197,2.0
x_CashAst,1.754605775157705,5.0
x_GPMargin,1.6887786502544775,4.0
x_EPSNumRevFY1C,1.360220744429693,3.0
x_ChgSalesMargin,1.3330427465405794,4.0
x_SUEC,1.1791663457205925,3.0
x_AdjFwdFCFPC,1.0793829107926538,5.0
x_AdjChgEPStoSales,1.0792618781176817,4.0
x_AdjEPSNumRevFY1C,0.9866332346590795,3.0
x_CashCycle,0.9846815357449611,4.0
x_AdjRev3MFY1C,0.9769977571300899,3.0
x_EPSEstDispFY2C,0.9486911954875245,3.0
x_SalesToInvCap,0.9408546201910144,4.0
x_IO_Foreign,0.9086312466286119,1.0
x_DivP,0.9056951249719482,5.0
x_PM9M,0.8742642817611076,1.0
x_FCFP,0.8741226458395922,5.0
x_IndRel_PM6M,0.8688087855121207,1.0
x_Chg1YOPM,0.8470991257682426,2.0
x_CapExToAst,0.8139533683506832,6.0
x_IndRel_MaxRetPayoff,0.8110910999893367,1.0
x_DivToCF,0.7648651344077331,5.0
x_12QTrendTTMEPS,0.7593537989289514,2.0
x_IndRel_RONA,0.7205152668686734,5.0
x_LogTTMSales,0.7123334597521006,7.0
x_IndRel_TotalAccruals,0.7035838222313047,4.0
x_4To52WPrcOsc,0.7027211392709034,1.0
x_AdjEPSNumRevFY2C,0.6815862475265827,3.0
x_PA52WL20DLag,0.6777368369240753,1.0
x_UnexpectedRecChg,0.6776609207169169,4.0
x_Rev3MFY2C,0.6702836796205034,3.0
x_AstGrwth,0.6633598817935485,6.0
x_PrcTo260DL,0.6567069746951858,1.0
x_IndRel_RecTurn,0.6478638311601939,6.0
x_AstAdjChg3YEPS,0.602562625595373,2.0
x_RecTurn,0.6004268138031067,6.0
x_IndRel_InvToAsset,0.5975110069704245,4.0
x_EBITDAEV,0.5966808746327844,5.0
x_AssetTurn_2,0.592137280076209,4.0
x_PM1M,0.5855522839238138,1.0
x_RevMagFY1C,0.5777377233741133,3.0
x_EBITEstDisp,0.572942276113781,3.0
x_SEV,0.5683212738346557,5.0
x_CFP,0.5658279380442813,5.0
