model,r2,mse,rmse,mae
linear,8713.120821109143,231127.31612746455,301.09658059553215,5.587235840695421
ridge,8.458677820751278,224.36871299204142,7.601310919200064,0.1584747599351024
lasso,0.00042076907780515743,0.5661621782904203,0.05479954931059827,0.038327165619684946
enet,0.00036254850229207753,0.5629168676006021,0.05455474043348754,0.038641533920265016
xgb,0.011695372354039663,0.636817195790277,0.06608483753032955,0.052298345096836577
lgbm,0.00983385813119046,0.6436948909174731,0.06643756038024536,0.047552236543169375
catboost,0.007290383545132649,0.5926730237624772,0.06093945709471716,0.049288140599325896
nn1,0.01325343195457645,0.7385790895382677,0.07307830085607774,0.05137273152585471
nn2,0.010119243080014568,0.6130365936186399,0.060751959190663465,0.054914904346384116
nn3,0.004999869796887049,0.625551593499234,0.0616472030634118,0.04324117959489216
