feature,importance,feature_category
x_STO,48.64466598389528,1.0
x_FCFP,-45.69322191796381,5.0
x_CFP,-5.5630970983235875,5.0
x_BP,3.044835661306726,5.0
x_52WVPT20DLag,-1.6948882430949181,1.0
x_CashP,1.14064163706969,5.0
x_PrcTo260DL,-0.4439218226283055,1.0
x_PA52WL20DLag,0.4047437869926833,1.0
x_LogTTMSales,-0.36062656564345374,7.0
x_LogAssets,0.3523380580876272,7.0
x_PAdjChg1YEPS,0.3425143785877256,2.0
x_OCFAst_2,0.29895295026245317,4.0
x_RevEstDisp,-0.2821090052022832,3.0
x_6MChgTgtPrc,0.27321204581899217,3.0
x_AnnVol12M,0.2595972676170845,8.0
x_ConsQPosChgTTMEPS,-0.25476936373766534,2.0
x_AdjFwdFCFPC,0.2532386502004962,5.0
x_CapExToAst,-0.25278583282335987,6.0
x_AssetTurn_2,-0.2503879972617335,4.0
x_CFAst,-0.23724379435344822,4.0
x_AdjChgEPStoSales,0.23388927288295544,4.0
x_InvToAst,0.23313034032025715,4.0
x_IndRel_AssetTurn,0.21920808089996724,4.0
x_EBITDAEV,0.21825551395260512,5.0
x_EPSNumRevFY1C,0.21039372766901998,3.0
x_CashAst,0.20256741321395233,5.0
x_ChgSalesMargin,-0.20182481974653443,4.0
x_AdjFwdEPC,0.19302810966968664,5.0
x_EPSStab,-0.191843787353137,2.0
x_4To52WPrcOsc,-0.18638936898162228,1.0
x_DivP,-0.173941066939872,5.0
x_PM9M,0.1690025582037149,1.0
x_IndRel_OCFEV,0.1618406087043282,5.0
x_AnnVol1M,0.15795903750839324,8.0
x_LogUnadjPrice,0.15671590273748964,1.0
x_IndRel_PM6M,-0.15466220254821256,1.0
x_IndRel_FCFEV,-0.15339645976731475,5.0
x_TobinQ,0.14533709806210315,6.0
x_IO_BreadthStabHD,-0.1442932066994176,1.0
x_CFEV,-0.13872031316467504,5.0
x_PM5D,0.13689737799720236,1.0
x_PrcTo52WH,0.13442550687622123,1.0
x_AstAdjChg1YCF,0.1312228731747429,2.0
x_MaxRetPayoff,-0.13113865972538896,1.0
x_90DCV,0.12560952271733206,8.0
x_IndRel_PAdjChg1YEPS,-0.12228914338415703,2.0
x_IndRel_OEP,-0.12005672688681135,5.0
x_IndRel_EP,0.11654998590153609,5.0
x_ShortIntRatio,-0.11498664419999205,1.0
x_CVVolPrc30D,-0.11286994072201528,1.0
x_SEV,-0.10989682053518637,5.0
x_SharpeRatio,-0.10821388092496553,1.0
x_Chg1YTurnover,-0.10482193495388392,1.0
x_IndRel_RecTurn,-0.1030355899042586,6.0
x_IndRel_PM12M1M,-0.09969796755651572,1.0
x_CapAcqRatio,0.09646937300301006,6.0
x_14DayRSI,0.0959972041034749,1.0
x_InvToAsset,0.09470558256657013,4.0
x_PTIToNOA,-0.09411648480453283,4.0
x_IndRel_DivP,0.09242063149802293,5.0
x_IndRel_PM1M,0.0913615978995086,1.0
x_AdjEPSNumRevFY1C,0.09073465850093854,3.0
x_calendarquarter,-0.09042218950809144,
x_IndRel_CFP,-0.09028974538589565,5.0
x_Rev3MFY2C,0.08842027564695076,3.0
x_AdjEPSNumRevFY2C,0.08841110077124803,3.0
x_AdjRev3MFY1C,-0.08601878964022847,3.0
x_130DMinRtn,-0.08347942096798633,8.0
x_IndRel_CashAst,0.08166553247048736,5.0
x_PM1M,0.081117104644997,1.0
x_IndRel_FwdFCFPC,-0.08065751715187638,5.0
x_Chg1YLTDA,-0.07893661549553377,2.0
x_IndRel_SUEC,0.07758849909482429,3.0
x_PSlopeSERR_26W,0.07560871194376162,1.0
x_IndRel_NCAP,-0.0755053650192114,5.0
x_IndRel_ChgSalesMargin,0.0750691310667766,4.0
x_RONA,-0.074988391876879,5.0
x_IO_ChgofNumBY,-0.07416638354118277,1.0
x_IO_Concentration,0.0740529137659165,1.0
x_IndRel_CashEV,-0.0712139274513115,5.0
x_52WSlope,0.07091355803745092,1.0
x_IndRel_CashP,-0.07012358400001983,5.0
x_PM6M,-0.06916040021783587,1.0
x_IndRel_AstP,-0.0671226907484126,5.0
x_IndRel_PAdjChg1YSales,0.06659449927064698,2.0
x_ROE,-0.06617267242011776,6.0
x_UnexpectedRecChg,-0.06473763023444368,4.0
x_IndRel_CashCycle,0.0639042489568653,4.0
x_CQDOHtoSales,0.0637265769315647,2.0
x_ETO,0.0616859927343576,4.0
x_IndRel_MaxRetPayoff,0.06159700176431321,1.0
x_AstAdjChg1YOCF,-0.06129634837583198,2.0
x_IndRel_DA,-0.061013814015883905,6.0
x_IO_ChgofIO_HF,0.060982520416216365,1.0
x_Chg4QSalesTrend,-0.06082230678025925,2.0
x_Chg1YOPM,-0.06031061405107918,2.0
x_60MAVGTTMROA,0.05924275325064794,6.0
x_IndRel_CapExToAst,0.05915274484054833,6.0
x_StdErr180D,-0.058612556870084376,1.0
x_CVVolPrc60D,-0.0577490686053892,1.0
x_CashBurn,0.057024562803479006,4.0
x_IndRel_OCFP,0.05469968641044698,5.0
x_AdjAstAdjChg1YFCF,0.05425981675685165,2.0
x_AccrualRatioBS,0.05375461177827423,4.0
x_AccrualRatioCF,-0.05342045980636506,4.0
x_IO_InvDuration,0.053070541136807314,1.0
x_IndRel_PM9M,0.05246791952106733,1.0
x_IndRel_FwdEPC,0.05240104459977454,5.0
x_IndRel_Chg1YOCF,0.05221256216254234,2.0
x_EBITEstDisp,-0.05092211393006488,3.0
x_BuyToSellRecLess3MEMA,0.0501177445276304,3.0
x_IndRel_PTIP,0.04906573680393611,5.0
x_IndRel_ShareChg,0.04878062010491213,6.0
x_REToAst_2,0.04796766384974127,4.0
x_AstAdjChg3YEPS,-0.047630498311211245,2.0
x_Chg1YAmihud,-0.047507379064521515,8.0
x_12QTrendTTMEPS,0.04718280737336238,2.0
x_EBITMargin,0.047173868112406314,4.0
x_5DVolSig,-0.04677991823558833,1.0
x_IndRel_PM5D,-0.046067813446686756,1.0
x_CQPTTMCFtoSales,-0.045068930024559695,2.0
x_PAdjChg3YSales,-0.045001690623878876,2.0
x_IndRel_EBITDAP,-0.04486555569926942,5.0
x_PAdjChg1YOCF,-0.044725689376798564,2.0
x_HL1M,0.04435498583465275,1.0
x_SUEC,0.043976321806357604,3.0
x_FCFEqt,0.043835807541512894,5.0
x_IndRel_EPSEstDispFY1C,0.04341605249994285,3.0
x_IndRel_SolvencyRatio,0.042512282541901425,5.0
x_AdjAccruals,-0.042483390666454346,4.0
x_RelPrStr_12M,0.042195749229036905,1.0
x_RevMagFY1C,-0.041235410436858966,3.0
x_IO_Level_AM,-0.0402408072093392,1.0
x_IndRel_ShortIntTrdVol,0.03859962146870077,1.0
x_IndRel_AccrualRatioBS,0.037332983653224516,4.0
x_IO_NAT,-0.03629169826829015,1.0
x_BVEV,-0.03620673312617925,5.0
x_ConsQPosChginTTMCF,-0.036095379480211465,2.0
x_IndRel_AccrualRatioCF,0.03390765075086272,4.0
x_YoYChgDA,0.03372321875036244,8.0
x_IndRel_ROA,0.0334713231827104,6.0
x_CashEV,0.032614531736843144,5.0
x_IndRel_FCFEqt,-0.03239537405656989,5.0
x_IO_ChgofIO_AM,-0.032348297121701064,1.0
x_AdjEBITP,-0.03184758141945576,5.0
x_CFIC,0.029474387005999025,4.0
x_LTDA,-0.028876170316483485,6.0
x_PAdjChg1YSales,0.028319602307583125,2.0
x_IndRel_GPMargin,-0.028317156393442844,4.0
x_24MResRtnVar,-0.027255827392265952,1.0
x_Adj50DVolSig,0.027149397309465195,8.0
x_IndRel_SP,0.026693722723446722,5.0
x_EPSEstDispFY1C,0.025729874013095677,3.0
x_CQDRItoSales,-0.024873058405757487,2.0
x_IndRel_Chg1YOPM,-0.024579478346464567,2.0
x_AdjSTO_6M,0.02399521335527366,1.0
x_Alpha12M6MPChg,-0.023806428153530207,1.0
x_ROA_2,-0.023428787147610097,6.0
x_IO_BreadthStabBY,0.023314166127462066,1.0
x_ROEStab,-0.02315216358087896,2.0
x_IndRel_TotalAccruals,0.022145276592434815,4.0
x_IndRel_PTMargin,0.021765786546694255,6.0
x_IndRel_CFROIC,-0.02045362273554152,6.0
x_IndRel_AdjAccruals,0.019842716354606674,4.0
x_IO_Level,0.01970480118165341,1.0
x_InvToAstChg1Y,-0.019220851295801422,4.0
x_PAdjChg3YEPS,-0.018487440392027654,2.0
x_CashCycle,-0.01792340247164037,4.0
x_IndRel_RONA,-0.017459039050497616,5.0
x_6MChgTgtPrcGap,0.017100092981957027,3.0
x_IndRel_EPSSurpC,0.01706905707971168,3.0
x_IO_StabofChgHD,0.016483247025417258,1.0
x_CVVolPrc20D,-0.016349048669656696,1.0
x_6MChgTgtPrcGapEMA,0.016311837942982577,3.0
x_SalesAcc,-0.015566061671626108,2.0
x_RecTurn,0.015551934283338342,6.0
x_IndRel_ROIC,0.01537611666524269,6.0
x_IndRel_DebtChg1Y,0.01524299193046047,6.0
x_IO_Foreign,0.015012974096326681,1.0
x_IndRel_EBITDAEV,-0.014520885931083194,5.0
x_IndRel_TobinQ,-0.014366515441173844,6.0
x_WCAccruals,0.01362500088012375,4.0
x_RskAdjRS,-0.013289578497669208,1.0
x_FL,-0.012214719174066468,6.0
x_Beta60M,-0.012036170188814754,8.0
x_ShareChg,-0.010981140909914644,6.0
x_6MAvgChg1MRecC,0.010728322631736287,3.0
x_IndRel_WCAccruals,0.010075090065654768,4.0
x_DivToCF,-0.010009185099200346,5.0
x_60MAVGTTMROE,0.009981886901673037,6.0
x_Alpha36M6MPChg,0.009927800287667932,1.0
x_IndRel_CFEV,-0.009799122115692116,5.0
x_GPMargin,-0.009218307736374998,4.0
x_IO_TO,0.008339638824900731,1.0
x_IndRel_LTDA,0.007551755423590489,6.0
x_STO_6M,0.007336670403654155,1.0
x_IndRel_EPSToSalesChg1Y,0.007250059959063748,4.0
x_DepToCapex,0.0070286667967446315,4.0
x_MVEToTL,0.006986244949660839,6.0
x_Chg3YOPM,0.006902229926338488,2.0
x_AstGrwth,-0.006781083597108939,6.0
x_Alpha60M,-0.006448078742131158,1.0
x_AdjEBITDAEV,0.00616640786955415,5.0
x_IndRel_OEA,-0.005661604691333366,4.0
x_ChgSalestoChgEPS,-0.0053502002626696354,4.0
x_5DMoneyFlowVol,-0.00516163061741981,1.0
x_SalesToEPSChg,0.005038324329868893,4.0
x_IndRel_LTDE,0.004661359656995545,6.0
x_IndRel_ROE,0.004366909316060985,6.0
x_Alpha18M6MPChg,0.004163568373677776,1.0
x_AdjRevMagC,0.004083379461118586,3.0
x_CashAdjEV,-0.004068845990908065,5.0
x_HL52W,0.004040333574311661,1.0
x_Chg1YROA,0.0038312913466689302,2.0
x_IndRel_DepToCapex,0.003213801949727757,4.0
x_IndRel_InvToAsset,0.003182770091579634,4.0
x_EPSEstDispFY2C,0.0030582480201106765,3.0
x_IndRel_InvToAst,-0.0030142453529767854,4.0
x_IndRel_SEV,0.0028334715333158123,5.0
x_SalesToInvCap,0.002251739322546409,4.0
x_Chg1YOCF,-0.0019766975209836307,2.0
x_IndRel_FCFP,-0.0017205103348341133,5.0
x_EPSToOCFChg,-0.0013186456420191048,4.0
x_DebtChg1Y,-0.0009578673916026403,6.0
x_ChgATO_2,-0.00015393852867745528,2.0
