feature,importance,feature_category
x_SUEC,8.610027607461205,3.0
x_RevEstDisp,3.5936960925960775,3.0
x_EPSEstDispFY1C,2.5846727756364323,3.0
x_EBITEstDisp,2.3323824858883255,3.0
x_EPSNumRevFY1C,1.6262730552739117,3.0
x_GPMargin,1.2399893979890315,4.0
x_CapAcqRatio,1.0920295448105501,6.0
x_IndRel_EPSEstDispFY1C,1.0741665314800568,3.0
x_IO_Level,1.0502289081689782,1.0
x_CashAst,1.023200589525879,5.0
x_calendarquarter,0.9942020033833412,
x_ChgATO_2,0.9060497844444956,2.0
x_SalesToInvCap,0.8935586140576712,4.0
x_IndRel_SUEC,0.846303331981741,3.0
x_PrcTo260DL,0.8432112280745089,1.0
x_CashEV,0.7804646161387011,5.0
x_AdjEPSNumRevFY1C,0.772497751443765,3.0
x_AdjEBITP,0.7460421942542724,5.0
x_Alpha12M6MPChg,0.73739771373635,1.0
x_MVEToTL,0.7218017354132326,6.0
x_IndRel_PM9M,0.7069138576242843,1.0
x_IO_InvDuration,0.696259962002504,1.0
x_AdjFwdEPC,0.6947319094320022,5.0
x_IndRel_ShareChg,0.6946728130272749,6.0
x_IndRel_InvToAsset,0.6937874822028519,4.0
x_IndRel_ChgSalesMargin,0.6835165885825362,4.0
x_IndRel_NCAP,0.682173873696492,5.0
x_CVVolPrc20D,0.6778825519401104,1.0
x_Chg1YAmihud,0.670819177931428,8.0
x_EPSStab,0.668088585652108,2.0
x_IO_Level_AM,0.6670001602769596,1.0
x_EPSEstDispFY2C,0.6605906032581396,3.0
x_PM6M,0.6286792547242804,1.0
x_RevMagFY1C,0.627820712827757,3.0
x_CVVolPrc30D,0.6272095413174656,1.0
x_DepToCapex,0.6268911462434008,4.0
x_EBITDAEV,0.6193409763212646,5.0
x_IndRel_PM6M,0.6016802942508682,1.0
x_AnnVol12M,0.5921071024601445,8.0
x_IndRel_InvToAst,0.5850111916884155,4.0
x_Alpha60M,0.5843237713167831,1.0
x_IndRel_CapExToAst,0.5792133211064301,6.0
x_IndRel_PAdjChg1YEPS,0.5759177748743334,2.0
x_IndRel_SolvencyRatio,0.5655325652927172,5.0
x_IndRel_GPMargin,0.5613647150396441,4.0
x_HL1M,0.5568286379836402,1.0
x_AdjFwdFCFPC,0.5560652011799877,5.0
x_IndRel_ShortIntTrdVol,0.5485982359597757,1.0
x_PM5D,0.5394802662469507,1.0
x_IndRel_FwdEPC,0.5386875766735244,5.0
x_IndRel_TotalAccruals,0.5348716345747797,4.0
x_InvToAsset,0.5315686491211591,4.0
x_ShortIntRatio,0.5300387327110629,1.0
x_IndRel_DA,0.5297413334043197,6.0
x_IndRel_SP,0.5257390858874916,5.0
x_ROA_2,0.5245234376158853,6.0
x_AnnVol1M,0.5237598336249492,8.0
x_IndRel_EPSSurpC,0.5180949329600372,3.0
x_RskAdjRS,0.5063723748721439,1.0
x_AdjEPSNumRevFY2C,0.5022082600152633,3.0
x_IndRel_PM5D,0.4885051099761226,1.0
x_ChgSalestoChgEPS,0.483865570231424,4.0
x_LogAssets,0.47639495002663107,7.0
x_SalesToEPSChg,0.4631944396955368,4.0
x_AdjRevMagC,0.462758794215566,3.0
x_CashAdjEV,0.4584410283292739,5.0
x_UnexpectedRecChg,0.457959399103559,4.0
x_IndRel_PM1M,0.4515175969921122,1.0
x_RecTurn,0.4478837422652191,6.0
x_BVEV,0.44511436913366975,5.0
x_IndRel_PM12M1M,0.44425401978105955,1.0
x_SEV,0.4434226235115719,5.0
x_HL52W,0.4414158109632857,1.0
x_5DMoneyFlowVol,0.4376775069153091,1.0
x_ShareChg,0.43526278256649614,6.0
x_6MAvgChg1MRecC,0.4326456334407259,3.0
x_IndRel_ROE,0.426690201554856,6.0
x_Beta60M,0.4246796783478107,8.0
x_EBITMargin,0.4089996242513095,4.0
x_BuyToSellRecLess3MEMA,0.4076452009333002,3.0
x_PAdjChg1YSales,0.40711278988380944,2.0
x_6MChgTgtPrcGapEMA,0.4067664545546633,3.0
x_IndRel_LTDA,0.4044099155619484,6.0
