feature,importance,feature_category
x_SUEC,188,3.0
x_EBITEstDisp,174,3.0
x_RevEstDisp,165,3.0
x_EPSEstDispFY1C,161,3.0
x_IndRel_EPSEstDispFY1C,136,3.0
x_IO_Level,113,1.0
x_IndRel_SUEC,112,3.0
x_EPSNumRevFY1C,102,3.0
x_IndRel_Chg1YOPM,99,2.0
x_IO_InvDuration,98,1.0
x_IO_ChgofNumBY,97,1.0
x_Alpha18M6MPChg,97,1.0
x_CashAst,97,5.0
x_5DMoneyFlowVol,95,1.0
x_IndRel_SP,95,5.0
x_IndRel_ShareChg,95,6.0
x_IndRel_EPSSurpC,91,3.0
x_IndRel_FwdEPC,91,5.0
x_IndRel_CapExToAst,90,6.0
x_IndRel_PM6M,89,1.0
x_IndRel_NCAP,89,5.0
x_EPSEstDispFY2C,89,3.0
x_CVVolPrc20D,89,1.0
x_Alpha12M6MPChg,89,1.0
x_IndRel_RecTurn,88,6.0
x_IndRel_PAdjChg1YEPS,88,2.0
x_Alpha36M6MPChg,86,1.0
x_CVVolPrc60D,85,1.0
x_Chg1YAmihud,85,8.0
x_EPSStab,85,2.0
x_Chg1YTurnover,84,1.0
x_130DMinRtn,84,8.0
x_IO_ChgofIO_HF,84,1.0
x_IndRel_DepToCapex,84,4.0
x_IndRel_SolvencyRatio,84,5.0
x_SalesToEPSChg,84,4.0
x_IO_TO,83,1.0
x_5DVolSig,83,1.0
x_IndRel_PM9M,82,1.0
x_IndRel_InvToAsset,82,4.0
x_CapAcqRatio,81,6.0
x_IndRel_AccrualRatioCF,81,4.0
x_IO_Level_AM,81,1.0
x_PrcTo260DL,80,1.0
x_IndRel_ChgSalesMargin,80,4.0
x_IO_StabofChgHD,80,1.0
x_6MChgTgtPrcGapEMA,80,3.0
x_IndRel_GPMargin,80,4.0
x_IO_Foreign,80,1.0
x_Adj50DVolSig,79,8.0
x_GPMargin,79,4.0
x_ChgATO_2,79,2.0
x_BuyToSellRecLess3MEMA,78,3.0
x_IndRel_PM12M1M,78,1.0
x_IndRel_ShortIntTrdVol,78,1.0
x_STO_6M,78,1.0
x_AdjRevMagC,78,3.0
x_IndRel_DivP,77,5.0
x_IndRel_InvToAst,77,4.0
x_EPSToOCFChg,77,4.0
x_IndRel_BP,77,5.0
x_PM5D,77,1.0
x_LogAssets,77,7.0
x_IndRel_FwdFCFPC,76,5.0
x_Chg4QSalesTrend,76,2.0
x_IndRel_OCFEV,76,5.0
x_UnexpectedRecChg,76,4.0
x_RevMagFY1C,75,3.0
x_IndRel_MaxRetPayoff,75,1.0
x_DepToCapex,75,4.0
x_IndRel_LTDA,74,6.0
x_IndRel_CashCycle,74,4.0
x_AdjAccruals,74,4.0
x_CVVolPrc30D,74,1.0
x_IO_ChgofIO_AM,74,1.0
x_IndRel_RONA,74,5.0
x_LogUnadjPrice,74,1.0
x_IO_NAT,74,1.0
x_IndRel_PM1M,74,1.0
x_IndRel_EPSToSalesChg1Y,73,4.0
x_IndRel_PTMargin,73,6.0
x_IO_Concentration,73,1.0
x_SalesToInvCap,73,4.0
x_IndRel_ROE,72,6.0
x_IndRel_ROA,72,6.0
x_Chg1YOPM,72,2.0
x_ShortIntRatio,72,1.0
x_6MAvgChg1MRecC,72,3.0
x_IndRel_TobinQ,71,6.0
x_IndRel_PM5D,71,1.0
x_IndRel_CashEV,71,5.0
x_AnnVol1M,71,8.0
x_IndRel_OEA,71,4.0
x_RskAdjRS,70,1.0
x_IndRel_TotalAccruals,69,4.0
x_IndRel_LTDE,69,6.0
x_IndRel_AstP,69,5.0
x_TobinQ,69,6.0
