feature,importance,feature_category
x_SUEC,0.040100347,3.0
x_RevEstDisp,0.011234296,3.0
x_EPSNumRevFY1C,0.0091143325,3.0
x_CashAst,0.008209527,5.0
x_CapAcqRatio,0.0076503367,6.0
x_EPSEstDispFY1C,0.007360878,3.0
x_AdjEBITP,0.007217627,5.0
x_EBITMargin,0.00692903,4.0
x_SalesToInvCap,0.0067777964,4.0
x_EBITEstDisp,0.0066125486,3.0
x_AdjEPSNumRevFY1C,0.0066123954,3.0
x_GPMargin,0.0065826555,4.0
x_DepToCapex,0.006082591,4.0
x_AdjEPSNumRevFY2C,0.006028275,3.0
x_CashEV,0.0056588505,5.0
x_AdjRevMagC,0.0056187855,3.0
x_IO_Level,0.0055550016,1.0
x_PrcTo260DL,0.0053411084,1.0
x_AdjFwdEPC,0.00528878,5.0
x_calendarquarter,0.0052268347,
x_PM6M,0.005212523,1.0
x_TobinQ,0.0050714957,6.0
x_EPSEstDispFY2C,0.005043465,3.0
x_EBITDAEV,0.0050052647,5.0
x_PM1M,0.0049981647,1.0
x_FCFEqt,0.0049811974,5.0
x_AdjRev3MFY1C,0.0049779685,3.0
x_IO_InvDuration,0.00495944,1.0
x_CFP,0.0049469206,5.0
x_IndRel_EP,0.0049141333,5.0
x_IndRel_TotalAccruals,0.0048837406,4.0
x_AdjEBITDAEV,0.0048828432,5.0
x_CashAdjEV,0.004813001,5.0
x_InvToAst,0.0048101093,4.0
x_52WSlope,0.004777059,1.0
x_RevMagFY1C,0.0047563105,3.0
x_DivToCF,0.0047446834,5.0
x_IndRel_OCFEV,0.0047364174,5.0
x_LogAssets,0.0046949596,7.0
x_CVVolPrc20D,0.0046656015,1.0
x_IndRel_PM9M,0.0046535744,1.0
x_AnnVol12M,0.00465236,8.0
x_IndRel_SUEC,0.0046374146,3.0
x_AstAdjChg1YOCF,0.0046309577,2.0
x_6MChgTgtPrc,0.004627679,3.0
x_PrcTo52WH,0.004614477,1.0
x_CashBurn,0.0046112947,4.0
x_CFAst,0.0046064514,4.0
x_RONA,0.0046017305,5.0
x_IndRel_CFEV,0.004593952,5.0
x_AccrualRatioBS,0.0045329183,4.0
x_AdjAccruals,0.0045189634,4.0
x_CFEV,0.0045121443,5.0
x_AdjFwdFCFPC,0.004510552,5.0
x_HL52W,0.004495254,1.0
x_IndRel_CashCycle,0.0044903317,4.0
x_IndRel_PM12M1M,0.004486953,1.0
x_CVVolPrc30D,0.0044853054,1.0
x_IndRel_ROIC,0.004482264,6.0
x_AstGrwth,0.0044810246,6.0
x_5DMoneyFlowVol,0.0044528814,1.0
x_IndRel_EPSEstDispFY1C,0.004451311,3.0
x_RecTurn,0.0044506066,6.0
x_IndRel_OCFP,0.0044446676,5.0
x_IndRel_AssetTurn,0.0044129575,4.0
x_IO_Level_AM,0.0044115656,1.0
x_ETO,0.0044098645,4.0
x_IndRel_CapExToAst,0.0044029667,6.0
x_Chg1YLTDA,0.004394187,2.0
x_PM5D,0.0043909396,1.0
x_EPSToOCFChg,0.0043852883,4.0
x_IndRel_PTIP,0.004374291,5.0
x_AstAdjChg1YCF,0.004373706,2.0
x_AdjChgEPStoSales,0.004365625,4.0
x_ShareChg,0.0043588476,6.0
x_6MAvgChg1MRecC,0.0043551624,3.0
x_IndRel_ShareChg,0.0043455255,6.0
x_IndRel_SolvencyRatio,0.004342394,5.0
x_BuyToSellRecLess3MEMA,0.004341235,3.0
x_IndRel_OEP,0.004337271,5.0
x_IO_BreadthStabHD,0.0043323,1.0
x_IndRel_ShortIntTrdVol,0.004327704,1.0
x_IndRel_CFP,0.004327032,5.0
x_Rev3MFY2C,0.004323527,3.0
x_CashP,0.004318542,5.0
x_Chg1YOPM,0.004314345,2.0
x_IndRel_ROA,0.0043112626,6.0
x_CapExToAst,0.004306976,6.0
x_StdErr180D,0.0042895675,1.0
x_LTDA,0.004252448,6.0
x_IndRel_CashP,0.0042376327,5.0
x_IndRel_PM1M,0.0042349827,1.0
x_PAdjChg1YSales,0.0042302483,2.0
x_IO_Foreign,0.004226425,1.0
x_IndRel_FCFP,0.0042089345,5.0
x_IndRel_OEA,0.0042083524,4.0
x_IndRel_PAdjChg1YEPS,0.00418994,2.0
x_IndRel_ROE,0.004187547,6.0
x_14DayRSI,0.0041859024,1.0
x_IndRel_GPMargin,0.00418381,4.0
x_IndRel_BP,0.0041836514,5.0
x_AnnVol1M,0.0041803587,8.0
x_DivP,0.0041797515,5.0
x_IO_ChgofIO_AM,0.0041797087,1.0
x_IndRel_InvToAst,0.004177386,4.0
x_IndRel_Chg1YOCF,0.0041772346,2.0
x_IndRel_FwdFCFPC,0.0041740714,5.0
x_MVEToTL,0.0041631446,6.0
x_PSlopeSERR_26W,0.004151706,1.0
x_ShortIntRatio,0.004147161,1.0
x_130DMinRtn,0.004144433,8.0
x_AccrualRatioCF,0.0041399826,4.0
x_ChgSalesMargin,0.004135537,4.0
x_LogTTMSales,0.004130551,7.0
x_InvToAstChg1Y,0.004129579,4.0
x_RskAdjRS,0.0041289274,1.0
x_WCAccruals,0.0041275714,4.0
x_OCFAst_2,0.004123803,4.0
x_STO_6M,0.004120676,1.0
x_PM9M,0.004120496,1.0
x_IndRel_LTDE,0.004110153,6.0
x_SalesToEPSChg,0.0041046473,4.0
x_IndRel_ChgSalesMargin,0.0041012936,4.0
x_IndRel_NCAP,0.0041012713,5.0
x_IndRel_SP,0.004090934,5.0
x_EPSStab,0.0040876693,2.0
x_IndRel_DA,0.0040812087,6.0
x_UnexpectedRecChg,0.0040790383,4.0
x_IndRel_SEV,0.0040779742,5.0
x_IndRel_InvToAsset,0.0040761866,4.0
x_ChgSalestoChgEPS,0.004064107,4.0
x_IndRel_PAdjChg1YSales,0.004061024,2.0
x_IndRel_FCFEqt,0.004056431,5.0
x_FL,0.004055871,6.0
x_SalesAcc,0.0040515913,2.0
x_IndRel_WCAccruals,0.004044188,4.0
x_IndRel_EBITDAEV,0.0040401192,5.0
x_YoYChgDA,0.004034829,8.0
x_Alpha60M,0.0040309173,1.0
x_Chg1YAmihud,0.0040262253,8.0
x_Beta60M,0.0040226886,8.0
x_6MChgTgtPrcGap,0.004014881,3.0
x_MaxRetPayoff,0.0040074773,1.0
x_InvToAsset,0.0040041716,4.0
x_IndRel_EBITDAP,0.004004052,5.0
x_REToAst_2,0.003993455,4.0
x_IO_ChgofIO_HF,0.0039777895,1.0
x_IndRel_FwdEPC,0.003965535,5.0
x_CQDRItoSales,0.0039591994,2.0
x_CFIC,0.003941222,4.0
x_IndRel_AstP,0.00393253,5.0
x_CashCycle,0.003923781,4.0
x_BP,0.0039231647,5.0
x_CQDOHtoSales,0.0039174706,2.0
x_PTIToNOA,0.003911153,4.0
x_IndRel_RecTurn,0.0039086915,6.0
x_IndRel_DivP,0.003906679,5.0
x_12QTrendTTMEPS,0.003898334,2.0
x_CVVolPrc60D,0.0038721017,1.0
x_Chg1YTurnover,0.0038522012,1.0
x_ROE,0.0038462603,6.0
x_4To52WPrcOsc,0.0038437124,1.0
x_AstAdjChg3YEPS,0.0038388767,2.0
x_Alpha12M6MPChg,0.0038383058,1.0
x_DebtChg1Y,0.0038231895,6.0
x_STO,0.003818315,1.0
x_ConsQPosChginTTMCF,0.0038136856,2.0
x_PAdjChg1YOCF,0.0038051882,2.0
x_IndRel_PTMargin,0.003804408,6.0
x_IndRel_RONA,0.0037982792,5.0
x_IndRel_CFROIC,0.0037976685,6.0
x_IndRel_CashAst,0.0037897287,5.0
x_IO_Concentration,0.003785533,1.0
x_IndRel_TobinQ,0.0037817277,6.0
x_SharpeRatio,0.003780937,1.0
x_PAdjChg3YSales,0.0037790658,2.0
x_HL1M,0.0037697065,1.0
x_ConsQPosChgTTMEPS,0.0037556703,2.0
x_PAdjChg1YEPS,0.00374045,2.0
x_52WVPT20DLag,0.003737084,1.0
x_Alpha36M6MPChg,0.0037307413,1.0
x_Chg1YOCF,0.0037191547,2.0
x_IndRel_PM5D,0.0037135868,1.0
x_PAdjChg3YEPS,0.003700922,2.0
x_IndRel_PM6M,0.0036972424,1.0
x_IO_StabofChgHD,0.0036712296,1.0
x_AdjAstAdjChg1YFCF,0.0036675495,2.0
x_IO_ChgofNumBY,0.0036674042,1.0
x_6MChgTgtPrcGapEMA,0.003664251,3.0
x_ROA_2,0.003652381,6.0
x_AdjSTO_6M,0.0036383923,1.0
x_IndRel_FCFEV,0.0036297904,5.0
x_90DCV,0.003614204,8.0
x_Adj50DVolSig,0.0036125232,8.0
x_IO_BreadthStabBY,0.0035891598,1.0
x_5DVolSig,0.0035874224,1.0
x_PA52WL20DLag,0.0035838617,1.0
x_Chg4QSalesTrend,0.0035727825,2.0
x_Chg3YOPM,0.0035645068,2.0
x_RelPrStr_12M,0.0035355003,1.0
x_IO_NAT,0.0035344665,1.0
x_Alpha18M6MPChg,0.0035326576,1.0
x_Chg1YROA,0.003507371,2.0
x_IndRel_LTDA,0.003501486,6.0
x_24MResRtnVar,0.0034904392,1.0
x_IndRel_EPSToSalesChg1Y,0.003476239,4.0
x_IndRel_Chg1YOPM,0.0034129203,2.0
x_IndRel_CashEV,0.0034043435,5.0
x_AssetTurn_2,0.0033784627,4.0
x_IndRel_MaxRetPayoff,0.003246786,1.0
x_SEV,0.0032216597,5.0
x_ChgATO_2,0.003207359,2.0
x_IndRel_AccrualRatioCF,0.0031944036,4.0
x_IndRel_DepToCapex,0.0031636092,4.0
x_CQPTTMCFtoSales,0.0031532291,2.0
x_IndRel_EPSSurpC,0.0031331335,3.0
x_LogUnadjPrice,0.0030840114,1.0
x_IndRel_AdjAccruals,0.003060534,4.0
x_IndRel_DebtChg1Y,0.003022166,6.0
x_IndRel_AccrualRatioBS,0.0028833281,4.0
x_ROEStab,0.0027610352,2.0
x_IO_TO,0.002648497,1.0
x_BVEV,0.0020078344,5.0
x_FCFP,0.0017404925,5.0
x_60MAVGTTMROE,0.0011309215,6.0
x_60MAVGTTMROA,0.0007125371,6.0
