feature,importance,feature_category
x_AnnVol12M,2.010485220858736,8.0
x_CashAst,1.145729710532942,5.0
x_IndRel_EPSEstDispFY1C,1.0061727300042622,3.0
x_AdjFwdEPC,-0.9702186350480762,5.0
x_IndRel_SUEC,0.9243181462407227,3.0
x_ConsQPosChgTTMEPS,-0.9006827703593581,2.0
x_PM6M,0.7392381898437232,1.0
x_LogUnadjPrice,-0.7169366716669877,1.0
x_90DCV,0.5486754714003145,8.0
x_EPSNumRevFY1C,0.5299118148780465,3.0
x_EBITMargin,-0.5296993858002523,4.0
x_EPSEstDispFY2C,0.46118690561196285,3.0
x_EBITEstDisp,0.45728297275822416,3.0
x_130DMinRtn,-0.44763138035321076,8.0
x_PM1M,0.4149597380012578,1.0
x_PM9M,0.3095727624611003,1.0
x_IO_Concentration,0.260260277813095,1.0
x_CVVolPrc60D,-0.24207836506629166,1.0
x_IndRel_SEV,0.21080195547634023,5.0
x_4To52WPrcOsc,-0.20946642888411487,1.0
x_CVVolPrc20D,-0.20680890529717508,1.0
x_IO_Level,0.18864147044201182,1.0
x_SEV,0.17046113300620314,5.0
x_IndRel_CashAst,0.16561071381505818,5.0
x_IndRel_EPSSurpC,0.14891477928628818,3.0
x_AdjEPSNumRevFY2C,0.14640887567645045,3.0
x_IndRel_SolvencyRatio,-0.1396978858637751,5.0
x_SUEC,0.1331428445645925,3.0
x_BuyToSellRecLess3MEMA,0.1273459582548893,3.0
x_IndRel_DivP,-0.12433281639549701,5.0
x_OCFAst_2,-0.12304167184519102,4.0
x_AdjEPSNumRevFY1C,0.11077571540569349,3.0
x_IO_BreadthStabBY,-0.10435046549148919,1.0
x_IndRel_PTMargin,-0.0953452685040233,6.0
x_6MChgTgtPrc,0.06493725762965814,3.0
x_AnnVol1M,0.04903841823228171,8.0
x_IndRel_ShareChg,0.04545789750824288,6.0
x_IndRel_AdjAccruals,-0.035590197858377,4.0
x_ConsQPosChginTTMCF,-0.027783771077155867,2.0
x_IndRel_PAdjChg1YSales,-0.020886827695072937,2.0
x_IndRel_CFEV,0.016082337378577588,5.0
x_CVVolPrc30D,-0.006920360146053994,1.0
x_ROA_2,-0.006562866234588971,6.0
x_EPSEstDispFY1C,0.0,3.0
x_CFEV,0.0,5.0
x_PM5D,0.0,1.0
x_PSlopeSERR_26W,0.0,1.0
x_AdjRevMagC,-0.0,3.0
x_AdjRev3MFY1C,-0.0,3.0
x_CapAcqRatio,0.0,6.0
x_AstAdjChg1YCF,0.0,2.0
x_AstAdjChg1YOCF,0.0,2.0
x_IndRel_PM9M,-0.0,1.0
x_IndRel_RecTurn,-0.0,6.0
x_IndRel_SP,0.0,5.0
x_IndRel_ShortIntTrdVol,0.0,1.0
x_IndRel_TobinQ,-0.0,6.0
x_6MChgTgtPrcGap,-0.0,3.0
x_6MChgTgtPrcGapEMA,-0.0,3.0
x_AdjEBITP,0.0,5.0
x_AdjSTO_6M,0.0,1.0
x_AstGrwth,0.0,6.0
x_CFP,-0.0,5.0
x_Chg1YLTDA,-0.0,2.0
x_Chg1YROA,-0.0,2.0
x_Chg1YTurnover,-0.0,1.0
x_ChgSalestoChgEPS,0.0,4.0
x_IO_NAT,-0.0,1.0
x_MVEToTL,0.0,6.0
x_RevEstDisp,0.0,3.0
x_12QTrendTTMEPS,-0.0,2.0
x_14DayRSI,0.0,1.0
x_5DMoneyFlowVol,0.0,1.0
x_AdjFwdFCFPC,-0.0,5.0
x_Chg1YAmihud,-0.0,8.0
x_IndRel_EBITDAP,0.0,5.0
x_IndRel_EP,0.0,5.0
x_IndRel_FCFEV,-0.0,5.0
x_IndRel_FCFEqt,0.0,5.0
x_IndRel_FCFP,-0.0,5.0
x_IndRel_InvToAsset,0.0,4.0
x_IndRel_OCFEV,0.0,5.0
x_IndRel_OCFP,-0.0,5.0
x_IndRel_PAdjChg1YEPS,-0.0,2.0
x_IndRel_PM12M1M,-0.0,1.0
x_IndRel_PM1M,0.0,1.0
x_IndRel_DA,0.0,6.0
x_BVEV,0.0,5.0
x_FCFP,0.0,5.0
x_IO_TO,-0.0,1.0
x_ROEStab,-0.0,2.0
x_AssetTurn_2,0.0,4.0
x_ChgATO_2,0.0,2.0
x_IndRel_TotalAccruals,0.0,4.0
x_IndRel_WCAccruals,0.0,4.0
x_AccrualRatioBS,0.0,4.0
x_Adj50DVolSig,-0.0,8.0
x_CFAst,-0.0,4.0
x_IndRel_PTIP,0.0,5.0
x_CashCycle,0.0,4.0
x_Chg1YOCF,-0.0,2.0
x_Chg1YOPM,0.0,2.0
x_ChgSalesMargin,0.0,4.0
x_EBITDAEV,0.0,5.0
x_FCFEqt,0.0,5.0
x_IndRel_CFROIC,-0.0,6.0
x_IndRel_OEP,0.0,5.0
x_IndRel_LTDE,0.0,6.0
x_IndRel_ROA,-0.0,6.0
x_IndRel_ROE,0.0,6.0
x_IndRel_EBITDAEV,0.0,5.0
x_InvToAsset,-0.0,4.0
x_ROE,0.0,6.0
