feature,importance,feature_category
x_AdjFwdEPC,0.018676948,5.0
x_AnnVol12M,0.017951036,8.0
x_SUEC,0.014463332,3.0
x_PrcTo260DL,0.013662981,1.0
x_EBITMargin,0.009982774,4.0
x_AdjRevMagC,0.009679412,3.0
x_PTIToNOA,0.009245116,4.0
x_EPSEstDispFY1C,0.008742459,3.0
x_AdjRev3MFY1C,0.0087181805,3.0
x_EBITEstDisp,0.008214155,3.0
x_CashP,0.00705936,5.0
x_CashEV,0.006583093,5.0
x_RevMagFY1C,0.0065456973,3.0
x_PAdjChg1YOCF,0.0064571276,2.0
x_ROE,0.00634404,6.0
x_ChgSalestoChgEPS,0.0062300777,4.0
x_CFIC,0.0061873337,4.0
x_EPSEstDispFY2C,0.0060217446,3.0
x_AccrualRatioCF,0.005954632,4.0
x_AdjEBITDAEV,0.005772153,5.0
x_PA52WL20DLag,0.0055780844,1.0
x_CashAdjEV,0.005554307,5.0
x_DivP,0.005420093,5.0
x_CVVolPrc20D,0.0053721657,1.0
x_AdjEPSNumRevFY1C,0.0052869646,3.0
x_AdjEBITP,0.005258494,5.0
x_IndRel_PTIP,0.0051285606,5.0
x_PM1M,0.00509726,1.0
x_LTDA,0.0050879074,6.0
x_AdjEPSNumRevFY2C,0.005073748,3.0
x_IndRel_EPSSurpC,0.0050269207,3.0
x_AdjAccruals,0.0049394816,4.0
x_6MChgTgtPrcGapEMA,0.0049221464,3.0
x_24MResRtnVar,0.0049203793,1.0
x_EBITDAEV,0.0049199625,5.0
x_IndRel_EP,0.0049109,5.0
x_CashCycle,0.0048408397,4.0
x_IndRel_PM12M1M,0.0048096282,1.0
x_WCAccruals,0.0047877533,4.0
x_IndRel_TotalAccruals,0.0047638924,4.0
x_SEV,0.0047485246,5.0
x_LogAssets,0.004736036,7.0
x_InvToAst,0.004735648,4.0
x_Rev3MFY2C,0.004729127,3.0
x_MaxRetPayoff,0.004712081,1.0
x_PM5D,0.0047012367,1.0
x_Alpha60M,0.004698898,1.0
x_IndRel_InvToAsset,0.0046785446,4.0
x_Chg1YOPM,0.0046681147,2.0
x_IndRel_ShortIntTrdVol,0.0046650805,1.0
x_BuyToSellRecLess3MEMA,0.0045988522,3.0
x_REToAst_2,0.004596024,4.0
x_CFEV,0.0045948676,5.0
x_IndRel_OEP,0.0045882594,5.0
x_PAdjChg1YEPS,0.0045863804,2.0
x_AdjFwdFCFPC,0.004577326,5.0
x_InvToAstChg1Y,0.0045380592,4.0
x_IndRel_ShareChg,0.0045359326,6.0
x_Chg1YOCF,0.004526225,2.0
x_IndRel_OCFP,0.004506524,5.0
x_IO_InvDuration,0.0045047756,1.0
x_CashAst,0.00449975,5.0
x_PM6M,0.004483637,1.0
x_IO_Concentration,0.004456766,1.0
x_Chg1YAmihud,0.004456671,8.0
x_IndRel_ChgSalesMargin,0.004448416,4.0
x_DivToCF,0.0044475994,5.0
x_BP,0.004439367,5.0
x_IndRel_PM1M,0.004414232,1.0
x_CVVolPrc30D,0.004397321,1.0
x_PAdjChg1YSales,0.0043969103,2.0
x_IndRel_CashP,0.004378322,5.0
x_SalesToEPSChg,0.0043601044,4.0
x_YoYChgDA,0.0043359087,8.0
x_AdjAstAdjChg1YFCF,0.0043274015,2.0
x_IndRel_CapExToAst,0.0043261386,6.0
x_IndRel_SP,0.0043232706,5.0
x_CapAcqRatio,0.0042878613,6.0
x_StdErr180D,0.0042795925,1.0
x_CFAst,0.0042748833,4.0
x_IndRel_SEV,0.0042699086,5.0
x_HL52W,0.004269826,1.0
x_IO_Foreign,0.0042662215,1.0
x_MVEToTL,0.004265773,6.0
x_130DMinRtn,0.004258356,8.0
x_EPSNumRevFY1C,0.004257853,3.0
x_IndRel_CashAst,0.004244752,5.0
x_IndRel_EBITDAP,0.004243445,5.0
x_IndRel_GPMargin,0.0042393534,4.0
x_IO_BreadthStabBY,0.004193405,1.0
x_PrcTo52WH,0.004180088,1.0
x_GPMargin,0.0041790386,4.0
x_IndRel_BP,0.0041754856,5.0
x_AnnVol1M,0.004174993,8.0
x_IndRel_WCAccruals,0.004173565,4.0
x_DebtChg1Y,0.00416937,6.0
x_OCFAst_2,0.0041407766,4.0
x_AstAdjChg1YOCF,0.004130246,2.0
x_EPSToOCFChg,0.004127137,4.0
x_PAdjChg3YEPS,0.0041122357,2.0
x_AstGrwth,0.0041115293,6.0
x_SalesAcc,0.004109953,2.0
x_IndRel_CFEV,0.0041083326,5.0
x_PSlopeSERR_26W,0.0041008685,1.0
x_6MChgTgtPrc,0.0040971613,3.0
x_IndRel_RecTurn,0.004096386,6.0
x_12QTrendTTMEPS,0.0040957066,2.0
x_14DayRSI,0.0040943664,1.0
x_IO_Level,0.004080032,1.0
x_Chg3YOPM,0.0040773703,2.0
x_IndRel_LTDE,0.0040720752,6.0
x_Adj50DVolSig,0.004055776,8.0
x_RevEstDisp,0.00405541,3.0
x_SharpeRatio,0.0040474473,1.0
x_AdjSTO_6M,0.004040548,1.0
x_IndRel_CashCycle,0.004040112,4.0
x_IndRel_PM6M,0.00404001,1.0
x_IO_ChgofIO_AM,0.004037345,1.0
x_CapExToAst,0.004034155,6.0
x_AccrualRatioBS,0.004030793,4.0
x_FL,0.004029752,6.0
x_ChgSalesMargin,0.004021906,4.0
x_IndRel_SUEC,0.0040121055,3.0
x_IndRel_PM9M,0.0040004635,1.0
x_ETO,0.0039983033,4.0
x_IO_ChgofNumBY,0.0039872904,1.0
x_PM9M,0.0039870795,1.0
x_6MChgTgtPrcGap,0.003985808,3.0
x_CFP,0.0039834315,5.0
x_RskAdjRS,0.003967645,1.0
x_Chg1YTurnover,0.0039628847,1.0
x_IndRel_NCAP,0.003958245,5.0
x_IO_BreadthStabHD,0.0039518992,1.0
x_52WSlope,0.003946203,1.0
x_IndRel_AssetTurn,0.0039289403,4.0
x_IndRel_CashEV,0.0039227344,5.0
x_IndRel_Chg1YOCF,0.0039215577,2.0
x_IndRel_EBITDAEV,0.003914081,5.0
x_LogTTMSales,0.003913439,7.0
x_IndRel_PTMargin,0.0038634792,6.0
x_IndRel_AstP,0.0038618897,5.0
x_InvToAsset,0.0038617265,4.0
x_52WVPT20DLag,0.0038588096,1.0
x_FCFEqt,0.0038583865,5.0
x_Chg4QSalesTrend,0.0038558943,2.0
x_IndRel_ROIC,0.0038538687,6.0
