feature,importance,feature_category
x_SUEC,1.7585748751773569,3.0
x_calendarquarter,1.5824898141162682,
x_EBITEstDisp,1.3941438760854483,3.0
x_PAdjChg1YSales,1.3848847526282768,2.0
x_STO_6M,1.1532713732961386,1.0
x_BP,1.0957365966172523,5.0
x_IndRel_EPSEstDispFY1C,1.0504581357203382,3.0
x_GPMargin,1.0100156613737064,4.0
x_ChgATO_2,1.005589234153044,2.0
x_IndRel_MaxRetPayoff,1.0008968501197508,1.0
x_CashAst,0.9683483279995557,5.0
x_AdjRevMagC,0.9473918903938362,3.0
x_IndRel_TobinQ,0.9073698129496021,6.0
x_IndRel_AccrualRatioCF,0.8970098172580103,4.0
x_IndRel_FwdFCFPC,0.8683391662280657,5.0
x_SharpeRatio,0.829810966827423,1.0
x_RskAdjRS,0.79980187704709,1.0
x_IndRel_TotalAccruals,0.7938046005053087,4.0
x_PTIToNOA,0.7864678971779215,4.0
x_LogTTMSales,0.7734616746744396,7.0
x_STO,0.7731806204937246,1.0
x_CVVolPrc20D,0.7541378216190795,1.0
x_IO_StabofChgHD,0.7450652388832012,1.0
x_PAdjChg3YSales,0.7304414378436753,2.0
x_IndRel_ROA,0.7254754316218074,6.0
x_IndRel_Chg1YOPM,0.7175827248250769,2.0
x_IndRel_NCAP,0.7124801581048175,5.0
x_LTDA,0.7108766054908919,6.0
x_RevEstDisp,0.7096876615662018,3.0
x_PM5D,0.7057646434156135,1.0
x_IndRel_InvToAsset,0.7056019395279208,4.0
x_Alpha12M6MPChg,0.7024315715673938,1.0
x_IndRel_SUEC,0.6982248057885843,3.0
x_IndRel_CashEV,0.6732682571888793,5.0
x_IndRel_CFEV,0.663085742161453,5.0
x_IndRel_PM12M1M,0.6614952461762555,1.0
x_Adj50DVolSig,0.6545739430670294,8.0
x_ShortIntRatio,0.6535519912187082,1.0
x_AnnVol1M,0.6479920840875654,8.0
x_AdjRev3MFY1C,0.6431838810461349,3.0
x_Beta60M,0.6294542030782626,8.0
x_IO_NAT,0.6281410326036251,1.0
x_InvToAst,0.6280308179705936,4.0
x_CapAcqRatio,0.625638978261261,6.0
x_IndRel_GPMargin,0.6197858397027965,4.0
x_EPSNumRevFY1C,0.619412213278228,3.0
x_AdjEPSNumRevFY1C,0.6128484849928877,3.0
x_SalesToEPSChg,0.6121835251344772,4.0
x_4To52WPrcOsc,0.610573129793836,1.0
x_PM9M,0.610362538185473,1.0
x_ETO,0.6074832265049575,4.0
x_EPSStab,0.5967355778042813,2.0
x_IndRel_RecTurn,0.5936180744065818,6.0
x_IndRel_LTDA,0.5926961876966226,6.0
x_IndRel_PAdjChg1YEPS,0.582241495241102,2.0
x_12QTrendTTMEPS,0.5812833287408974,2.0
x_IO_InvDuration,0.5793964424756844,1.0
x_IndRel_PM9M,0.5612879626919769,1.0
x_PrcTo260DL,0.5579932518500631,1.0
x_AstGrwth,0.5532398555729916,6.0
x_90DCV,0.5532174771809488,8.0
x_IndRel_ROIC,0.5478914774937683,6.0
x_MaxRetPayoff,0.5473397527774291,1.0
x_IndRel_PAdjChg1YSales,0.5466442073230172,2.0
x_AdjFwdEPC,0.5425087056527139,5.0
x_PM1M,0.5337713263444747,1.0
x_IndRel_PM5D,0.5252982535412781,1.0
x_CFP,0.5213201093829123,5.0
x_DivToCF,0.5201819952333636,5.0
x_IO_BreadthStabBY,0.516685496868099,1.0
x_Chg4QSalesTrend,0.5156242700216848,2.0
x_Alpha36M6MPChg,0.5099869074447599,1.0
x_OCFAst_2,0.49994655622604245,4.0
x_IndRel_CashP,0.4951139353796608,5.0
x_SalesAcc,0.48998615314591204,2.0
x_InvToAsset,0.4897869578799675,4.0
x_DepToCapex,0.4894647984297877,4.0
x_5DMoneyFlowVol,0.4890511360323976,1.0
x_IndRel_PM6M,0.48682810779976105,1.0
x_6MChgTgtPrc,0.48560992895660793,3.0
x_IO_ChgofNumBY,0.48427241080462924,1.0
x_AstAdjChg1YOCF,0.4832415862721438,2.0
x_IndRel_ShortIntTrdVol,0.4818912497839907,1.0
x_Alpha18M6MPChg,0.47840662543240714,1.0
x_LogAssets,0.4776565479572391,7.0
x_IndRel_SEV,0.4775578594628506,5.0
x_6MChgTgtPrcGap,0.4673281803381321,3.0
x_6MChgTgtPrcGapEMA,0.46284898621834447,3.0
x_CashAdjEV,0.4627364005292729,5.0
x_ROEStab,0.46089298953209373,2.0
x_IndRel_ChgSalesMargin,0.4586884761626603,4.0
x_IndRel_FCFEV,0.45729150620034953,5.0
x_EPSEstDispFY2C,0.4551061190643899,3.0
x_IndRel_CashAst,0.4546484705364837,5.0
x_IndRel_AdjAccruals,0.45370436724601604,4.0
x_IndRel_OCFEV,0.4482231769206525,5.0
x_IO_Level,0.4355907919077777,1.0
x_LogUnadjPrice,0.4335562618912537,1.0
x_14DayRSI,0.4320107780420763,1.0
x_CapExToAst,0.4294038453242574,6.0
x_Chg1YTurnover,0.4272540045803993,1.0
x_IndRel_FwdEPC,0.4254256971947242,5.0
x_CVVolPrc60D,0.4246057590895968,1.0
x_IndRel_WCAccruals,0.4237088644939395,4.0
x_IndRel_DepToCapex,0.4172366298412407,4.0
x_PAdjChg1YEPS,0.41654894717229046,2.0
x_SEV,0.4108027978393977,5.0
x_CashP,0.4056608847968667,5.0
x_CFIC,0.40332952211798545,4.0
x_Chg1YOCF,0.402430123286964,2.0
x_6MAvgChg1MRecC,0.3978371059944639,3.0
x_EPSToOCFChg,0.39761143174657243,4.0
x_IndRel_Chg1YOCF,0.39628587847259183,2.0
x_IndRel_SP,0.3938544900953956,5.0
x_RONA,0.39293537175445004,5.0
x_IndRel_EBITDAP,0.39159272533978007,5.0
x_Chg1YLTDA,0.3881476895362416,2.0
x_IO_ChgofIO_AM,0.38630489710170823,1.0
x_TobinQ,0.3853462518188369,6.0
x_InvToAstChg1Y,0.38273141157514684,4.0
x_SalesToInvCap,0.3793076861289244,4.0
x_EBITDAEV,0.37636006637756764,5.0
x_AdjEPSNumRevFY2C,0.369195509360916,3.0
x_IndRel_ShareChg,0.3682944116162724,6.0
x_AdjFwdFCFPC,0.36135791026658576,5.0
x_BuyToSellRecLess3MEMA,0.36119000256673883,3.0
x_CFAst,0.35993367161184553,4.0
x_HL52W,0.3581342050048423,1.0
x_ChgSalesMargin,0.35515969938933173,4.0
x_IO_TO,0.3500755811010859,1.0
x_IndRel_EPSSurpC,0.3462822238332439,3.0
x_AssetTurn_2,0.34477337282402476,4.0
x_IndRel_LTDE,0.34428027965461927,6.0
x_Chg1YOPM,0.34105248588090725,2.0
x_IO_ChgofIO_HF,0.3401664849854908,1.0
x_CashBurn,0.33404071720241296,4.0
x_IndRel_CapExToAst,0.3322610685582799,6.0
x_AdjEBITDAEV,0.3306061303355287,5.0
x_IO_BreadthStabHD,0.33059340222738703,1.0
x_AdjEBITP,0.327167905446455,5.0
x_ConsQPosChgTTMEPS,0.32489274511995114,2.0
x_REToAst_2,0.3230124328561456,4.0
x_IndRel_AccrualRatioBS,0.32262966281473043,4.0
x_RevMagFY1C,0.31706319611366457,3.0
x_PM6M,0.3153773200929312,1.0
x_Chg1YAmihud,0.3142310237097188,8.0
x_PAdjChg3YEPS,0.3114479197878185,2.0
x_CFEV,0.3101624691522857,5.0
x_AnnVol12M,0.3089668546833613,8.0
x_ROE,0.3070354973331894,6.0
x_IO_Level_AM,0.30419667267400297,1.0
x_AstAdjChg3YEPS,0.3020826507645225,2.0
x_IndRel_DivP,0.29990304719263533,5.0
x_PA52WL20DLag,0.2980580087621938,1.0
x_52WVPT20DLag,0.2825507684350247,1.0
x_CVVolPrc30D,0.27967103106292013,1.0
x_Alpha60M,0.2747643557317809,1.0
x_IndRel_RONA,0.27356733283994467,5.0
x_IndRel_InvToAst,0.27313492392610866,4.0
x_52WSlope,0.27168862483790546,1.0
x_IndRel_CFROIC,0.2715180895487891,6.0
x_PSlopeSERR_26W,0.26835153728031746,1.0
x_CashCycle,0.26820534801619417,4.0
x_IO_Concentration,0.26317371358296077,1.0
x_IndRel_OEP,0.2620097666265514,5.0
x_130DMinRtn,0.2553030504398679,8.0
x_IndRel_FCFEqt,0.25520977948998796,5.0
x_FL,0.25500098991620046,6.0
x_EPSEstDispFY1C,0.25496115228830285,3.0
x_AstAdjChg1YCF,0.25391029980125507,2.0
x_DebtChg1Y,0.2502781169720026,6.0
