model,r2,mse,rmse,mae
linear,-211.0865829565149,7393.203257970909,52.32275185619907,5.631056728696906
ridge,-2.2730476760138414,114.98494182557154,9.28301435530869,4.5645617642193095
lasso,-0.0003864904257323776,35.720995384672904,5.9759122824133515,4.380528249961122
enet,0.0022372245774505916,35.62714071458594,5.9680635244486355,4.373588491085632
xgb,0.0341866015809499,34.48734903453064,5.871694891388708,4.383258607445052
lgbm,0.038730062187582126,34.33148694098054,5.858120158943242,4.3720904613205365
catboost,0.05669435786167489,33.68907059060423,5.8031239994286,4.299626075911311
nn1,0.016477525844044716,35.11607403776295,5.924901523648959,4.373194501648158
nn2,0.014264821436425911,35.195561288795304,5.931778051355446,4.387540827331476
nn3,0.015172528837339327,35.165951844164525,5.929120813475173,4.396155309179856
