feature,importance,feature_category
x_BP,3.3491893075570536,5.0
x_STO,-2.6751052051890944,1.0
x_FCFP,-2.4924947493802376,5.0
x_PrcTo260DL,1.9383774641765834,1.0
x_PA52WL20DLag,-1.9177310156840157,1.0
x_CFP,1.6242104567233835,5.0
x_CashP,0.6667167847140613,5.0
x_LogTTMSales,-0.46479522526025346,7.0
x_CashAst,0.44254638655915174,5.0
x_AdjEBITP,-0.43700959835735664,5.0
x_CFAst,0.4279336985647303,4.0
x_IndRel_EBITDAP,-0.32157818937692884,5.0
x_TobinQ,-0.3134819028293465,6.0
x_InvToAsset,0.313403101911123,4.0
x_OCFAst_2,0.3081002601275291,4.0
x_IndRel_TobinQ,-0.29007031314858694,6.0
x_calendarquarter,0.28428182530267526,
x_AssetTurn_2,0.27889075973362143,4.0
x_EPSNumRevFY1C,0.2748813128884863,3.0
x_ROA_2,-0.2732409518270917,6.0
x_AdjFwdEPC,-0.27095062499664274,5.0
x_AstGrwth,-0.2652896188957484,6.0
x_PM1M,0.25587970991113396,1.0
x_IndRel_FwdFCFPC,-0.25570444538781245,5.0
x_LogAssets,0.24121578265018628,7.0
x_IndRel_SUEC,0.23760256764174784,3.0
x_4To52WPrcOsc,-0.2302112246558447,1.0
x_IndRel_CapExToAst,0.22770678661850155,6.0
x_ROEStab,0.22512035260199492,2.0
x_REToAst_2,-0.2195259316694768,4.0
x_IO_BreadthStabHD,-0.21730975444459422,1.0
x_PrcTo52WH,0.21169583865428093,1.0
x_IndRel_PM12M1M,-0.21033528301228682,1.0
x_IndRel_NCAP,-0.20322923469426557,5.0
x_FCFEqt,0.20021209125900075,5.0
x_Adj50DVolSig,-0.2001682835544001,8.0
x_CFIC,-0.19809036311288,4.0
x_ConsQPosChgTTMEPS,0.19469119287942926,2.0
x_IndRel_FCFP,0.18601686756742236,5.0
x_MVEToTL,-0.18000297299262683,6.0
x_STO_6M,-0.17324941698968513,1.0
x_AnnVol12M,0.17206916036714062,8.0
x_IO_BreadthStabBY,0.1685403308405328,1.0
x_HL52W,0.16825214387224816,1.0
x_Chg3YOPM,0.16546026969667732,2.0
x_IndRel_EPSSurpC,0.16184754659202147,3.0
x_ChgSalesMargin,0.15892906583693892,4.0
x_ShortIntRatio,-0.1544856877152448,1.0
x_IndRel_PAdjChg1YEPS,-0.1538778870704359,2.0
x_CapExToAst,-0.14976499338314148,6.0
x_6MChgTgtPrc,0.14854064910652132,3.0
x_BVEV,0.1484931506340421,5.0
x_RelPrStr_12M,0.14844799719554017,1.0
x_IndRel_PTIP,0.14317553792874604,5.0
x_IndRel_PM5D,0.1389924742128313,1.0
x_LogUnadjPrice,0.1375551636493234,1.0
x_AstAdjChg1YOCF,0.13720622175094943,2.0
x_YoYChgDA,-0.13335395693081592,8.0
x_IndRel_AssetTurn,-0.13265218010288732,4.0
x_RevEstDisp,-0.13210527615385506,3.0
x_CashAdjEV,-0.13036789157350845,5.0
x_Chg1YTurnover,0.13021726864628919,1.0
x_5DMoneyFlowVol,0.1260924005971015,1.0
x_IndRel_OCFEV,0.12574394024351682,5.0
x_IO_Concentration,-0.12471712842418597,1.0
x_GPMargin,-0.12275609877263025,4.0
x_IndRel_LTDA,-0.11764890113796884,6.0
x_MaxRetPayoff,-0.11211036330498796,1.0
x_CVVolPrc20D,-0.10954710160989975,1.0
x_CVVolPrc60D,-0.10661484439422728,1.0
x_InvToAst,0.10479033214925575,4.0
x_6MChgTgtPrcGapEMA,-0.10451507532431056,3.0
x_SalesAcc,-0.09723646815809568,2.0
x_CVVolPrc30D,0.09631711813943089,1.0
x_AdjFwdFCFPC,0.09565178910536838,5.0
x_IndRel_DepToCapex,0.09517595936957213,4.0
x_LTDA,-0.09486470167704451,6.0
x_IndRel_TotalAccruals,0.09212243920979042,4.0
x_IndRel_ROIC,0.09129477540630652,6.0
x_60MAVGTTMROA,-0.09010307910438886,6.0
x_IndRel_CFEV,0.0895703926167636,5.0
x_IndRel_SEV,0.08854599165584268,5.0
x_12QTrendTTMEPS,0.08839595402517612,2.0
x_52WVPT20DLag,-0.08834371145274346,1.0
x_IO_StabofChgHD,0.08808003744315948,1.0
x_Alpha12M6MPChg,-0.08761931869959849,1.0
x_IO_Level,-0.0868977992833786,1.0
x_IO_Level_AM,-0.08605102322568031,1.0
x_AdjAccruals,-0.08591676632673562,4.0
x_IndRel_SP,0.08584028441985912,5.0
x_CQDRItoSales,-0.08504575150359187,2.0
x_Chg1YAmihud,-0.08397347630745437,8.0
x_AnnVol1M,-0.0836382397209016,8.0
x_IndRel_CashAst,0.08330355907050019,5.0
x_AdjChgEPStoSales,0.08315497553332336,4.0
x_IndRel_RecTurn,0.08298917685339591,6.0
x_PSlopeSERR_26W,-0.08242485922654101,1.0
x_14DayRSI,-0.08210019695902863,1.0
x_IndRel_FCFEV,-0.08161956414185767,5.0
x_Rev3MFY2C,-0.08150300376194607,3.0
x_IndRel_PAdjChg1YSales,0.07920201963597176,2.0
x_DebtChg1Y,0.07593078138107007,6.0
x_IndRel_DebtChg1Y,0.07498878150584094,6.0
x_IndRel_CashEV,-0.07463037055426357,5.0
x_ChgATO_2,0.07275535634927202,2.0
x_AdjRevMagC,0.07227724802060446,3.0
x_PM5D,-0.07152182952278696,1.0
x_PAdjChg1YEPS,0.07125282676296867,2.0
x_IndRel_EP,0.07017891897150655,5.0
x_IO_NAT,-0.0700964486804297,1.0
x_IndRel_CFP,0.06932618958037194,5.0
x_IndRel_FCFEqt,-0.06729725521761731,5.0
x_130DMinRtn,-0.06558717789536747,8.0
x_52WSlope,0.06550397007620376,1.0
x_ShareChg,0.06513118464819177,6.0
x_IO_ChgofIO_AM,0.06443630354018037,1.0
x_5DVolSig,-0.06320492861901306,1.0
x_AstAdjChg1YCF,-0.06258122990521504,2.0
x_DepToCapex,-0.0625054742380133,4.0
x_IndRel_DivP,0.06249255444917013,5.0
x_IndRel_CFROIC,-0.06178142068716442,6.0
x_IndRel_OEP,-0.06159544407844577,5.0
x_PAdjChg1YSales,0.06140039686355195,2.0
x_IndRel_PM1M,-0.06076603592078135,1.0
x_IndRel_ChgSalesMargin,-0.060758976688770026,4.0
x_EPSStab,0.06034284402946951,2.0
x_RONA,-0.05786443045404845,5.0
x_IO_Foreign,0.05737623347007589,1.0
x_IO_ChgofIO_HF,-0.05636325192879219,1.0
x_AdjAstAdjChg1YFCF,-0.056305212426802954,2.0
x_6MChgTgtPrcGap,-0.05427177456266198,3.0
x_IndRel_OCFP,-0.05402559741076918,5.0
x_EBITDAEV,-0.05383697306048587,5.0
x_IndRel_InvToAsset,-0.05375001334871753,4.0
x_ConsQPosChginTTMCF,-0.053342689482653666,2.0
x_Alpha36M6MPChg,0.05291028086520457,1.0
x_AdjSTO_6M,-0.052261182964513125,1.0
x_PM6M,-0.05176500274416221,1.0
x_InvToAstChg1Y,-0.05047050112367252,4.0
x_CFEV,0.050372449828827125,5.0
x_IndRel_WCAccruals,0.04941998818820527,4.0
x_PAdjChg3YEPS,0.04865683703481003,2.0
