feature,importance,feature_category
x_SUEC,0.011408233,3.0
x_AdjRevMagC,0.010091166,3.0
x_AdjRev3MFY1C,0.009769458,3.0
x_calendarquarter,0.009166051,
x_LTDA,0.007683281,6.0
x_CFP,0.0071932166,5.0
x_4To52WPrcOsc,0.007102043,1.0
x_PTIToNOA,0.00701571,4.0
x_PM9M,0.0065656444,1.0
x_CashEV,0.006467241,5.0
x_GPMargin,0.0061281584,4.0
x_BP,0.0057733757,5.0
x_CashAst,0.0057240278,5.0
x_AdjEPSNumRevFY1C,0.005665256,3.0
x_IndRel_TobinQ,0.0055847336,6.0
x_6MChgTgtPrc,0.005580267,3.0
x_PAdjChg1YSales,0.005472638,2.0
x_CashP,0.005452524,5.0
x_IndRel_DA,0.0054134065,6.0
x_IO_NAT,0.0054105977,1.0
x_AstAdjChg1YOCF,0.0054065166,2.0
x_CFIC,0.00531788,4.0
x_SharpeRatio,0.005270091,1.0
x_LogTTMSales,0.0052213278,7.0
x_ROE,0.005205332,6.0
x_IndRel_InvToAsset,0.005177239,4.0
x_InvToAst,0.0051753563,4.0
x_WCAccruals,0.005165899,4.0
x_AdjEBITP,0.0051656463,5.0
x_RONA,0.0051592053,5.0
x_IndRel_CFROIC,0.005131779,6.0
x_OCFAst_2,0.005118797,4.0
x_Rev3MFY2C,0.0050493996,3.0
x_130DMinRtn,0.005016578,8.0
x_IndRel_TotalAccruals,0.00501455,4.0
x_CFAst,0.0049964264,4.0
x_ChgSalesMargin,0.0049662557,4.0
x_SalesToInvCap,0.0049525565,4.0
x_PrcTo52WH,0.0049470263,1.0
x_RskAdjRS,0.00492544,1.0
x_EBITDAEV,0.004920931,5.0
x_EPSStab,0.0049023596,2.0
x_EBITEstDisp,0.0048980457,3.0
x_IO_BreadthStabHD,0.004897084,1.0
x_PM1M,0.0048883385,1.0
x_RevEstDisp,0.0048879227,3.0
x_IndRel_ChgSalesMargin,0.004883648,4.0
x_IO_StabofChgHD,0.004880854,1.0
x_IndRel_FCFEV,0.004879218,5.0
x_IndRel_CashAst,0.0048618186,5.0
x_MaxRetPayoff,0.004856141,1.0
x_TobinQ,0.004829371,6.0
x_AdjFwdEPC,0.0048224074,5.0
x_ShortIntRatio,0.004809369,1.0
x_IndRel_ROIC,0.004789741,6.0
x_IndRel_Chg1YOCF,0.0047856793,2.0
x_CapAcqRatio,0.0047813756,6.0
x_IndRel_LTDE,0.0047803996,6.0
x_AdjSTO_6M,0.004761679,1.0
x_Adj50DVolSig,0.004756401,8.0
x_IO_Level,0.004756161,1.0
x_PA52WL20DLag,0.004734767,1.0
x_PAdjChg3YSales,0.0047266423,2.0
x_PM6M,0.004712369,1.0
x_CashAdjEV,0.0046962285,5.0
x_LogAssets,0.004674532,7.0
x_IndRel_SEV,0.0046631806,5.0
x_CVVolPrc30D,0.004662307,1.0
x_IndRel_PAdjChg1YEPS,0.004656014,2.0
x_IndRel_NCAP,0.0046344036,5.0
x_IndRel_CapExToAst,0.0046299896,6.0
x_IndRel_PM12M1M,0.004615642,1.0
x_IndRel_FwdFCFPC,0.0046107327,5.0
x_YoYChgDA,0.0046103843,8.0
x_52WSlope,0.004603285,1.0
x_RecTurn,0.0045998883,6.0
x_AnnVol12M,0.004594367,8.0
x_IndRel_PAdjChg1YSales,0.004583428,2.0
x_Chg1YAmihud,0.0045764083,8.0
x_EPSNumRevFY1C,0.0045684017,3.0
x_Chg1YLTDA,0.0045674536,2.0
x_IndRel_CashP,0.0045520575,5.0
x_AstAdjChg1YCF,0.00454942,2.0
x_AdjAccruals,0.0045485115,4.0
x_PrcTo260DL,0.004543731,1.0
x_CVVolPrc60D,0.004534524,1.0
x_StdErr180D,0.0045322482,1.0
x_BuyToSellRecLess3MEMA,0.0045175874,3.0
x_DivP,0.0045142937,5.0
x_IndRel_RecTurn,0.0045118434,6.0
x_IndRel_OCFEV,0.004500972,5.0
x_IndRel_GPMargin,0.0044992296,4.0
x_IndRel_CFP,0.0044989274,5.0
x_CashBurn,0.0044953558,4.0
x_InvToAstChg1Y,0.004493588,4.0
x_AstAdjChg3YEPS,0.0044908067,2.0
x_PM5D,0.0044840653,1.0
x_AnnVol1M,0.0044836686,8.0
x_CVVolPrc20D,0.0044830814,1.0
x_InvToAsset,0.0044801687,4.0
x_STO_6M,0.0044708396,1.0
x_FL,0.0044662547,6.0
x_AstGrwth,0.0044460646,6.0
x_IndRel_MaxRetPayoff,0.0044456166,1.0
x_IndRel_CFEV,0.0044288146,5.0
x_6MAvgChg1MRecC,0.004407125,3.0
x_AccrualRatioCF,0.0044009555,4.0
x_DivToCF,0.004399695,5.0
x_Chg1YOPM,0.004392012,2.0
x_IndRel_CashCycle,0.004387509,4.0
x_DepToCapex,0.00438469,4.0
x_EBITMargin,0.0043616905,4.0
x_Beta60M,0.004358617,8.0
x_IndRel_ShareChg,0.0043525225,6.0
x_IndRel_ROA,0.0043363655,6.0
x_Chg1YOCF,0.004333636,2.0
x_IndRel_Chg1YOPM,0.00432438,2.0
x_12QTrendTTMEPS,0.00431416,2.0
x_IndRel_PM6M,0.0043103527,1.0
x_PAdjChg3YEPS,0.004300456,2.0
