feature,importance,feature_category
x_AnnVol12M,2.4254310595201254,8.0
x_IndRel_EPSEstDispFY1C,1.6004613193515465,3.0
x_ConsQPosChgTTMEPS,-1.2627297254705003,2.0
x_CashAst,1.2400005480747884,5.0
x_AdjFwdEPC,-1.2376222116300402,5.0
x_90DCV,1.1537019082008881,8.0
x_EBITMargin,-0.9337582777184235,4.0
x_PM1M,0.7983882307884138,1.0
x_IO_Concentration,0.7881793648733527,1.0
x_PM6M,0.7791111691148122,1.0
x_RevEstDisp,0.7313993158011165,3.0
x_EPSNumRevFY1C,0.6761314547941785,3.0
x_PM9M,0.6681999310156216,1.0
x_LogUnadjPrice,-0.6439857882488629,1.0
x_130DMinRtn,-0.6034209036610101,8.0
x_MaxRetPayoff,0.535937375024964,1.0
x_IndRel_AstP,0.5358722033925847,5.0
x_InvToAst,-0.5337045285715903,4.0
x_IndRel_SolvencyRatio,-0.46886024871506793,5.0
x_IndRel_SUEC,0.45496979482567546,3.0
x_IndRel_PTMargin,-0.4505590509146992,6.0
x_ChgSalestoChgEPS,0.42957272131322066,4.0
x_IndRel_CashP,0.40654514269288683,5.0
x_CashCycle,0.3819871930702078,4.0
x_IndRel_DivP,-0.37418213490373337,5.0
x_PAdjChg1YOCF,-0.3693986600920762,2.0
x_IndRel_ROA,-0.3528470119688576,6.0
x_IndRel_PM9M,-0.3461116068900295,1.0
x_AdjRevMagC,-0.34341854605710154,3.0
x_AnnVol1M,0.3421732419607676,8.0
x_EPSEstDispFY2C,0.3235513720944069,3.0
x_IndRel_CashAst,0.32258286332092845,5.0
x_CVVolPrc20D,-0.2884108851342733,1.0
x_YoYChgDA,-0.2878341719274772,8.0
x_IndRel_PM5D,0.27952041930495736,1.0
x_IndRel_SEV,0.26791646601247615,5.0
x_6MAvgChg1MRecC,-0.26450960721832123,3.0
x_IndRel_BP,0.26084412844098026,5.0
x_STO_6M,0.24836977935257468,1.0
x_StdErr180D,0.236091254333134,1.0
x_AdjAccruals,-0.23375132679339633,4.0
x_IndRel_CapExToAst,0.2314052377193056,6.0
x_EBITEstDisp,0.22795936919737556,3.0
x_LogAssets,0.22654527748353967,7.0
x_IO_BreadthStabHD,-0.2237004257207396,1.0
x_ROEStab,0.2219207337373895,2.0
x_OCFAst_2,-0.201602281955283,4.0
x_Chg1YTurnover,-0.19785427782174664,1.0
x_CVVolPrc60D,-0.1798341483650337,1.0
x_4To52WPrcOsc,-0.17689987207407262,1.0
x_IndRel_GPMargin,-0.1744112989769902,4.0
x_IndRel_EPSSurpC,0.16624118652930567,3.0
x_IndRel_CFROIC,0.15742516127578773,6.0
x_IndRel_CFP,-0.15680989570405432,5.0
x_Chg1YOCF,-0.14258982531237632,2.0
x_REToAst_2,0.14230937886594283,4.0
x_BuyToSellRecLess3MEMA,0.137991520303154,3.0
x_SEV,0.13132826831401553,5.0
x_IndRel_OEA,-0.1278328308698433,4.0
x_ETO,0.12195053133232019,4.0
x_IndRel_PAdjChg1YEPS,-0.11695716228760374,2.0
x_IndRel_PAdjChg1YSales,-0.11516682502957545,2.0
x_DivP,0.09852145467044003,5.0
x_IndRel_CashEV,0.09843819096044114,5.0
x_AdjEBITP,0.09511628544798312,5.0
x_Chg1YOPM,-0.08017039321324258,2.0
x_AstGrwth,0.06846116061432478,6.0
x_CVVolPrc30D,-0.06485930738131646,1.0
x_IndRel_AssetTurn,-0.06178938985055768,4.0
x_IndRel_DA,0.05944241157691241,6.0
x_52WSlope,0.054702664663323984,1.0
x_PA52WL20DLag,0.05150947379701299,1.0
x_IO_BreadthStabBY,-0.049508025557964734,1.0
x_PrcTo260DL,0.046256656187326724,1.0
x_AssetTurn_2,-0.029631603060697217,4.0
x_LTDA,-0.02006690693722729,6.0
x_IndRel_FwdFCFPC,-0.017179892273713564,5.0
x_IndRel_ShareChg,0.013869466787374714,6.0
x_ROE,0.010419398804904336,6.0
x_PAdjChg3YSales,0.00820799159436545,2.0
x_IndRel_DepToCapex,0.0009513715381241184,4.0
x_FCFP,0.0002643138107967393,5.0
x_IndRel_CFEV,0.0,5.0
x_AdjEPSNumRevFY2C,0.0,3.0
x_Chg1YAmihud,-0.0,8.0
x_Chg1YLTDA,-0.0,2.0
x_IndRel_PTIP,-0.0,5.0
x_AdjEPSNumRevFY1C,0.0,3.0
x_BVEV,0.0,5.0
x_5DMoneyFlowVol,0.0,1.0
x_14DayRSI,0.0,1.0
x_12QTrendTTMEPS,0.0,2.0
x_IO_TO,-0.0,1.0
x_IndRel_CashCycle,0.0,4.0
x_ShareChg,0.0,6.0
x_CFAst,-0.0,4.0
x_IndRel_PM1M,0.0,1.0
x_ChgATO_2,0.0,2.0
x_UnexpectedRecChg,-0.0,4.0
x_MVEToTL,-0.0,6.0
x_WCAccruals,-0.0,4.0
x_Adj50DVolSig,-0.0,8.0
x_IndRel_TotalAccruals,-0.0,4.0
x_IO_NAT,-0.0,1.0
x_IndRel_WCAccruals,-0.0,4.0
x_AccrualRatioBS,-0.0,4.0
x_Chg1YROA,0.0,2.0
x_IndRel_EBITDAEV,0.0,5.0
x_IndRel_ROE,0.0,6.0
x_IndRel_EBITDAP,0.0,5.0
x_IndRel_LTDE,0.0,6.0
x_IndRel_EP,-0.0,5.0
x_IndRel_ROIC,0.0,6.0
x_IndRel_FCFEV,-0.0,5.0
x_FCFEqt,0.0,5.0
x_EBITDAEV,-0.0,5.0
x_ChgSalesMargin,0.0,4.0
x_IndRel_FCFEqt,-0.0,5.0
x_IndRel_ChgSalesMargin,0.0,4.0
x_IndRel_Chg1YOPM,-0.0,2.0
x_IndRel_FCFP,0.0,5.0
x_IndRel_InvToAsset,0.0,4.0
x_AdjFwdFCFPC,0.0,5.0
x_CapAcqRatio,0.0,6.0
x_InvToAsset,0.0,4.0
x_CFP,-0.0,5.0
x_CFEV,0.0,5.0
x_AstAdjChg1YOCF,0.0,2.0
x_AstAdjChg1YCF,0.0,2.0
x_SUEC,0.0,3.0
x_PSlopeSERR_26W,0.0,1.0
x_PM5D,0.0,1.0
x_IndRel_OCFP,-0.0,5.0
x_IndRel_Chg1YOCF,-0.0,2.0
x_EPSEstDispFY1C,-0.0,3.0
x_ConsQPosChginTTMCF,-0.0,2.0
x_IndRel_PM12M1M,-0.0,1.0
x_AdjRev3MFY1C,-0.0,3.0
x_IndRel_OCFEV,-0.0,5.0
x_Alpha36M6MPChg,0.0,1.0
x_Alpha60M,0.0,1.0
x_AstAdjChg3YEPS,0.0,2.0
x_BP,-0.0,5.0
x_Chg3YOPM,-0.0,2.0
x_HL1M,-0.0,1.0
x_HL52W,0.0,1.0
x_LogTTMSales,-0.0,7.0
x_PAdjChg1YEPS,-0.0,2.0
x_RONA,0.0,5.0
x_PTIToNOA,-0.0,4.0
x_PrcTo52WH,-0.0,1.0
x_STO,-0.0,1.0
x_SalesToEPSChg,0.0,4.0
x_SalesToInvCap,0.0,4.0
x_ShortIntRatio,-0.0,1.0
x_52WVPT20DLag,-0.0,1.0
x_5DVolSig,-0.0,1.0
x_CQDOHtoSales,0.0,2.0
x_CQDRItoSales,-0.0,2.0
x_PAdjChg3YEPS,-0.0,2.0
x_60MAVGTTMROE,-0.0,6.0
x_GPMargin,0.0,4.0
x_InvToAstChg1Y,-0.0,4.0
x_RskAdjRS,0.0,1.0
x_SalesAcc,-0.0,2.0
x_calendarquarter,-0.0,
x_IndRel_AccrualRatioBS,-0.0,4.0
x_IndRel_AccrualRatioCF,-0.0,4.0
x_IndRel_AdjAccruals,-0.0,4.0
x_IndRel_DebtChg1Y,0.0,6.0
x_Alpha18M6MPChg,-0.0,1.0
x_IndRel_FwdEPC,-0.0,5.0
x_IndRel_InvToAst,-0.0,4.0
x_IndRel_LTDA,0.0,6.0
x_IndRel_MaxRetPayoff,0.0,1.0
x_IndRel_PM6M,-0.0,1.0
x_IndRel_RONA,-0.0,5.0
x_ROA_2,-0.0,6.0
x_RelPrStr_12M,0.0,1.0
x_24MResRtnVar,-0.0,1.0
x_Alpha12M6MPChg,0.0,1.0
x_IndRel_EPSToSalesChg1Y,-0.0,4.0
x_CashP,0.0,5.0
x_DebtChg1Y,-0.0,6.0
x_DepToCapex,-0.0,4.0
x_DivToCF,-0.0,5.0
x_EPSStab,-0.0,2.0
x_EPSToOCFChg,0.0,4.0
x_FL,-0.0,6.0
x_PAdjChg1YSales,0.0,2.0
x_60MAVGTTMROA,-0.0,6.0
x_RecTurn,0.0,6.0
x_CQPTTMCFtoSales,-0.0,2.0
x_IndRel_NCAP,-0.0,5.0
x_IndRel_OEP,-0.0,5.0
x_IndRel_RecTurn,0.0,6.0
x_IndRel_SP,-0.0,5.0
x_IndRel_ShortIntTrdVol,0.0,1.0
x_IndRel_TobinQ,-0.0,6.0
x_6MChgTgtPrc,0.0,3.0
x_6MChgTgtPrcGap,-0.0,3.0
x_6MChgTgtPrcGapEMA,-0.0,3.0
x_AdjSTO_6M,0.0,1.0
x_TobinQ,-0.0,6.0
x_Chg4QSalesTrend,0.0,2.0
