feature,importance,feature_category
x_AdjFwdEPC,194,5.0
x_EBITEstDisp,155,3.0
x_EPSEstDispFY1C,145,3.0
x_SalesToEPSChg,142,4.0
x_Chg1YOPM,120,2.0
x_AdjAccruals,118,4.0
x_12QTrendTTMEPS,115,2.0
x_RevMagFY1C,112,3.0
x_EBITMargin,111,4.0
x_130DMinRtn,105,8.0
x_SUEC,103,3.0
x_IO_ChgofIO_HF,103,1.0
x_IndRel_AdjAccruals,103,4.0
x_IndRel_ShortIntTrdVol,99,1.0
x_EPSStab,97,2.0
x_Alpha36M6MPChg,96,1.0
x_IndRel_EPSSurpC,95,3.0
x_EPSEstDispFY2C,94,3.0
x_Chg3YOPM,93,2.0
x_60MAVGTTMROA,93,6.0
x_ShortIntRatio,92,1.0
x_REToAst_2,91,4.0
x_AdjEBITP,90,5.0
x_IO_ChgofIO_AM,89,1.0
x_RevEstDisp,89,3.0
x_Chg1YTurnover,88,1.0
x_IndRel_MaxRetPayoff,87,1.0
x_SalesAcc,87,2.0
x_AdjRevMagC,85,3.0
x_IndRel_AccrualRatioCF,85,4.0
x_AdjFwdFCFPC,85,5.0
x_GPMargin,84,4.0
x_IndRel_CFEV,84,5.0
x_IndRel_TobinQ,84,6.0
x_IndRel_Chg1YOCF,84,2.0
x_IndRel_EPSEstDispFY1C,84,3.0
x_BP,83,5.0
x_InvToAsset,83,4.0
x_CFEV,83,5.0
x_ChgSalestoChgEPS,83,4.0
x_PM5D,83,1.0
x_PAdjChg1YSales,82,2.0
x_AdjChgEPStoSales,82,4.0
x_AnnVol12M,82,8.0
x_MaxRetPayoff,81,1.0
x_IndRel_InvToAst,81,4.0
x_PM1M,81,1.0
x_IndRel_LTDE,81,6.0
x_IndRel_InvToAsset,81,4.0
x_BVEV,80,5.0
x_CVVolPrc30D,80,1.0
x_STO_6M,79,1.0
x_IndRel_NCAP,79,5.0
x_RskAdjRS,79,1.0
x_ChgSalesMargin,79,4.0
x_AstGrwth,78,6.0
x_IndRel_BP,78,5.0
x_TobinQ,78,6.0
x_PTIToNOA,78,4.0
x_60MAVGTTMROE,78,6.0
x_RONA,78,5.0
x_Alpha60M,78,1.0
x_IndRel_CashP,76,5.0
x_IndRel_CashCycle,76,4.0
x_IndRel_AccrualRatioBS,76,4.0
x_WCAccruals,75,4.0
x_6MChgTgtPrcGap,74,3.0
x_Alpha18M6MPChg,74,1.0
x_IndRel_ROA,74,6.0
x_IO_StabofChgHD,74,1.0
x_ChgATO_2,74,2.0
x_SalesToInvCap,73,4.0
x_InvToAstChg1Y,73,4.0
x_AstAdjChg3YEPS,73,2.0
x_IO_Foreign,73,1.0
x_IndRel_PM5D,73,1.0
x_IndRel_PTMargin,72,6.0
x_AdjRev3MFY1C,72,3.0
x_IO_ChgofNumBY,71,1.0
x_IndRel_Chg1YOPM,71,2.0
x_PSlopeSERR_26W,71,1.0
x_IndRel_TotalAccruals,70,4.0
x_Adj50DVolSig,70,8.0
x_Chg4QSalesTrend,70,2.0
x_IO_Level_AM,70,1.0
x_IndRel_DepToCapex,69,4.0
x_IndRel_AstP,69,5.0
x_Chg1YROA,69,2.0
x_IO_BreadthStabBY,69,1.0
x_Rev3MFY2C,69,3.0
x_IndRel_PM12M1M,69,1.0
x_IndRel_RecTurn,69,6.0
x_IndRel_DivP,69,5.0
x_DepToCapex,68,4.0
x_5DVolSig,68,1.0
x_IO_NAT,68,1.0
x_IndRel_ROE,68,6.0
x_Alpha12M6MPChg,68,1.0
x_PM6M,68,1.0
x_IndRel_PAdjChg1YSales,67,2.0
x_IndRel_FwdFCFPC,67,5.0
x_ROE,67,6.0
x_CVVolPrc20D,67,1.0
x_PAdjChg3YEPS,67,2.0
x_YoYChgDA,66,8.0
x_Chg1YAmihud,66,8.0
x_IndRel_SEV,66,5.0
x_SharpeRatio,66,1.0
x_IndRel_EPSToSalesChg1Y,66,4.0
x_IO_Concentration,66,1.0
x_IndRel_RONA,66,5.0
x_IndRel_CashEV,66,5.0
x_PrcTo260DL,66,1.0
x_IndRel_DA,65,6.0
x_UnexpectedRecChg,65,4.0
x_CashCycle,64,4.0
x_Chg1YOCF,64,2.0
x_CapAcqRatio,64,6.0
x_ROA_2,64,6.0
x_IndRel_CFROIC,63,6.0
x_IndRel_ChgSalesMargin,63,4.0
x_IndRel_PM6M,63,1.0
x_IO_TO,63,1.0
x_IndRel_SUEC,63,3.0
x_Beta60M,62,8.0
x_CVVolPrc60D,62,1.0
x_AnnVol1M,61,8.0
x_AdjEBITDAEV,61,5.0
x_AccrualRatioBS,61,4.0
x_FCFEqt,61,5.0
x_IndRel_EBITDAP,60,5.0
x_IndRel_EBITDAEV,60,5.0
x_IndRel_WCAccruals,60,4.0
x_14DayRSI,60,1.0
x_PAdjChg1YOCF,59,2.0
