feature,importance,feature_category
x_STO,227.39200894385067,1.0
x_52WVPT20DLag,-157.07928163063283,1.0
x_BP,-74.96050838586164,5.0
x_AdjEBITP,5.171883918653406,5.0
x_CFP,4.606232519442822,5.0
x_PAdjChg3YEPS,4.32571114085234,2.0
x_AnnVol12M,4.1682520087984605,8.0
x_4To52WPrcOsc,-3.456071123429551,1.0
x_ROA_2,-3.4114025129760277,6.0
x_PAdjChg1YEPS,-3.3999614063994423,2.0
x_CashP,3.395161821412482,5.0
x_EBITMargin,-3.3784855452831644,4.0
x_LogAssets,3.2607934315089957,7.0
x_60MAVGTTMROA,2.9241215393048843,6.0
x_AdjFwdEPC,-2.7648064126846523,5.0
x_IndRel_EPSEstDispFY1C,2.753966863117629,3.0
x_PrcTo52WH,-2.5841810956186664,1.0
x_GPMargin,2.449906309259759,4.0
x_CashAst,2.439347962849497,5.0
x_IndRel_CFP,-2.282444037699812,5.0
x_ETO,2.237505761531351,4.0
x_CFAst,2.1772842320984482,4.0
x_FCFEqt,-2.062854052411107,5.0
x_PM1M,1.9550534644152135,1.0
x_CFIC,-1.865568170664953,4.0
x_ConsQPosChgTTMEPS,-1.8324438809513501,2.0
x_IndRel_SolvencyRatio,-1.823690481360955,5.0
x_REToAst_2,1.7396250845355492,4.0
x_90DCV,1.7364753014845566,8.0
x_YoYChgDA,-1.6063908358473236,8.0
x_IndRel_AstP,1.4930039335708383,5.0
x_RevEstDisp,1.4917550296089548,3.0
x_IO_Concentration,1.462889503398854,1.0
x_EPSNumRevFY1C,1.3572408983189705,3.0
x_IndRel_PM9M,-1.3561261116119399,1.0
x_IndRel_CapExToAst,1.2868019924721672,6.0
x_STO_6M,1.2781349805238278,1.0
x_IndRel_ROA,-1.2497432624944604,6.0
x_CashAdjEV,-1.2349286786090148,5.0
x_PAdjChg1YOCF,-1.1595268447221672,2.0
x_IndRel_CFROIC,1.1037904219656574,6.0
x_AdjRevMagC,-1.09443147876808,3.0
x_InvToAst,-1.0775704387473712,4.0
x_LogTTMSales,-1.0716943853917031,7.0
x_IndRel_ROIC,1.0448251899324155,6.0
x_IndRel_SUEC,1.0241560159028196,3.0
x_IndRel_PM5D,1.0234720704964158,1.0
x_IndRel_EP,1.0149751779124827,5.0
x_EPSEstDispFY1C,-1.0078953088983305,3.0
x_BVEV,0.9966108997832497,5.0
x_AdjAccruals,-0.9856797174879589,4.0
x_IndRel_OCFP,-0.9771808933357811,5.0
x_CashCycle,0.9668277393586208,4.0
x_Chg1YOPM,-0.9394164944378326,2.0
x_IndRel_EBITDAP,0.9348091594669767,5.0
x_PM9M,0.930394422268433,1.0
x_ROEStab,0.9223730413300306,2.0
x_AdjFwdFCFPC,0.9058841774716444,5.0
x_AnnVol1M,0.8912018678900152,8.0
x_IndRel_DepToCapex,0.8732411173864723,4.0
x_ChgSalestoChgEPS,0.8634077034289913,4.0
x_IO_ChgofIO_AM,0.8548184808314812,1.0
x_Chg1YTurnover,-0.848407690438111,1.0
x_IndRel_BP,0.844225899033008,5.0
x_EBITEstDisp,0.8415419138915616,3.0
x_IndRel_GPMargin,-0.8406479250089577,4.0
x_IndRel_DivP,-0.8391773505450545,5.0
x_DivP,-0.7974334448070088,5.0
x_IndRel_PTMargin,-0.7926564295776751,6.0
x_PrcTo260DL,0.7718141230966507,1.0
x_IndRel_SEV,0.770391257540964,5.0
x_DebtChg1Y,0.7694250224029747,6.0
x_ChgATO_2,0.7680837372832695,2.0
x_FCFP,0.7617490061312036,5.0
x_IO_ChgofIO_HF,-0.7577524623212211,1.0
x_IndRel_TotalAccruals,-0.7536581277675185,4.0
x_IndRel_FCFEqt,-0.7435436903227796,5.0
x_ROE,0.7389922062370978,6.0
x_PM6M,0.7356879237948715,1.0
x_IndRel_EPSSurpC,0.7232746106297223,3.0
x_LogUnadjPrice,-0.7232626056661158,1.0
x_Alpha60M,0.720762522264103,1.0
x_EPSEstDispFY2C,0.7142016078964273,3.0
x_PAdjChg1YSales,0.7095631243730322,2.0
x_SalesToInvCap,0.7091001608710616,4.0
x_Chg1YOCF,-0.7014327619630746,2.0
x_Rev3MFY2C,-0.6919471955819883,3.0
x_IndRel_DA,0.6898239130639102,6.0
x_IndRel_NCAP,0.687211489567316,5.0
x_CapExToAst,-0.6779545211200521,6.0
x_IndRel_FCFP,0.6735566119715419,5.0
x_IndRel_CashEV,0.6692245817465482,5.0
x_DepToCapex,-0.6683107270884674,4.0
x_IndRel_FwdFCFPC,-0.6644888826732988,5.0
x_IndRel_AccrualRatioBS,-0.660641808509268,4.0
x_PAdjChg3YSales,0.6538155780609958,2.0
x_6MAvgChg1MRecC,-0.6510024613272156,3.0
x_LTDA,-0.6458301757504594,6.0
x_IndRel_SP,-0.6409049213078972,5.0
x_TobinQ,0.6171744423981227,6.0
x_SalesToEPSChg,-0.6019513297505921,4.0
x_12QTrendTTMEPS,0.6009472924127426,2.0
x_calendarquarter,-0.5987922291430547,
x_ShortIntRatio,-0.5973259709970288,1.0
x_CVVolPrc20D,-0.5848764744104462,1.0
x_IndRel_PAdjChg1YEPS,-0.5839081361138982,2.0
x_IndRel_PTIP,0.5737592642465628,5.0
x_IO_StabofChgHD,0.5719450963106766,1.0
x_IndRel_OEA,0.5712976840290687,4.0
x_AstGrwth,0.56859489068067,6.0
x_IO_BreadthStabHD,-0.5630990954611444,1.0
x_IO_TO,-0.5529482716684765,1.0
x_StdErr180D,0.5504676541363275,1.0
x_14DayRSI,-0.5385178433462781,1.0
x_IndRel_DebtChg1Y,0.5376430696501041,6.0
x_IndRel_CashP,0.5321274893044006,5.0
x_IndRel_TobinQ,-0.5291403981318665,6.0
x_AccrualRatioBS,0.5164353125363187,4.0
x_CashEV,-0.5126164015121302,5.0
x_52WSlope,0.5106791017193997,1.0
x_IndRel_OCFEV,-0.5007396647487193,5.0
x_IndRel_ShortIntTrdVol,0.48692660499160034,1.0
x_Alpha36M6MPChg,0.4804246521585487,1.0
x_AstAdjChg1YCF,-0.46131092948857666,2.0
x_AccrualRatioCF,-0.45959897073150996,4.0
