feature,importance,feature_category
x_AdjFwdEPC,0.013924515,5.0
x_EBITEstDisp,0.011771324,3.0
x_EBITMargin,0.011654471,4.0
x_AdjRev3MFY1C,0.009352628,3.0
x_AnnVol12M,0.008066095,8.0
x_Chg1YOPM,0.008020606,2.0
x_AdjEBITP,0.007717542,5.0
x_SUEC,0.007284884,3.0
x_PrcTo260DL,0.0072464105,1.0
x_PAdjChg1YEPS,0.007040794,2.0
x_AdjRevMagC,0.0067631,3.0
x_PTIToNOA,0.006592247,4.0
x_RevMagFY1C,0.006430132,3.0
x_Chg3YOPM,0.006257118,2.0
x_ChgSalestoChgEPS,0.0061336034,4.0
x_CashEV,0.006050766,5.0
x_CashP,0.0060022436,5.0
x_BP,0.005877177,5.0
x_EPSEstDispFY1C,0.005808475,3.0
x_AccrualRatioBS,0.0056295795,4.0
x_LTDA,0.005450524,6.0
x_SalesToInvCap,0.0054151015,4.0
x_PM6M,0.005387314,1.0
x_IndRel_DivP,0.005380078,5.0
x_REToAst_2,0.0053600995,4.0
x_EPSEstDispFY2C,0.0053111273,3.0
x_InvToAst,0.0053071496,4.0
x_AdjAccruals,0.005277797,4.0
x_InvToAsset,0.005256019,4.0
x_PAdjChg3YEPS,0.005255673,2.0
x_StdErr180D,0.0051482255,1.0
x_AdjEPSNumRevFY2C,0.0051260325,3.0
x_MVEToTL,0.0051232344,6.0
x_AdjChgEPStoSales,0.005083337,4.0
x_CFEV,0.0050794957,5.0
x_130DMinRtn,0.0050581587,8.0
x_CashCycle,0.005027475,4.0
x_IndRel_CashP,0.0049817986,5.0
x_IndRel_BP,0.004961609,5.0
x_AdjFwdFCFPC,0.004961574,5.0
x_IndRel_TotalAccruals,0.004935043,4.0
x_EBITDAEV,0.0049242857,5.0
x_CashAdjEV,0.0049203606,5.0
x_Rev3MFY2C,0.004899475,3.0
x_STO_6M,0.004873466,1.0
x_CapAcqRatio,0.004865146,6.0
x_CFP,0.004856059,5.0
x_GPMargin,0.004798981,4.0
x_IndRel_TobinQ,0.004783565,6.0
x_6MChgTgtPrc,0.004773218,3.0
x_DivP,0.004747446,5.0
x_MaxRetPayoff,0.0047434815,1.0
x_EPSNumRevFY1C,0.0047340775,3.0
x_AstAdjChg1YOCF,0.0047169607,2.0
x_IndRel_CFROIC,0.0047161076,6.0
x_STO,0.0046954495,1.0
x_RecTurn,0.004679158,6.0
x_ROA_2,0.0046677017,6.0
x_calendarquarter,0.0046641077,
x_PM1M,0.004651803,1.0
x_IO_StabofChgHD,0.0046355,1.0
x_EPSStab,0.0046300595,2.0
x_IndRel_CFP,0.0046255332,5.0
x_AnnVol1M,0.004603331,8.0
x_IndRel_ROE,0.004597879,6.0
x_DebtChg1Y,0.004592418,6.0
x_AccrualRatioCF,0.0045762113,4.0
x_ETO,0.0045434064,4.0
x_IndRel_EPSSurpC,0.0045298995,3.0
x_IO_InvDuration,0.0045169597,1.0
x_IndRel_InvToAsset,0.0045075477,4.0
x_ShareChg,0.0044702576,6.0
x_ROE,0.0044631674,6.0
x_IndRel_WCAccruals,0.004454936,4.0
x_LogAssets,0.0044376967,7.0
x_WCAccruals,0.004420919,4.0
x_IndRel_GPMargin,0.0044170623,4.0
x_BuyToSellRecLess3MEMA,0.004407582,3.0
x_Alpha60M,0.00440664,1.0
x_AdjEBITDAEV,0.004405169,5.0
x_CFIC,0.004404371,4.0
x_AdjSTO_6M,0.0044011604,1.0
x_PM5D,0.004397492,1.0
x_Adj50DVolSig,0.004393703,8.0
x_SalesAcc,0.00437849,2.0
x_OCFAst_2,0.004367896,4.0
x_52WSlope,0.0043491437,1.0
x_IndRel_ShortIntTrdVol,0.004348182,1.0
x_6MChgTgtPrcGap,0.0043407036,3.0
x_IndRel_AstP,0.0043386286,5.0
x_AstGrwth,0.004327915,6.0
x_IndRel_CashAst,0.00432619,5.0
x_12QTrendTTMEPS,0.004325732,2.0
x_IO_Level,0.0043213232,1.0
x_IndRel_AssetTurn,0.0043151076,4.0
x_IndRel_InvToAst,0.004289406,4.0
x_IndRel_EP,0.004288754,5.0
