model,r2,mse,rmse,mae
linear,-61.54196474466428,543.4662405204693,15.029759478308716,2.433420791457574
ridge,-1.7659728080915595,23.962557695740053,4.40904680561666,2.2516707749202736
lasso,-0.00014409074539081245,8.630610417926325,2.9377658651084966,2.2654030359730037
enet,-0.00014409074539081245,8.630610417926325,2.9377658651084966,2.2654030359730037
xgb,0.15626196083950863,7.28062309728026,2.6982112924985726,2.04825863957018
lgbm,0.1542665145682824,7.297931770434692,2.7013738829389045,2.0460215338704915
catboost,0.1609527735122735,7.240029427611238,2.690674221672874,2.042426247153094
nn1,0.007331609283739993,8.567598325887412,2.923852700903414,2.1844633766934676
nn2,0.07192157835407728,8.008879821630927,2.8298823893616016,2.1519453924120544
nn3,0.06777007651428066,8.04441408049888,2.836187693442471,2.177351239346137
