feature,importance,feature_category
x_RevEstDisp,540,3.0
x_EPSNumRevFY1C,139,3.0
x_UnexpectedRecChg,128,4.0
x_Chg4QSalesTrend,120,2.0
x_IndRel_MaxRetPayoff,110,1.0
x_IndRel_RONA,106,5.0
x_SalesAcc,104,2.0
x_Chg1YTurnover,101,1.0
x_IndRel_CashCycle,99,4.0
x_DepToCapex,99,4.0
x_ChgSalesMargin,99,4.0
x_EBITEstDisp,98,3.0
x_IndRel_EPSSurpC,98,3.0
x_SUEC,97,3.0
x_REToAst_2,96,4.0
x_InvToAsset,94,4.0
x_CashAst,92,5.0
x_IO_ChgofIO_AM,92,1.0
x_PM5D,90,1.0
x_IndRel_PTIP,90,5.0
x_CVVolPrc30D,90,1.0
x_IndRel_EPSToSalesChg1Y,89,4.0
x_GPMargin,89,4.0
x_ChgATO_2,88,2.0
x_IO_InvDuration,88,1.0
x_IO_BreadthStabHD,87,1.0
x_IndRel_PM1M,87,1.0
x_60MAVGTTMROE,87,6.0
x_IndRel_DivP,86,5.0
x_RecTurn,86,6.0
x_IO_ChgofIO_HF,85,1.0
x_LogTTMSales,85,7.0
x_IndRel_CashAst,85,5.0
x_ShortIntRatio,85,1.0
x_IndRel_BP,85,5.0
x_IndRel_FwdFCFPC,85,5.0
x_5DVolSig,84,1.0
x_IO_ChgofNumBY,84,1.0
x_STO_6M,83,1.0
x_6MChgTgtPrcGapEMA,83,3.0
x_IndRel_InvToAsset,82,4.0
x_IndRel_PAdjChg1YSales,82,2.0
x_IndRel_SUEC,82,3.0
x_EPSEstDispFY2C,82,3.0
x_Alpha18M6MPChg,82,1.0
x_Chg3YOPM,81,2.0
x_CashCycle,81,4.0
x_130DMinRtn,80,8.0
x_MaxRetPayoff,80,1.0
x_IndRel_FCFEqt,80,5.0
x_IO_Level_AM,80,1.0
x_6MChgTgtPrc,80,3.0
x_IndRel_SP,79,5.0
x_IndRel_PTMargin,79,6.0
x_IndRel_DepToCapex,78,4.0
x_IndRel_PAdjChg1YEPS,78,2.0
x_5DMoneyFlowVol,77,1.0
x_AdjFwdEPC,77,5.0
x_IndRel_PM6M,76,1.0
x_6MAvgChg1MRecC,76,3.0
x_IndRel_CashP,76,5.0
x_Alpha36M6MPChg,76,1.0
x_IndRel_CapExToAst,76,6.0
x_IndRel_TotalAccruals,75,4.0
x_IndRel_PM5D,75,1.0
x_RelPrStr_12M,75,1.0
x_SharpeRatio,74,1.0
x_IndRel_SolvencyRatio,74,5.0
x_4To52WPrcOsc,74,1.0
x_IndRel_PM12M1M,74,1.0
x_IndRel_ROE,73,6.0
x_IndRel_GPMargin,73,4.0
x_AdjEBITP,72,5.0
x_ChgSalestoChgEPS,72,4.0
x_IndRel_InvToAst,72,4.0
x_CVVolPrc60D,72,1.0
x_IndRel_ShortIntTrdVol,72,1.0
x_Alpha60M,71,1.0
x_IndRel_OCFP,71,5.0
x_IndRel_WCAccruals,70,4.0
x_EPSToOCFChg,70,4.0
x_CVVolPrc20D,70,1.0
x_Chg1YOCF,70,2.0
x_SalesToEPSChg,70,4.0
