model,r2,mse,rmse,mae
linear,-130.26433856952093,5794.086952607345,57.27299376910641,5.784134046749861
ridge,-4.377846300903003,238.09702499734536,13.940126365367309,5.141318577103598
lasso,-0.0003589563163449494,44.00446741422542,6.632700733568494,4.945124737714265
enet,0.0013561253358199466,43.92903909575844,6.627013117697169,4.939990194224547
xgb,0.10625131789272094,39.3115421141678,6.2691495110733095,4.645490446180299
lgbm,0.10180124984005016,39.50875468313474,6.284816106171553,4.66188529083065
catboost,0.08856349739155218,40.09626615029675,6.331156833645209,4.704421345024572
nn1,0.019519450306148878,43.128970282394114,6.5664116279081295,4.876755790020436
nn2,0.01993063518133229,43.110612290660946,6.564961903607855,4.884529061747893
nn3,0.0213127370333549,43.04677264512672,6.56028054884668,4.895360743035013
