feature,importance,feature_category
x_SalesAcc,0.015456569,2.0
x_PM9M,0.008205343,1.0
x_CapAcqRatio,0.008051767,6.0
x_AdjRev3MFY1C,0.0077434643,3.0
x_ChgSalesMargin,0.0074586496,4.0
x_DivP,0.0073040174,5.0
x_HL52W,0.006905933,1.0
x_6MChgTgtPrc,0.0068625784,3.0
x_4To52WPrcOsc,0.0066219447,1.0
x_CapExToAst,0.00656092,6.0
x_AdjFwdEPC,0.006504234,5.0
x_RevEstDisp,0.0064726127,3.0
x_SUEC,0.006448953,3.0
x_PAdjChg1YSales,0.0063771983,2.0
x_Rev3MFY2C,0.0062202923,3.0
x_AdjEBITDAEV,0.0061604558,5.0
x_CashAst,0.006018078,5.0
x_EPSNumRevFY1C,0.00597487,3.0
x_UnexpectedRecChg,0.0055850795,4.0
x_IndRel_CFROIC,0.0055756173,6.0
x_CashCycle,0.0055750506,4.0
x_AdjEBITP,0.0055016824,5.0
x_CashAdjEV,0.0054732254,5.0
x_AdjFwdFCFPC,0.0054019955,5.0
x_IndRel_InvToAsset,0.005321209,4.0
x_AdjAccruals,0.005291154,4.0
x_LogTTMSales,0.005266732,7.0
x_InvToAsset,0.005252643,4.0
x_LogAssets,0.0052198,7.0
x_PrcTo52WH,0.0052121733,1.0
x_CFAst,0.0052116066,4.0
x_CFEV,0.005188582,5.0
x_Chg4QSalesTrend,0.0051762927,2.0
x_YoYChgDA,0.0051560113,8.0
x_EBITMargin,0.0050997217,4.0
x_AdjChgEPStoSales,0.0050978027,4.0
x_RevMagFY1C,0.0050818045,3.0
x_RecTurn,0.0050613154,6.0
x_EBITDAEV,0.0050244275,5.0
x_IndRel_ChgSalesMargin,0.005022091,4.0
x_AstGrwth,0.004945104,6.0
x_IndRel_SEV,0.0049329475,5.0
x_IndRel_GPMargin,0.0049264994,4.0
x_SalesToInvCap,0.0049139084,4.0
x_IndRel_OCFP,0.0049097436,5.0
x_IO_BreadthStabHD,0.0048814276,1.0
x_IndRel_PTIP,0.004876324,5.0
x_AnnVol12M,0.004868041,8.0
x_DepToCapex,0.0048458898,4.0
x_CFP,0.004835016,5.0
x_BP,0.0048300205,5.0
x_ShortIntRatio,0.0048257397,1.0
x_AstAdjChg3YEPS,0.0048092743,2.0
x_STO_6M,0.0048018335,1.0
x_CashBurn,0.004789064,4.0
