feature,importance,feature_category
x_SUEC,16.35147069830228,3.0
x_RevEstDisp,6.3990423371118865,3.0
x_EPSEstDispFY1C,4.030660800270376,3.0
x_EBITEstDisp,3.0006474580723688,3.0
x_CashAst,2.1309253697152304,5.0
x_EPSNumRevFY1C,1.956165310569093,3.0
x_CapAcqRatio,1.75457113023916,6.0
x_AdjEBITP,1.663537199072652,5.0
x_AdjEPSNumRevFY1C,1.6411606270945336,3.0
x_calendarquarter,1.41528429744448,
x_RevMagFY1C,1.2695184028419215,3.0
x_LogUnadjPrice,1.1880658548076715,1.0
x_GPMargin,1.0804626929899959,4.0
x_IndRel_SUEC,1.0027458833853868,3.0
x_AdjFwdEPC,0.9655285788200437,5.0
x_PrcTo260DL,0.9471699886491003,1.0
x_AnnVol12M,0.9348848318452818,8.0
x_IndRel_EPSEstDispFY1C,0.9201602844301078,3.0
x_SalesToInvCap,0.8499227775734715,4.0
x_130DMinRtn,0.7939846625574378,8.0
x_IO_InvDuration,0.7684783482648798,1.0
x_EPSStab,0.7649343871419284,2.0
x_IO_Level,0.7364919576536441,1.0
x_AdjRev3MFY1C,0.70858120492209,3.0
x_WCAccruals,0.7053886224321069,4.0
x_ShortIntRatio,0.6877702961063721,1.0
x_InvToAst,0.685370308443362,4.0
x_LogTTMSales,0.6706192366865332,7.0
x_PA52WL20DLag,0.6424909162642741,1.0
x_CashEV,0.637420961847686,5.0
x_IndRel_SolvencyRatio,0.5965497835485947,5.0
x_CashAdjEV,0.5780465430592557,5.0
x_ChgSalestoChgEPS,0.5633673520432477,4.0
x_AdjFwdFCFPC,0.5540082731125536,5.0
x_AnnVol1M,0.5506746582533425,8.0
x_Alpha60M,0.5326907765320561,1.0
x_FCFP,0.5289584466519907,5.0
x_IndRel_PM12M1M,0.5279974119257759,1.0
x_AdjEBITDAEV,0.5278509602905141,5.0
x_CFP,0.5164125845099274,5.0
x_EBITDAEV,0.5028323094527725,5.0
x_CashCycle,0.501453467765289,4.0
x_IndRel_SEV,0.4934034973351322,5.0
x_IndRel_PM5D,0.4860187414016119,1.0
