feature,importance,feature_category
x_SUEC,304,3.0
x_EPSEstDispFY1C,254,3.0
x_EBITEstDisp,238,3.0
x_RevEstDisp,219,3.0
x_IndRel_SUEC,148,3.0
x_EPSNumRevFY1C,138,3.0
x_PrcTo260DL,116,1.0
x_RevMagFY1C,116,3.0
x_IndRel_EPSEstDispFY1C,116,3.0
x_IO_Foreign,115,1.0
x_LogUnadjPrice,113,1.0
x_AdjEPSNumRevFY1C,112,3.0
x_IO_Level,109,1.0
x_CashAst,107,5.0
x_ChgSalestoChgEPS,103,4.0
x_GPMargin,103,4.0
x_IndRel_SEV,102,5.0
x_AdjFwdEPC,101,5.0
x_WCAccruals,97,4.0
x_SalesToInvCap,96,4.0
x_130DMinRtn,95,8.0
x_EPSEstDispFY2C,95,3.0
x_EPSStab,95,2.0
x_CashCycle,95,4.0
x_PM5D,95,1.0
x_IO_InvDuration,94,1.0
x_AdjAccruals,93,4.0
x_CapAcqRatio,92,6.0
x_14DayRSI,92,1.0
x_BuyToSellRecLess3MEMA,90,3.0
x_AdjEBITP,90,5.0
x_AnnVol12M,90,8.0
x_5DVolSig,89,1.0
x_LogTTMSales,88,7.0
x_ShortIntRatio,84,1.0
x_Chg1YAmihud,83,8.0
x_IndRel_RecTurn,83,6.0
x_6MAvgChg1MRecC,82,3.0
x_CVVolPrc20D,81,1.0
x_IndRel_PM5D,80,1.0
x_IndRel_OEA,80,4.0
x_IndRel_PAdjChg1YSales,80,2.0
x_AdjFwdFCFPC,79,5.0
x_IndRel_NCAP,79,5.0
x_IndRel_CashAst,79,5.0
x_Alpha18M6MPChg,78,1.0
x_Adj50DVolSig,78,8.0
x_SalesToEPSChg,78,4.0
x_IO_ChgofIO_HF,77,1.0
x_IndRel_PAdjChg1YEPS,77,2.0
x_IndRel_PM6M,77,1.0
x_Beta60M,77,8.0
x_IndRel_FwdFCFPC,75,5.0
x_AnnVol1M,75,8.0
x_calendarquarter,75,
x_InvToAst,74,4.0
x_IndRel_TobinQ,74,6.0
x_IndRel_DepToCapex,73,4.0
x_IndRel_SolvencyRatio,73,5.0
x_IndRel_OCFEV,73,5.0
x_IndRel_ShareChg,73,6.0
x_CashEV,73,5.0
x_Alpha60M,72,1.0
x_AssetTurn_2,72,4.0
x_IndRel_GPMargin,72,4.0
x_IndRel_EPSSurpC,72,3.0
x_CVVolPrc30D,71,1.0
x_IndRel_OCFP,71,5.0
x_5DMoneyFlowVol,71,1.0
x_IndRel_CashCycle,71,4.0
x_HL1M,70,1.0
x_SalesAcc,70,2.0
x_IndRel_PM12M1M,70,1.0
x_Chg1YTurnover,70,1.0
x_RecTurn,70,6.0
x_Alpha36M6MPChg,70,1.0
x_ChgATO_2,69,2.0
x_IndRel_TotalAccruals,69,4.0
x_LogAssets,69,7.0
x_PAdjChg1YSales,69,2.0
x_IndRel_ShortIntTrdVol,69,1.0
x_PSlopeSERR_26W,68,1.0
x_IndRel_BP,68,5.0
x_IO_NAT,68,1.0
x_IO_Level_AM,68,1.0
x_IndRel_LTDE,68,6.0
x_IndRel_SP,68,5.0
x_EPSToOCFChg,68,4.0
x_Chg1YOPM,67,2.0
x_DepToCapex,67,4.0
x_IO_ChgofNumBY,67,1.0
x_CVVolPrc60D,67,1.0
x_6MChgTgtPrcGapEMA,66,3.0
x_PM1M,66,1.0
x_IndRel_ROE,66,6.0
x_InvToAsset,66,4.0
x_InvToAstChg1Y,66,4.0
x_AdjEBITDAEV,66,5.0
x_IndRel_PM9M,65,1.0
x_IndRel_AccrualRatioCF,65,4.0
x_IndRel_AccrualRatioBS,65,4.0
x_IO_Concentration,65,1.0
x_IO_StabofChgHD,65,1.0
x_IndRel_CashP,65,5.0
x_IndRel_MaxRetPayoff,65,1.0
x_IndRel_DebtChg1Y,64,6.0
x_IndRel_OEP,64,5.0
x_BVEV,64,5.0
x_IndRel_Chg1YOPM,64,2.0
x_Alpha12M6MPChg,64,1.0
x_IndRel_FCFP,64,5.0
x_IndRel_InvToAst,64,4.0
x_IndRel_AdjAccruals,63,4.0
x_UnexpectedRecChg,63,4.0
x_IO_ChgofIO_AM,63,1.0
x_IndRel_InvToAsset,63,4.0
x_Chg4QSalesTrend,62,2.0
x_60MAVGTTMROE,62,6.0
x_IndRel_LTDA,61,6.0
x_IndRel_EPSToSalesChg1Y,61,4.0
x_IndRel_RONA,60,5.0
x_SEV,60,5.0
x_IndRel_CashEV,60,5.0
x_Chg3YOPM,59,2.0
x_AccrualRatioBS,59,4.0
x_PTIToNOA,59,4.0
x_6MChgTgtPrcGap,59,3.0
x_IndRel_DivP,59,5.0
x_REToAst_2,59,4.0
x_IndRel_PTMargin,59,6.0
x_IndRel_CapExToAst,57,6.0
x_IndRel_WCAccruals,57,4.0
x_TobinQ,57,6.0
x_FCFEqt,57,5.0
x_IO_BreadthStabBY,56,1.0
x_EBITDAEV,56,5.0
x_RelPrStr_12M,56,1.0
x_Chg1YOCF,56,2.0
x_IndRel_ROA,56,6.0
x_EBITMargin,56,4.0
x_IndRel_FwdEPC,55,5.0
x_RskAdjRS,55,1.0
x_MVEToTL,55,6.0
x_CashAdjEV,55,5.0
x_ShareChg,55,6.0
x_PA52WL20DLag,55,1.0
x_12QTrendTTMEPS,55,2.0
x_FCFP,54,5.0
x_PM6M,54,1.0
x_IndRel_DA,54,6.0
x_6MChgTgtPrc,53,3.0
x_LTDA,53,6.0
x_IndRel_CFP,53,5.0
x_52WVPT20DLag,53,1.0
x_Chg1YLTDA,53,2.0
x_Chg1YROA,52,2.0
x_IndRel_FCFEV,52,5.0
x_IndRel_EBITDAP,51,5.0
x_IndRel_EBITDAEV,51,5.0
x_StdErr180D,51,1.0
x_AccrualRatioCF,51,4.0
x_IndRel_EP,50,5.0
x_AdjRevMagC,50,3.0
x_STO_6M,50,1.0
x_AdjRev3MFY1C,49,3.0
x_AdjEPSNumRevFY2C,49,3.0
x_BP,48,5.0
x_IndRel_ChgSalesMargin,48,4.0
x_IndRel_PM1M,48,1.0
x_PAdjChg3YEPS,48,2.0
x_AstAdjChg1YCF,48,2.0
x_IO_BreadthStabHD,48,1.0
x_60MAVGTTMROA,48,6.0
x_MaxRetPayoff,48,1.0
x_IndRel_AstP,47,5.0
x_RONA,47,5.0
x_PAdjChg3YSales,47,2.0
x_DivP,47,5.0
x_IndRel_CFROIC,46,6.0
x_DebtChg1Y,46,6.0
x_IndRel_PTIP,46,5.0
x_IndRel_ROIC,46,6.0
x_IndRel_CFEV,45,5.0
x_AstAdjChg3YEPS,44,2.0
x_AdjAstAdjChg1YFCF,44,2.0
x_SharpeRatio,44,1.0
x_ChgSalesMargin,43,4.0
x_DivToCF,43,5.0
x_CashBurn,43,4.0
x_IndRel_AssetTurn,43,4.0
x_OCFAst_2,41,4.0
x_CapExToAst,41,6.0
x_CFP,41,5.0
x_IO_TO,41,1.0
x_90DCV,40,8.0
x_IndRel_Chg1YOCF,40,2.0
x_ETO,40,4.0
x_AstGrwth,39,6.0
x_CashP,38,5.0
x_PAdjChg1YEPS,38,2.0
x_AdjSTO_6M,38,1.0
x_CFAst,38,4.0
x_STO,37,1.0
x_52WSlope,37,1.0
x_ConsQPosChgTTMEPS,37,2.0
x_Rev3MFY2C,36,3.0
x_FL,36,6.0
x_AdjChgEPStoSales,36,4.0
x_ROA_2,35,6.0
x_AstAdjChg1YOCF,35,2.0
x_YoYChgDA,35,8.0
x_CQDOHtoSales,35,2.0
x_ROEStab,34,2.0
x_PrcTo52WH,34,1.0
x_IndRel_FCFEqt,33,5.0
x_PM9M,33,1.0
x_HL52W,31,1.0
x_CQDRItoSales,31,2.0
x_CFIC,29,4.0
x_ROE,29,6.0
x_PAdjChg1YOCF,29,2.0
x_CFEV,24,5.0
x_ConsQPosChginTTMCF,23,2.0
x_4To52WPrcOsc,22,1.0
x_CQPTTMCFtoSales,20,2.0
x_24MResRtnVar,16,1.0
