feature,importance,feature_category
x_CashP,1.5540200182582777,5.0
x_DivP,-1.2317696488927947,5.0
x_BP,-0.41114871119264085,5.0
x_IndRel_SUEC,0.37356537509407406,3.0
x_EPSNumRevFY1C,0.30918422012183183,3.0
x_CapExToAst,-0.2347092696821412,6.0
x_YoYChgDA,-0.230603327974935,8.0
x_DebtChg1Y,0.22879144181934422,6.0
x_52WVPT20DLag,-0.22060105119506818,1.0
x_CashAst,0.2170516519583891,5.0
x_LogAssets,-0.18744757308880863,7.0
x_OCFAst_2,0.18589146578547738,4.0
x_RevEstDisp,-0.18307146375755812,3.0
x_LogUnadjPrice,0.15669340107928548,1.0
x_LTDA,-0.1557128441658354,6.0
x_STO,0.14624261914210618,1.0
x_ShortIntRatio,-0.14599738088140204,1.0
x_LogTTMSales,0.13803707714065158,7.0
x_IO_InvDuration,0.12245012462280813,1.0
x_AnnVol12M,0.11981528896000064,8.0
x_ConsQPosChginTTMCF,0.10604185197266282,2.0
x_IndRel_AssetTurn,-0.1029883672274266,4.0
x_IndRel_LTDA,0.08558507706535597,6.0
x_CQPTTMCFtoSales,-0.08238486504386817,2.0
x_IndRel_EPSEstDispFY1C,-0.08129461976488647,3.0
x_130DMinRtn,-0.07872136450038605,8.0
x_IndRel_CashAst,-0.07791362701883403,5.0
x_EPSEstDispFY1C,0.07723220552620841,3.0
x_AnnVol1M,-0.07686966085882817,8.0
x_PrcTo52WH,0.07586514539797605,1.0
x_IndRel_NCAP,-0.07519951616929432,5.0
x_PM6M,0.07316832928556652,1.0
x_CVVolPrc20D,-0.07254129030947597,1.0
x_IndRel_CapExToAst,0.07034920916604641,6.0
x_RevMagFY1C,-0.06974837156524638,3.0
x_AdjSTO_6M,0.06593565289796882,1.0
x_AdjEBITP,-0.0657277576308652,5.0
x_calendarquarter,0.06312924639817266,
x_IndRel_FCFEV,-0.05730583226251525,5.0
x_ConsQPosChgTTMEPS,-0.05705135776832778,2.0
x_InvToAst,0.056343063793286796,4.0
x_4To52WPrcOsc,-0.05507636361920573,1.0
x_StdErr180D,0.05454356371846069,1.0
x_14DayRSI,0.05422007885077482,1.0
x_PM9M,-0.0541665111121232,1.0
x_IndRel_AstP,-0.053459444408367585,5.0
x_IO_BreadthStabHD,-0.05250136131462165,1.0
x_AdjFwdFCFPC,-0.05241381068314174,5.0
x_STO_6M,0.052196102098822014,1.0
x_IndRel_OCFEV,0.04980354061066087,5.0
x_WCAccruals,-0.04827912253375698,4.0
x_AssetTurn_2,0.046742441695255876,4.0
x_IndRel_PAdjChg1YEPS,-0.043399528751002656,2.0
x_IndRel_TobinQ,-0.04235367522043345,6.0
x_Chg1YLTDA,0.04101760045085445,2.0
x_IndRel_PTMargin,-0.04060291615097944,6.0
x_IndRel_PM6M,-0.04060194656708377,1.0
x_IndRel_EP,0.04015647118331445,5.0
x_6MAvgChg1MRecC,-0.03618684321125148,3.0
x_IndRel_InvToAst,-0.034994798027377774,4.0
x_IO_Level_AM,0.034246684089781335,1.0
x_IndRel_RecTurn,-0.03378997048364782,6.0
x_IO_NAT,-0.03309696529646085,1.0
x_MaxRetPayoff,-0.032505288327259005,1.0
x_60MAVGTTMROA,0.032446306014262655,6.0
x_IO_ChgofIO_HF,0.031789513364978116,1.0
x_IndRel_ShareChg,-0.03154550691672632,6.0
x_PM1M,0.03138472584759931,1.0
x_IO_Concentration,0.03098749532003292,1.0
x_90DCV,0.030397818911850918,8.0
x_AstAdjChg1YCF,0.029651199514705406,2.0
x_IndRel_AdjAccruals,-0.02725106795608686,4.0
x_IndRel_OEP,-0.026637963067652145,5.0
x_CVVolPrc60D,0.026489783397162806,1.0
x_AstGrwth,-0.02623307247065426,6.0
x_IndRel_PM5D,0.026006721272933228,1.0
x_IndRel_SP,0.02551547131361532,5.0
x_EBITEstDisp,0.02527146293893999,3.0
x_Chg1YTurnover,-0.024950381633625417,1.0
x_ChgSalesMargin,0.024916173042500836,4.0
x_AdjAstAdjChg1YFCF,0.024740981469836425,2.0
x_PSlopeSERR_26W,-0.02435240573615184,1.0
x_IndRel_PAdjChg1YSales,-0.024282006990293842,2.0
x_AdjEPSNumRevFY1C,0.024173734702302017,3.0
x_5DVolSig,-0.02391373789015124,1.0
x_CVVolPrc30D,-0.02389865257755712,1.0
x_AdjEPSNumRevFY2C,0.023667078650429985,3.0
x_IndRel_WCAccruals,0.023515612529283123,4.0
x_IndRel_InvToAsset,0.023397091539402545,4.0
x_REToAst_2,-0.02320941636516341,4.0
x_CFAst,0.023039806843236213,4.0
x_CQDRItoSales,-0.023031932526451845,2.0
x_5DMoneyFlowVol,0.02280895758469053,1.0
x_IO_BreadthStabBY,0.02250811527979129,1.0
x_IndRel_ShortIntTrdVol,-0.022383500155817207,1.0
x_IndRel_DA,-0.02234950266567886,6.0
x_IO_Foreign,0.02231088139898502,1.0
x_BVEV,0.02214861060384675,5.0
x_IndRel_OEA,0.021904398826224365,4.0
x_IndRel_ChgSalesMargin,-0.021466475937299376,4.0
x_IndRel_CashEV,0.021115644755592647,5.0
x_IndRel_LTDE,0.02056099340407332,6.0
x_RelPrStr_12M,0.019925990282905204,1.0
x_IO_Level,0.019794246401413834,1.0
x_IndRel_FwdEPC,-0.019447216471513026,5.0
x_IndRel_SolvencyRatio,0.019228629101582878,5.0
x_IndRel_DivP,-0.01857988876986263,5.0
x_IndRel_DepToCapex,0.01803931589003749,4.0
x_Rev3MFY2C,-0.017980435366678454,3.0
x_IndRel_ROIC,0.017472789938276934,6.0
x_EPSStab,-0.017094822832547478,2.0
x_AdjEBITDAEV,-0.017036637940267635,5.0
x_GPMargin,-0.016967565745309957,4.0
x_Chg1YROA,0.016865713473106163,2.0
x_IO_ChgofIO_AM,-0.016494707775630585,1.0
x_CFIC,0.01644281595329311,4.0
