feature,importance,feature_category
x_CashP,1.302471105886844,5.0
x_DivP,-1.178554489624842,5.0
x_IndRel_SUEC,0.37352206267627275,3.0
x_EPSNumRevFY1C,0.3092028679576656,3.0
x_CapExToAst,-0.23485381935410807,6.0
x_YoYChgDA,-0.22997749200948953,8.0
x_DebtChg1Y,0.228156344753659,6.0
x_52WVPT20DLag,-0.21947852282345892,1.0
x_CashAst,0.21734025659235603,5.0
x_BP,-0.21572293589353872,5.0
x_LogAssets,-0.18686321712959555,7.0
x_OCFAst_2,0.18590954720771152,4.0
x_RevEstDisp,-0.18310810757074145,3.0
x_LogUnadjPrice,0.15655899989382,1.0
x_LTDA,-0.15576339234823955,6.0
x_STO,0.15456669614529078,1.0
x_ShortIntRatio,-0.14604165801584443,1.0
x_LogTTMSales,0.13777925666178156,7.0
x_IO_InvDuration,0.12242076252884077,1.0
x_AnnVol12M,0.11996194581353091,8.0
x_ConsQPosChginTTMCF,0.10598100191263768,2.0
x_IndRel_AssetTurn,-0.10301132690406903,4.0
x_IndRel_LTDA,0.08558538693563376,6.0
x_CQPTTMCFtoSales,-0.08235560954927164,2.0
x_IndRel_EPSEstDispFY1C,-0.08123700880443345,3.0
x_130DMinRtn,-0.07865637910661859,8.0
x_IndRel_CashAst,-0.07779671879339739,5.0
x_EPSEstDispFY1C,0.07712600736141496,3.0
x_AnnVol1M,-0.07659388000318988,8.0
x_PrcTo52WH,0.07631863727269958,1.0
x_IndRel_NCAP,-0.07535205446368107,5.0
x_PM6M,0.07321936815404956,1.0
x_CVVolPrc20D,-0.072525278054986,1.0
x_IndRel_CapExToAst,0.07045924481558834,6.0
x_RevMagFY1C,-0.06964402940679344,3.0
x_AdjSTO_6M,0.06600857411898318,1.0
x_AdjEBITP,-0.06573094048746844,5.0
x_calendarquarter,0.06311289384670679,
x_IndRel_FCFEV,-0.05744354706534046,5.0
x_ConsQPosChgTTMEPS,-0.056966311626886396,2.0
x_InvToAst,0.05629723347365025,4.0
x_StdErr180D,0.05457687815359995,1.0
x_14DayRSI,0.054250926509101766,1.0
x_PM9M,-0.054141148875697806,1.0
x_4To52WPrcOsc,-0.05412675624606032,1.0
x_IndRel_AstP,-0.053165268837426255,5.0
x_IO_BreadthStabHD,-0.05251582550168488,1.0
x_STO_6M,0.05218642096763888,1.0
x_AdjFwdFCFPC,-0.0519935766927787,5.0
x_IndRel_OCFEV,0.049937882420353616,5.0
x_WCAccruals,-0.048297637131102016,4.0
x_AssetTurn_2,0.046838003200931136,4.0
x_IndRel_PAdjChg1YEPS,-0.04331409509990455,2.0
x_IndRel_TobinQ,-0.04237259166284694,6.0
x_Chg1YLTDA,0.04099908611683504,2.0
x_IndRel_PTMargin,-0.04063130229182176,6.0
x_IndRel_PM6M,-0.040602782343739555,1.0
x_IndRel_EP,0.04015756925270215,5.0
x_6MAvgChg1MRecC,-0.03619531658198683,3.0
x_IndRel_InvToAst,-0.0348022993909368,4.0
x_IO_Level_AM,0.03431591219342162,1.0
x_IndRel_RecTurn,-0.03381647695522985,6.0
x_IO_NAT,-0.03310888452878148,1.0
x_MaxRetPayoff,-0.03248298014544423,1.0
x_60MAVGTTMROA,0.032441793387275354,6.0
x_IO_ChgofIO_HF,0.03180187060650167,1.0
x_IndRel_ShareChg,-0.031589295126933134,6.0
x_PM1M,0.03126421691855956,1.0
x_IO_Concentration,0.03103182691402534,1.0
x_90DCV,0.030195864050776716,8.0
x_AstAdjChg1YCF,0.02966585844085066,2.0
x_IndRel_AdjAccruals,-0.02726031242982872,4.0
x_IndRel_OEP,-0.02662065838544275,5.0
x_CVVolPrc60D,0.026488144352131024,1.0
x_AstGrwth,-0.026237817954287476,6.0
x_IndRel_PM5D,0.026001500050232683,1.0
x_IndRel_SP,0.025431931110426628,5.0
x_EBITEstDisp,0.025272628604407977,3.0
x_Chg1YTurnover,-0.024992942603652202,1.0
x_ChgSalesMargin,0.024911313347655773,4.0
x_AdjAstAdjChg1YFCF,0.024743920034957328,2.0
x_IndRel_PAdjChg1YSales,-0.02438243380711265,2.0
x_PSlopeSERR_26W,-0.024356619266006123,1.0
x_AdjEPSNumRevFY1C,0.0241921764307095,3.0
x_CVVolPrc30D,-0.023893996079317133,1.0
x_5DVolSig,-0.023890217196833766,1.0
x_AdjEPSNumRevFY2C,0.02367460522274254,3.0
x_IndRel_WCAccruals,0.023471122924554586,4.0
x_IndRel_InvToAsset,0.023426139738838718,4.0
x_REToAst_2,-0.02321409848176983,4.0
