feature,importance,feature_category
x_AdjFwdEPC,9.060213835249987,5.0
x_SUEC,7.048054404103237,3.0
x_EBITEstDisp,7.035168197837227,3.0
x_EPSEstDispFY1C,3.3763709446075842,3.0
x_AnnVol12M,3.2902515335184024,8.0
x_AdjRevMagC,2.7811597061518905,3.0
x_EPSEstDispFY2C,2.7281199570868564,3.0
x_RevMagFY1C,2.502965270386327,3.0
x_PrcTo260DL,1.5664755922746203,1.0
x_EBITMargin,1.5461832199912984,4.0
x_AdjEPSNumRevFY1C,1.5029794811586028,3.0
x_IndRel_EPSSurpC,1.265027394125608,3.0
x_AdjRev3MFY1C,1.1292328314463127,3.0
x_CashP,1.027995222375898,5.0
x_SEV,0.907045552498022,5.0
x_Chg1YOPM,0.8360096023273367,2.0
x_IndRel_EPSEstDispFY1C,0.8190352107608712,3.0
x_EPSNumRevFY1C,0.8168048972956433,3.0
x_MVEToTL,0.8160869610368049,6.0
x_AdjEPSNumRevFY2C,0.7901866690504926,3.0
x_ChgSalestoChgEPS,0.7887600285395977,4.0
x_RONA,0.7409908475301415,5.0
x_Alpha60M,0.7310827484814653,1.0
x_IndRel_SolvencyRatio,0.7204688475424905,5.0
x_CFP,0.705813901673847,5.0
x_CashEV,0.685429653149591,5.0
x_AdjEBITP,0.654578783724477,5.0
x_PM5D,0.6428934651216454,1.0
x_GPMargin,0.6339669196105568,4.0
x_CashCycle,0.6307837834368211,4.0
x_LogUnadjPrice,0.6227240762798654,1.0
x_calendarquarter,0.6059546069283483,
x_InvToAstChg1Y,0.5420911454793967,4.0
x_EPSStab,0.5386261951966106,2.0
x_130DMinRtn,0.5357979333513163,8.0
x_STO_6M,0.5329758026473136,1.0
x_LogTTMSales,0.5074870846629503,7.0
x_IO_Level_AM,0.49896651769596584,1.0
x_PTIToNOA,0.49751565165514927,4.0
x_CapAcqRatio,0.49592084266711994,6.0
x_PAdjChg1YEPS,0.49210658647823413,2.0
x_RevEstDisp,0.4712370451923784,3.0
x_AnnVol1M,0.4573266553599053,8.0
x_BP,0.450542285129702,5.0
x_PA52WL20DLag,0.43292953929852007,1.0
x_ROE,0.4322865107745626,6.0
x_InvToAsset,0.43221508320643703,4.0
x_CashAst,0.4290459074678973,5.0
x_RskAdjRS,0.42878502931299795,1.0
x_AdjFwdFCFPC,0.427097369212817,5.0
x_CVVolPrc30D,0.41668010262006455,1.0
x_IndRel_CFEV,0.4089562861796673,5.0
x_6MAvgChg1MRecC,0.402255122764699,3.0
x_Chg1YLTDA,0.39611120265339034,2.0
x_IndRel_CashCycle,0.39493961441616954,4.0
x_FCFP,0.3912379416292244,5.0
x_IndRel_PM9M,0.38334277189644916,1.0
x_Chg3YOPM,0.382764914478658,2.0
x_IndRel_FwdEPC,0.3794619687290358,5.0
x_IO_InvDuration,0.3742300847555211,1.0
x_IndRel_ShareChg,0.37288017751596564,6.0
x_PAdjChg1YOCF,0.3716512154107901,2.0
x_EBITDAEV,0.3692438787354637,5.0
x_SalesAcc,0.36871030764486323,2.0
x_AssetTurn_2,0.36771140264950675,4.0
x_IndRel_TotalAccruals,0.36704034012230713,4.0
x_ShortIntRatio,0.36261938290946566,1.0
x_CashAdjEV,0.3625907343249473,5.0
x_IndRel_TobinQ,0.3558054269420797,6.0
x_SalesToEPSChg,0.35368847963497274,4.0
x_BVEV,0.3485419912535367,5.0
x_24MResRtnVar,0.3480199799127093,1.0
x_PM6M,0.3421034990604976,1.0
x_UnexpectedRecChg,0.3378362092167127,4.0
x_LogAssets,0.33504082644574484,7.0
x_OCFAst_2,0.33425485806454575,4.0
x_IO_ChgofNumBY,0.3283860803531652,1.0
x_PAdjChg3YEPS,0.3126262285598494,2.0
x_Chg1YAmihud,0.31235651039952417,8.0
x_REToAst_2,0.30507288987034864,4.0
x_IndRel_RONA,0.30132520813184493,5.0
x_IndRel_OEP,0.30075423674968776,5.0
x_IndRel_BP,0.29569112395692393,5.0
x_MaxRetPayoff,0.2952428222511326,1.0
x_PM1M,0.29345738748868505,1.0
x_IndRel_PM5D,0.28638138920401435,1.0
x_ShareChg,0.2819372628410837,6.0
x_IndRel_PAdjChg1YEPS,0.27916929327822004,2.0
x_ChgSalesMargin,0.2751924820510171,4.0
x_52WVPT20DLag,0.2724249234160919,1.0
x_Rev3MFY2C,0.2692376353761299,3.0
x_WCAccruals,0.2677435104194589,4.0
x_IndRel_CFROIC,0.2581425701741862,6.0
x_AdjEBITDAEV,0.2578669144783298,5.0
x_AccrualRatioCF,0.2571506173098023,4.0
x_IndRel_FwdFCFPC,0.25596160087452285,5.0
x_IO_TO,0.2531691036001517,1.0
x_IndRel_ShortIntTrdVol,0.25270459953493096,1.0
x_IndRel_LTDA,0.24676766457082003,6.0
x_IO_Concentration,0.24596235518215698,1.0
x_IndRel_PM12M1M,0.2406641686660833,1.0
x_IO_Level,0.2330358567423004,1.0
x_STO,0.23231720865835206,1.0
x_IndRel_CapExToAst,0.2320679503240608,6.0
x_6MChgTgtPrcGapEMA,0.23168208970853088,3.0
x_ETO,0.2281124755086227,4.0
x_60MAVGTTMROA,0.21935073880775086,6.0
x_PAdjChg1YSales,0.21606470903969965,2.0
x_CapExToAst,0.21420230734036133,6.0
x_ConsQPosChginTTMCF,0.21333187023497407,2.0
x_IndRel_DepToCapex,0.21124489616509998,4.0
x_DepToCapex,0.21105318031106443,4.0
x_IndRel_GPMargin,0.21001787147529333,4.0
x_Chg4QSalesTrend,0.20953971472629895,2.0
x_60MAVGTTMROE,0.20941552022090454,6.0
x_ChgATO_2,0.20400362995440266,2.0
x_CashBurn,0.20288747944247604,4.0
x_AstAdjChg3YEPS,0.19992247438708569,2.0
x_DivToCF,0.19361453644830184,5.0
x_IndRel_FCFP,0.19166445485506098,5.0
x_IndRel_ROE,0.18912588251243853,6.0
x_AccrualRatioBS,0.1860015513829177,4.0
x_IndRel_AstP,0.1849632668462537,5.0
x_Chg1YTurnover,0.1823266985564992,1.0
x_12QTrendTTMEPS,0.1810732264458637,2.0
x_SalesToInvCap,0.18005052703728663,4.0
x_AdjChgEPStoSales,0.1787407736402876,4.0
x_CQPTTMCFtoSales,0.17796378026450893,2.0
x_EPSToOCFChg,0.1776237245513538,4.0
x_IndRel_SUEC,0.17729546444848868,3.0
x_ROA_2,0.17617148739220367,6.0
x_InvToAst,0.17551679339018295,4.0
x_Beta60M,0.17031199267411865,8.0
x_IndRel_SEV,0.1689349805489988,5.0
x_IndRel_LTDE,0.16865164616997336,6.0
x_IndRel_ROIC,0.16684708545210825,6.0
x_HL1M,0.16542821601524277,1.0
x_CFIC,0.1631375468412832,4.0
x_IndRel_Chg1YOPM,0.16180036719539076,2.0
x_IndRel_InvToAsset,0.1611461515724401,4.0
x_IndRel_CashP,0.16032800224997618,5.0
x_IndRel_AccrualRatioBS,0.1590266219215619,4.0
x_IO_ChgofIO_AM,0.158924042380749,1.0
x_IndRel_Chg1YOCF,0.15731277565032056,2.0
x_AstGrwth,0.15708281378822767,6.0
x_AstAdjChg1YCF,0.15645381565789448,2.0
x_IndRel_FCFEV,0.15372154125192664,5.0
x_IndRel_EBITDAEV,0.15276862311598985,5.0
x_IO_StabofChgHD,0.1480854586484818,1.0
x_IndRel_OCFEV,0.14699292047363346,5.0
x_6MChgTgtPrc,0.14307270042271814,3.0
x_PAdjChg3YSales,0.14224634639019815,2.0
x_IndRel_InvToAst,0.1418232543852426,4.0
x_IndRel_PM6M,0.138420576137378,1.0
x_Alpha12M6MPChg,0.13700469688109165,1.0
x_IndRel_DA,0.13258357595616513,6.0
