feature,importance,feature_category
x_BP,-5.1640012483719016,5.0
x_STO,4.394678336496313,1.0
x_AnnVol12M,4.065354416896048,8.0
x_EBITMargin,-3.6727356682354277,4.0
x_GPMargin,3.4908260829650355,4.0
x_CashAst,2.1506881543796523,5.0
x_EPSEstDispFY1C,-1.768596433450464,3.0
x_IndRel_SUEC,1.6967609876544725,3.0
x_AdjFwdEPC,-1.657181389728465,5.0
x_RevMagFY1C,1.5673493702819574,3.0
x_IndRel_EPSEstDispFY1C,1.5561433770487914,3.0
x_OCFAst_2,-1.375764935116247,4.0
x_ConsQPosChgTTMEPS,-1.3089866425642134,2.0
x_CapExToAst,-1.2587447352739183,6.0
x_LogTTMSales,1.243064117572446,7.0
x_EPSNumRevFY1C,1.1453114943877076,3.0
x_WCAccruals,-1.1406988005708623,4.0
x_IndRel_CapExToAst,1.0480407181770943,6.0
x_CashP,1.036280125116892,5.0
x_4To52WPrcOsc,-0.9738119834879445,1.0
x_IO_Concentration,0.9342525892394183,1.0
x_IndRel_OCFEV,0.7735269187079249,5.0
x_AdjSTO_6M,0.7612944317286428,1.0
x_52WVPT20DLag,-0.7520593672635818,1.0
x_LogAssets,-0.7134903722838338,7.0
x_IndRel_FCFEV,-0.6977429437938859,5.0
x_DivP,0.6850308741283517,5.0
x_PM1M,0.5970107302411424,1.0
x_IndRel_EPSSurpC,0.5523355835731698,3.0
x_STO_6M,0.5420543526779071,1.0
x_SharpeRatio,-0.5358544270636569,1.0
x_AssetTurn_2,-0.5328372421804378,4.0
x_ShortIntRatio,-0.5292578976887998,1.0
x_IndRel_AssetTurn,0.5261640771177908,4.0
x_IndRel_SolvencyRatio,-0.5140514450035296,5.0
x_IndRel_TobinQ,-0.5097297865696255,6.0
x_IndRel_DivP,-0.5091933099790651,5.0
x_MaxRetPayoff,-0.5086823510697623,1.0
x_90DCV,0.49461336767512665,8.0
x_YoYChgDA,-0.4885719776419819,8.0
x_EPSEstDispFY2C,0.48114845450697435,3.0
x_Chg1YLTDA,0.46661680897428054,2.0
x_InvToAst,0.4412231163900339,4.0
x_PM6M,0.43989479823160527,1.0
x_CVVolPrc20D,-0.43841768989837565,1.0
x_IndRel_EP,0.438225416615036,5.0
x_CFIC,-0.43571407774540927,4.0
x_IO_InvDuration,0.43061530336636544,1.0
x_IndRel_SP,-0.42520262078050125,5.0
x_AdjEPSNumRevFY2C,0.4247512821628113,3.0
x_AdjRevMagC,-0.419477839467494,3.0
x_Rev3MFY2C,-0.39970292395886436,3.0
x_IndRel_TotalAccruals,0.3975981414578581,4.0
x_CQDOHtoSales,0.3931911078584235,2.0
x_SalesToInvCap,0.38581322121362227,4.0
x_IndRel_ShortIntTrdVol,0.38182351841727447,1.0
x_RevEstDisp,0.3562088827069356,3.0
x_CFP,-0.3556640551030842,5.0
x_DebtChg1Y,0.3488534931631456,6.0
x_AdjEBITP,0.34497769286675395,5.0
x_IndRel_WCAccruals,0.3444642230946579,4.0
x_Chg1YOCF,-0.34211926868140574,2.0
x_IndRel_PTMargin,-0.34208388594746314,6.0
x_Chg1YTurnover,-0.3376773010805775,1.0
x_IndRel_CFP,0.33686522169569033,5.0
x_IndRel_FwdEPC,-0.33602323778120957,5.0
x_FCFP,0.33509172727615044,5.0
x_6MChgTgtPrc,0.32097966597855826,3.0
x_ETO,0.31499396706060157,4.0
x_PrcTo52WH,-0.3119526540125184,1.0
x_InvToAstChg1Y,-0.3110475099643454,4.0
x_IndRel_AstP,0.3034566905847867,5.0
x_StdErr180D,-0.2980424236017558,1.0
x_AdjEPSNumRevFY1C,0.2910496555090628,3.0
x_MVEToTL,0.29103802696997616,6.0
x_AccrualRatioBS,0.29047657568007024,4.0
x_AdjRev3MFY1C,0.2903002461688153,3.0
x_AstAdjChg3YEPS,-0.289072707081683,2.0
x_CQPTTMCFtoSales,0.28397779755412145,2.0
x_ConsQPosChginTTMCF,-0.28155470879099453,2.0
x_CashAdjEV,-0.2783694495269654,5.0
x_AstAdjChg1YCF,0.2771045256053435,2.0
x_IndRel_CFEV,0.2763952667414163,5.0
x_Adj50DVolSig,0.2752730758368667,8.0
x_AdjFwdFCFPC,0.27263236330969665,5.0
x_60MAVGTTMROA,-0.2719437444871616,6.0
x_EPSToOCFChg,-0.2687554160294985,4.0
x_EBITEstDisp,0.2677908818480122,3.0
x_CQDRItoSales,0.2662561061905627,2.0
x_IndRel_AdjAccruals,-0.26487944477718417,4.0
x_IndRel_PM5D,0.2588829225833952,1.0
x_LogUnadjPrice,-0.25855533894043903,1.0
x_AnnVol1M,-0.2537165169654426,8.0
x_IndRel_PTIP,-0.2525166780164542,5.0
x_BuyToSellRecLess3MEMA,0.24543641262046378,3.0
x_IndRel_SEV,0.24392286395083587,5.0
x_CVVolPrc30D,-0.22862480333085297,1.0
x_IndRel_CashEV,0.22622555236869307,5.0
x_IndRel_OCFP,-0.2256609947951864,5.0
x_5DMoneyFlowVol,0.22548709843166367,1.0
x_SalesToEPSChg,0.2207251326364677,4.0
x_RelPrStr_12M,0.21271076601663397,1.0
x_IndRel_GPMargin,-0.20233491340100734,4.0
x_ROE,-0.2000355533852131,6.0
x_CFEV,-0.19872691635576079,5.0
x_AstAdjChg1YOCF,0.1968947445961269,2.0
x_REToAst_2,0.18936916118159275,4.0
x_IndRel_PAdjChg1YSales,-0.18777270220425524,2.0
x_IndRel_AccrualRatioCF,-0.18223283525014644,4.0
x_Chg1YAmihud,-0.18126190574206377,8.0
x_BVEV,0.1795584476665512,5.0
x_EPSStab,-0.17885301484824292,2.0
x_ROEStab,-0.1758051633111164,2.0
x_LTDA,0.17261944457275066,6.0
x_CashBurn,-0.17104919157109633,4.0
x_IndRel_ROE,0.1685070214400342,6.0
x_IndRel_OEA,0.167363672792473,4.0
x_12QTrendTTMEPS,0.1655456489296154,2.0
x_AstGrwth,0.16288704337976664,6.0
x_AdjChgEPStoSales,0.16280778333053098,4.0
x_CapAcqRatio,0.16043119971708847,6.0
x_IO_ChgofIO_AM,-0.15917096405163889,1.0
x_IndRel_EBITDAP,0.15630780428883637,5.0
x_IndRel_ROIC,0.15320674094170839,6.0
x_Chg1YROA,0.1527894187705136,2.0
x_IndRel_AccrualRatioBS,-0.15015799198628788,4.0
x_Chg4QSalesTrend,0.14748818035956374,2.0
x_AdjAccruals,0.14647782641852078,4.0
x_EBITDAEV,0.1438781299185885,5.0
x_FL,-0.14223368826858118,6.0
x_IO_BreadthStabBY,-0.14142938130548005,1.0
x_IndRel_CashCycle,0.13879719052939993,4.0
x_TobinQ,-0.1385743050399713,6.0
x_IndRel_EPSToSalesChg1Y,-0.13790674848025208,4.0
x_IndRel_LTDE,0.13598736871768935,6.0
x_IndRel_Chg1YOPM,-0.13228291515325385,2.0
x_AdjEBITDAEV,-0.13124677277757146,5.0
x_IndRel_Chg1YOCF,0.1287419424134531,2.0
x_Chg1YOPM,0.12855607232592242,2.0
x_6MAvgChg1MRecC,-0.12646890416040496,3.0
x_AdjAstAdjChg1YFCF,-0.1262747213355608,2.0
x_PM5D,0.12535978489519028,1.0
x_IO_Level,-0.1251155294804818,1.0
x_RecTurn,0.12043778458729615,6.0
x_IndRel_ChgSalesMargin,-0.1195787838141537,4.0
x_RskAdjRS,-0.11918260558941335,1.0
x_PTIToNOA,-0.11724263294394399,4.0
x_IndRel_EBITDAEV,-0.11601496496630652,5.0
x_CFAst,0.11526190994752498,4.0
x_IndRel_OEP,-0.11397882529978552,5.0
x_IndRel_BP,0.1131183141511502,5.0
x_PSlopeSERR_26W,0.1118516272617933,1.0
x_Beta60M,0.10964680556702644,8.0
x_IndRel_DepToCapex,0.10881215542862732,4.0
x_ChgSalesMargin,0.108665119858569,4.0
x_Chg3YOPM,-0.10705130540584268,2.0
x_ChgATO_2,0.104168352946574,2.0
x_IndRel_PM12M1M,-0.10149440912146387,1.0
x_IO_BreadthStabHD,-0.10075678476274064,1.0
x_IndRel_DebtChg1Y,0.09985155617519292,6.0
x_Alpha60M,0.09977540079782346,1.0
x_IO_TO,-0.09965194999077243,1.0
x_PA52WL20DLag,0.09781321034894896,1.0
x_IndRel_PM6M,-0.0976343842463282,1.0
x_calendarquarter,0.0966500801802653,
x_130DMinRtn,-0.0966020960339306,8.0
x_PAdjChg3YSales,0.0953474226576184,2.0
x_Alpha18M6MPChg,-0.09531916935856682,1.0
x_Alpha36M6MPChg,0.09188457710955548,1.0
x_CashEV,-0.09062437304391943,5.0
x_5DVolSig,0.08362315428481443,1.0
x_IndRel_DA,-0.08236030333847993,6.0
x_IndRel_NCAP,0.08114374720273015,5.0
x_IndRel_FwdFCFPC,-0.0804044595060669,5.0
x_PAdjChg3YEPS,-0.07759327761486826,2.0
x_IO_Level_AM,-0.07706524882012918,1.0
x_IndRel_LTDA,-0.06924544171448821,6.0
x_IO_Foreign,-0.06870851352936999,1.0
x_IO_NAT,-0.06784081897044784,1.0
x_60MAVGTTMROE,0.06653014152351044,6.0
x_FCFEqt,-0.06466778343404811,5.0
x_IndRel_PM1M,-0.06461948262966127,1.0
x_ChgSalestoChgEPS,-0.06115153530356371,4.0
x_IndRel_PAdjChg1YEPS,-0.06086778759791854,2.0
x_IndRel_CFROIC,-0.06084696651131277,6.0
x_IO_ChgofIO_HF,0.05900345205480432,1.0
x_IndRel_FCFEqt,-0.05855027487168113,5.0
x_ShareChg,-0.0584658982923833,6.0
x_IndRel_CashAst,-0.05536465978284266,5.0
x_PAdjChg1YSales,-0.05361911482355658,2.0
x_RONA,0.05339270458848623,5.0
x_IndRel_CashP,0.05297470315449586,5.0
x_24MResRtnVar,-0.049982228327069445,1.0
x_PAdjChg1YEPS,0.0499620369250052,2.0
x_SEV,0.047777708928476326,5.0
x_IndRel_FCFP,0.0459930234381246,5.0
x_SUEC,0.042683809499053926,3.0
x_UnexpectedRecChg,-0.03788027343594082,4.0
x_Alpha12M6MPChg,-0.037742463182673484,1.0
x_SalesAcc,0.03738306964488369,2.0
x_DepToCapex,-0.0341078494846043,4.0
x_CVVolPrc60D,-0.03380007960000947,1.0
x_HL1M,-0.03333863763222994,1.0
x_IndRel_ShareChg,0.03320024984886161,6.0
x_IO_StabofChgHD,-0.02905558586893471,1.0
x_52WSlope,0.028142856411873675,1.0
x_DivToCF,-0.026825209138716066,5.0
x_IndRel_MaxRetPayoff,-0.025748648119316098,1.0
