feature,importance,feature_category
x_SUEC,4.615220256295614,3.0
x_calendarquarter,2.225240030190215,
x_CashAst,2.2229965946960437,5.0
x_BP,2.1455803104553155,5.0
x_CapExToAst,1.8876430052755628,6.0
x_PAdjChg1YEPS,1.668563145815246,2.0
x_LTDA,1.3542454874926833,6.0
x_AdjRevMagC,1.2923331274306027,3.0
x_PTIToNOA,1.262118289816723,4.0
x_AdjEPSNumRevFY1C,1.235742563467451,3.0
x_AdjEPSNumRevFY2C,1.2263767811393727,3.0
x_ConsQPosChgTTMEPS,1.2013466997972564,2.0
x_RONA,1.1781185569902173,5.0
x_EPSStab,1.1548768553111528,2.0
x_STO_6M,1.0971028725448009,1.0
x_STO,1.0288342535228343,1.0
x_RevEstDisp,0.9931233999610607,3.0
x_AdjEBITP,0.9923351279691678,5.0
x_AdjRev3MFY1C,0.9850268413270179,3.0
x_RevMagFY1C,0.9666008203006031,3.0
x_IndRel_TotalAccruals,0.9228520403672552,4.0
x_SharpeRatio,0.8731471212251148,1.0
x_Alpha60M,0.8673133317271086,1.0
x_EPSNumRevFY1C,0.8635489852178294,3.0
x_AssetTurn_2,0.8357415420377549,4.0
x_IndRel_CashP,0.8356919556585956,5.0
x_IndRel_CashEV,0.8054254955565366,5.0
x_InvToAst,0.7908357069130033,4.0
x_SalesAcc,0.7835090401170789,2.0
x_ShareChg,0.7826019799582635,6.0
x_IndRel_FwdFCFPC,0.7662331005629517,5.0
x_CapAcqRatio,0.76258889127738,6.0
x_IndRel_CashAst,0.7565356078132651,5.0
x_AnnVol1M,0.7424661212783534,8.0
x_TobinQ,0.6937129157936868,6.0
x_SEV,0.6890229584374123,5.0
x_IndRel_LTDE,0.6690305295869765,6.0
x_CFP,0.6654466327090709,5.0
x_BVEV,0.664730521487844,5.0
x_IndRel_PM12M1M,0.6581527913944574,1.0
x_CashCycle,0.6496641152484248,4.0
x_InvToAsset,0.639477681722529,4.0
x_IndRel_MaxRetPayoff,0.6351318169306597,1.0
x_OCFAst_2,0.6294108962765015,4.0
x_DivToCF,0.6250648301582338,5.0
x_AdjFwdFCFPC,0.6185968551391388,5.0
x_ChgATO_2,0.6124719248962447,2.0
x_CashBurn,0.5781205843169285,4.0
x_4To52WPrcOsc,0.5663452921500015,1.0
x_PrcTo260DL,0.5642937619237405,1.0
x_PAdjChg3YEPS,0.5608388475318725,2.0
x_EBITEstDisp,0.5535793921243641,3.0
x_IndRel_AstP,0.5481748254564358,5.0
x_RecTurn,0.5474466233331565,6.0
x_Adj50DVolSig,0.5468395016843297,8.0
x_CVVolPrc20D,0.5419585706472566,1.0
x_CashP,0.5365132412069056,5.0
x_IndRel_NCAP,0.5338574584928867,5.0
x_IndRel_SP,0.5275913691472213,5.0
x_PA52WL20DLag,0.5244497546720942,1.0
x_IO_ChgofIO_AM,0.5099683208493281,1.0
x_REToAst_2,0.5000978265661707,4.0
x_HL52W,0.4996452906744643,1.0
x_LogAssets,0.49942391976163425,7.0
x_PSlopeSERR_26W,0.4890952493485984,1.0
x_RskAdjRS,0.4883686251877247,1.0
x_IndRel_SEV,0.4811331638425041,5.0
x_ROA_2,0.4732425249811889,6.0
x_AdjFwdEPC,0.46389238932117227,5.0
x_IndRel_EBITDAP,0.45106459823735684,5.0
x_IO_NAT,0.45076716262391076,1.0
x_CashAdjEV,0.4503336406260206,5.0
x_IO_BreadthStabHD,0.4495047878625769,1.0
x_Chg1YTurnover,0.44720253324098824,1.0
x_IO_Level,0.44582829520815614,1.0
x_Chg1YOPM,0.444906308321843,2.0
x_PrcTo52WH,0.4440241160409089,1.0
x_5DMoneyFlowVol,0.4418645900806832,1.0
x_PM6M,0.4391956925601936,1.0
x_DepToCapex,0.4350180560239131,4.0
x_IndRel_TobinQ,0.4348319694391659,6.0
x_LogTTMSales,0.4314198210443081,7.0
x_IndRel_GPMargin,0.4311445373670913,4.0
x_Beta60M,0.4150936072522332,8.0
x_IndRel_SolvencyRatio,0.4137550358575881,5.0
x_EPSEstDispFY2C,0.4135272229141339,3.0
x_PAdjChg1YSales,0.41158926480244623,2.0
x_EPSEstDispFY1C,0.4030549713821276,3.0
x_IndRel_PAdjChg1YEPS,0.3932467550765043,2.0
x_IndRel_FwdEPC,0.39171777381846495,5.0
x_IndRel_OEP,0.3898384748671335,5.0
x_PM1M,0.3885903702920438,1.0
x_AstAdjChg1YCF,0.38734379815676473,2.0
x_IndRel_InvToAsset,0.3815553301864191,4.0
x_IndRel_OEA,0.38139543087704486,4.0
x_IndRel_AssetTurn,0.3797427592207193,4.0
x_IndRel_CapExToAst,0.3791035365495699,6.0
x_IndRel_LTDA,0.37279934438977563,6.0
x_IndRel_EPSSurpC,0.3725879268759142,3.0
x_IO_Concentration,0.3676605584745411,1.0
x_52WSlope,0.36563148403848966,1.0
x_IO_StabofChgHD,0.3640193684771963,1.0
x_IndRel_EPSEstDispFY1C,0.362278897856818,3.0
x_IO_BreadthStabBY,0.358188419597423,1.0
x_IndRel_CashCycle,0.35711760706545753,4.0
x_IndRel_PTIP,0.34833050157000334,5.0
x_IndRel_CFP,0.3475558688263079,5.0
x_ChgSalesMargin,0.34035080116662775,4.0
x_IndRel_InvToAst,0.3382682120372752,4.0
x_GPMargin,0.3380989953772513,4.0
x_IndRel_PAdjChg1YSales,0.3354273784482662,2.0
x_IndRel_EPSToSalesChg1Y,0.32937739100513175,4.0
x_AdjEBITDAEV,0.32863499914670835,5.0
x_IndRel_OCFP,0.32808372047665696,5.0
x_IndRel_ShareChg,0.32099680867969693,6.0
x_60MAVGTTMROE,0.320545881647264,6.0
x_Rev3MFY2C,0.31635036769678726,3.0
x_IndRel_ChgSalesMargin,0.3137755287405622,4.0
x_FCFEqt,0.3127592891605996,5.0
x_Chg1YAmihud,0.3113940224231665,8.0
x_EBITMargin,0.30489965721784956,4.0
x_60MAVGTTMROA,0.3019658651809771,6.0
x_WCAccruals,0.30073616738563974,4.0
x_6MChgTgtPrc,0.2979562226751436,3.0
x_IndRel_EP,0.2958454574100769,5.0
x_IndRel_DepToCapex,0.2907952981684937,4.0
x_EPSToOCFChg,0.2904931613408458,4.0
x_AstAdjChg3YEPS,0.2900366939775318,2.0
x_IO_Level_AM,0.2834462559076562,1.0
x_IO_TO,0.28118614864688296,1.0
x_90DCV,0.27456244282020337,8.0
x_ETO,0.27033138910829746,4.0
x_EBITDAEV,0.2635321148403043,5.0
x_CVVolPrc60D,0.26192241199176197,1.0
x_SalesToInvCap,0.2590878397778927,4.0
x_IndRel_FCFP,0.25608056684897845,5.0
x_IndRel_DivP,0.2555275072906082,5.0
x_IndRel_ROIC,0.2542454344098145,6.0
x_MVEToTL,0.25101311082939626,6.0
x_AdjAccruals,0.2508096828108123,4.0
x_IndRel_DA,0.24891444737709378,6.0
x_IndRel_PM5D,0.24825640985043662,1.0
x_UnexpectedRecChg,0.24713955914626592,4.0
x_SalesToEPSChg,0.24638070844068868,4.0
x_CashEV,0.237726478629701,5.0
x_CFIC,0.2327618260629076,4.0
x_IndRel_RecTurn,0.23076157602381436,6.0
x_Chg1YOCF,0.23007208581042257,2.0
x_StdErr180D,0.2276453291017718,1.0
x_CFEV,0.22733165839577055,5.0
x_Chg4QSalesTrend,0.2267538496736891,2.0
x_IndRel_FCFEqt,0.21959425292192095,5.0
x_AnnVol12M,0.2186243149025223,8.0
x_IndRel_CFROIC,0.21110797163402015,6.0
x_ROE,0.20714434705749268,6.0
x_IndRel_PM1M,0.20609450724108072,1.0
x_IndRel_FCFEV,0.20479003161697593,5.0
x_ShortIntRatio,0.20172501863377512,1.0
x_IndRel_AccrualRatioCF,0.19754159590382628,4.0
x_IndRel_SUEC,0.19353277739951422,3.0
x_IndRel_RONA,0.19227736034726164,5.0
x_BuyToSellRecLess3MEMA,0.1907170270750941,3.0
x_DivP,0.18899365138680313,5.0
x_PM5D,0.18776908488800415,1.0
x_IndRel_CFEV,0.18237377000039862,5.0
x_IndRel_Chg1YOPM,0.18087771901669608,2.0
x_6MAvgChg1MRecC,0.17497173020272633,3.0
x_YoYChgDA,0.173946398131779,8.0
x_HL1M,0.17390307796702206,1.0
x_FCFP,0.17319720918378417,5.0
x_AdjChgEPStoSales,0.17219535782936365,4.0
x_IndRel_AdjAccruals,0.1703726801171709,4.0
x_LogUnadjPrice,0.16626650258861805,1.0
x_Chg3YOPM,0.16527014949169608,2.0
x_6MChgTgtPrcGap,0.1625961593638993,3.0
x_IndRel_EBITDAEV,0.16193706754392798,5.0
x_52WVPT20DLag,0.16121215274954837,1.0
x_ROEStab,0.15943068574458732,2.0
x_5DVolSig,0.15467479142202423,1.0
x_IndRel_PTMargin,0.15332862365454042,6.0
x_IO_ChgofNumBY,0.15226389504451762,1.0
x_IO_InvDuration,0.1518162904138341,1.0
x_ChgSalestoChgEPS,0.1510855064763411,4.0
x_PAdjChg3YSales,0.15104042089497083,2.0
x_IndRel_Chg1YOCF,0.14982017174993645,2.0
x_CVVolPrc30D,0.14798339388523277,1.0
x_AccrualRatioBS,0.14509165009753203,4.0
x_IO_ChgofIO_HF,0.14129382368304233,1.0
x_IndRel_OCFEV,0.1391854624843382,5.0
x_FL,0.13754458680140122,6.0
x_14DayRSI,0.13750526042642147,1.0
x_PM9M,0.133863882472198,1.0
x_CQDOHtoSales,0.13356494215840106,2.0
x_ConsQPosChginTTMCF,0.1311083235920273,2.0
x_PAdjChg1YOCF,0.13037944266181337,2.0
x_IndRel_BP,0.12968188981543588,5.0
x_InvToAstChg1Y,0.12658325920772961,4.0
x_Alpha12M6MPChg,0.12351714342206069,1.0
x_6MChgTgtPrcGapEMA,0.12033647173884925,3.0
x_12QTrendTTMEPS,0.1196721240651281,2.0
x_IndRel_ROE,0.11917430178519363,6.0
x_AstGrwth,0.11904716231752474,6.0
x_RelPrStr_12M,0.1190402117872743,1.0
x_Alpha18M6MPChg,0.1188808293900932,1.0
x_130DMinRtn,0.11572290547453716,8.0
x_IndRel_PM6M,0.1141582941016141,1.0
x_Chg1YROA,0.10422428410987808,2.0
x_AstAdjChg1YOCF,0.10334175237196128,2.0
x_Chg1YLTDA,0.1033265658251766,2.0
x_Alpha36M6MPChg,0.10306967856748377,1.0
x_IndRel_WCAccruals,0.10205148122195067,4.0
x_IO_Foreign,0.09829778660266325,1.0
x_DebtChg1Y,0.09148888692617374,6.0
x_AccrualRatioCF,0.09093049105227026,4.0
x_IndRel_AccrualRatioBS,0.08165816031191123,4.0
x_MaxRetPayoff,0.07435792621624995,1.0
x_24MResRtnVar,0.07126220548271861,1.0
x_IndRel_DebtChg1Y,0.0668132953399297,6.0
x_IndRel_ShortIntTrdVol,0.06450002233362986,1.0
x_IndRel_PM9M,0.0558286806566148,1.0
x_AdjSTO_6M,0.05554021114072977,1.0
x_CFAst,0.049129411475474324,4.0
x_AdjAstAdjChg1YFCF,0.045306145620299554,2.0
x_IndRel_ROA,0.03286556094613389,6.0
x_CQDRItoSales,0.01836167906465313,2.0
x_CQPTTMCFtoSales,0.0,2.0
