model,r2,mse,rmse,mae
linear,226.67549471754035,5981.948446969042,45.052895232914246,0.3902970947410598
ridge,2.651296995082623,69.20458417004839,3.743798823685256,0.05008980271219684
lasso,1.6429211092352235e-05,0.36061492655670513,0.03511540892299142,0.030623799435466934
enet,0.00019267652345184388,0.36217126840970126,0.03531559449380624,0.030932725115986156
xgb,0.0037186493493838266,0.39185616810879026,0.04005180799592135,0.036819137533346806
lgbm,0.003998578553099465,0.4138780328565632,0.042279185090044115,0.03784043495276594
catboost,0.0032101090654108465,0.37898905585932546,0.03868807742554467,0.0349817081580429
nn1,0.007160030348348302,0.3768702252083717,0.03775325614488479,0.03849859258643572
nn2,0.008052522954877997,0.4468020618199021,0.044827140834171525,0.04225242392877094
nn3,0.0036355735502913524,0.3586699872366163,0.03596023267346814,0.034923361217723575
