feature,importance,feature_category
x_BP,1.9593568662752305,5.0
x_STO,1.617051733811136,1.0
x_FCFP,-1.564428007864318,5.0
x_CashP,-1.085515298174869,5.0
x_DivP,-0.8992382441926886,5.0
x_CFP,-0.5951418515180168,5.0
x_CashAst,0.47501267111299006,5.0
x_IndRel_SUEC,0.29790311337057296,3.0
x_EPSNumRevFY1C,0.2936315346735387,3.0
x_ConsQPosChgTTMEPS,0.2815182134458373,2.0
x_CapExToAst,-0.252314039971883,6.0
x_AdjFwdFCFPC,0.23733588356636498,5.0
x_LogTTMSales,-0.227068892889876,7.0
x_AssetTurn_2,0.21587788955267395,4.0
x_TobinQ,-0.205618352189414,6.0
x_IndRel_CapExToAst,0.1858469848785027,6.0
x_calendarquarter,0.1830393241375067,
x_CFAst,0.17696212621665575,4.0
x_LogUnadjPrice,0.17061297028374675,1.0
x_PrcTo52WH,0.15604875111606814,1.0
x_CFEV,-0.15481735692445517,5.0
x_ROEStab,0.15307516995039477,2.0
x_EBITDAEV,0.15198185859201868,5.0
x_LogAssets,0.15020470171502998,7.0
x_AnnVol12M,0.14690833518948804,8.0
x_REToAst_2,-0.13953368470085983,4.0
x_4To52WPrcOsc,-0.13512434569685755,1.0
x_YoYChgDA,-0.12849000775690783,8.0
x_STO_6M,-0.12812872913125642,1.0
x_OCFAst_2,0.1245351841876565,4.0
x_IndRel_AssetTurn,-0.12437531230740537,4.0
x_StdErr180D,0.12137724868561534,1.0
x_IndRel_EBITDAP,-0.12119310314421017,5.0
x_LTDA,-0.11670913763643707,6.0
x_PSlopeSERR_26W,-0.11338229416959593,1.0
x_ChgSalestoChgEPS,-0.10945939028110663,4.0
x_90DCV,-0.10931433394946102,8.0
x_ShortIntRatio,-0.106911348869769,1.0
x_IO_InvDuration,0.10686619986217555,1.0
x_AdjChgEPStoSales,0.10300847100525787,4.0
x_IndRel_NCAP,-0.10033287830608452,5.0
x_InvToAst,0.0939451771963739,4.0
x_5DMoneyFlowVol,0.09374382110167401,1.0
x_IndRel_AstP,-0.09308752466193673,5.0
x_IndRel_CFEV,0.09259769076668417,5.0
x_IO_Level,-0.09154124992244819,1.0
x_IO_BreadthStabHD,-0.09079869734144161,1.0
x_IndRel_OCFP,0.09008551372136589,5.0
x_DebtChg1Y,0.08864089312506496,6.0
x_RelPrStr_12M,0.08804872532960267,1.0
x_IndRel_FwdEPC,-0.08759047632542741,5.0
x_IndRel_TobinQ,-0.08183079648987736,6.0
x_MaxRetPayoff,-0.08154013536291459,1.0
x_52WVPT20DLag,-0.07786837175532782,1.0
x_Adj50DVolSig,-0.07372029637896868,8.0
x_IndRel_FCFEV,-0.07321614864026338,5.0
x_IO_NAT,-0.07200662265507743,1.0
x_IndRel_PM12M1M,-0.06965176662667583,1.0
x_CVVolPrc20D,-0.06824396233028146,1.0
x_IO_Level_AM,-0.06469682387330605,1.0
x_IndRel_SP,0.06466581190351123,5.0
x_HL52W,0.063659797624884,1.0
x_RevEstDisp,-0.06324053613118122,3.0
x_AnnVol1M,-0.06059822061101251,8.0
x_6MAvgChg1MRecC,-0.06050696409546484,3.0
x_IndRel_ShortIntTrdVol,0.05985827622741141,1.0
x_AstAdjChg1YCF,0.058456563076248594,2.0
x_IndRel_ROIC,0.05838996863537405,6.0
x_IndRel_FwdFCFPC,-0.05825290897666108,5.0
x_130DMinRtn,-0.05825162996324703,8.0
x_IndRel_PAdjChg1YEPS,-0.05777931486825477,2.0
x_24MResRtnVar,-0.05674905091284671,1.0
x_IndRel_TotalAccruals,0.056036745112435074,4.0
x_IndRel_PM9M,0.05534318858150539,1.0
x_IndRel_AdjAccruals,0.05303655331231469,4.0
x_PM1M,0.052867655211870125,1.0
x_IndRel_EP,0.05177676763659707,5.0
x_IndRel_LTDA,-0.05049347942883547,6.0
x_CVVolPrc60D,-0.04903714056168513,1.0
x_IO_StabofChgHD,0.04871600532497097,1.0
x_IndRel_OCFEV,0.048272624361723866,5.0
x_AdjEPSNumRevFY2C,0.0482130656292217,3.0
x_ConsQPosChginTTMCF,-0.046269054712289606,2.0
