feature,importance,feature_category
x_SUEC,0.02327003,3.0
x_PTIToNOA,0.014899482,4.0
x_AdjRev3MFY1C,0.010225784,3.0
x_4To52WPrcOsc,0.009695947,1.0
x_ConsQPosChgTTMEPS,0.0091238255,2.0
x_AdjRevMagC,0.009033136,3.0
x_PAdjChg1YEPS,0.008983447,2.0
x_RONA,0.008954208,5.0
x_LTDA,0.008531509,6.0
x_SharpeRatio,0.008406721,1.0
x_calendarquarter,0.008337527,
x_BP,0.007943228,5.0
x_CashAst,0.0076021114,5.0
x_CapAcqRatio,0.006935652,6.0
x_CapExToAst,0.006553149,6.0
x_EPSStab,0.0062178364,2.0
x_TobinQ,0.0059562526,6.0
x_AdjEPSNumRevFY1C,0.0059490986,3.0
x_EPSNumRevFY1C,0.0058881706,3.0
x_OCFAst_2,0.0058170916,4.0
x_RevMagFY1C,0.005723664,3.0
x_PM9M,0.005686179,1.0
x_CashAdjEV,0.0056784973,5.0
x_6MChgTgtPrc,0.0055129323,3.0
x_DivP,0.005288084,5.0
x_InvToAst,0.0051978817,4.0
x_PAdjChg3YEPS,0.0051962067,2.0
x_PrcTo260DL,0.0051937546,1.0
x_Alpha60M,0.005067715,1.0
x_AdjEPSNumRevFY2C,0.0050535793,3.0
x_PA52WL20DLag,0.0049933554,1.0
x_AstAdjChg1YCF,0.004977011,2.0
x_AdjEBITP,0.004949226,5.0
x_GPMargin,0.0048153787,4.0
x_IndRel_CashAst,0.0048064603,5.0
x_RecTurn,0.0047579734,6.0
x_AnnVol1M,0.0047265915,8.0
x_PM6M,0.0047173295,1.0
x_PM1M,0.0046976735,1.0
x_EBITDAEV,0.004692964,5.0
x_CashEV,0.0046648188,5.0
x_IndRel_FwdFCFPC,0.004636963,5.0
x_IndRel_LTDE,0.00461191,6.0
x_DivToCF,0.0046098363,5.0
x_FCFEqt,0.004609255,5.0
x_CFP,0.0045905164,5.0
x_EBITMargin,0.00457595,4.0
x_Adj50DVolSig,0.0045605567,8.0
x_IndRel_AstP,0.0045462046,5.0
x_AdjEBITDAEV,0.00454429,5.0
x_IndRel_GPMargin,0.0045419573,4.0
x_CashCycle,0.004541128,4.0
x_CashP,0.0045235152,5.0
x_AdjFwdEPC,0.004480243,5.0
