feature,importance,feature_category
x_EBITEstDisp,6.689127298171949,3.0
x_AdjFwdEPC,5.525509202156264,5.0
x_SUEC,2.8312600699942005,3.0
x_EBITMargin,2.2179182086342153,4.0
x_60MAVGTTMROA,1.941675569307519,6.0
x_EPSEstDispFY2C,1.9186483476307805,3.0
x_EPSEstDispFY1C,1.4202497723491796,3.0
x_AdjRevMagC,1.4035832200605673,3.0
x_RevMagFY1C,1.395236520437948,3.0
x_GPMargin,1.3540507429539577,4.0
x_AdjEBITP,1.348824631928696,5.0
x_PrcTo260DL,1.3115735068146734,1.0
x_AdjEPSNumRevFY1C,1.1610800358257345,3.0
x_InvToAsset,1.1495121487954916,4.0
x_ChgSalestoChgEPS,1.1298331444307894,4.0
x_AdjRev3MFY1C,1.1203772430516692,3.0
x_REToAst_2,1.0741001677731874,4.0
x_PAdjChg3YEPS,1.0195932281166649,2.0
x_AnnVol12M,1.0166905184328363,8.0
x_CapExToAst,1.0144001635490671,6.0
x_IndRel_EPSSurpC,0.9781358743229573,3.0
x_AdjEPSNumRevFY2C,0.9663829879775861,3.0
x_CashEV,0.9369540290133602,5.0
x_calendarquarter,0.9335941610847172,
x_AdjAccruals,0.9102458473121979,4.0
x_AssetTurn_2,0.8791735173480367,4.0
x_PTIToNOA,0.8685497472660743,4.0
x_CashCycle,0.8031150369344305,4.0
x_CFEV,0.7908116988123318,5.0
x_IndRel_CashP,0.7842191077598828,5.0
x_IndRel_TobinQ,0.777119428511828,6.0
x_PAdjChg1YEPS,0.7723935155855225,2.0
x_DepToCapex,0.7390398171741425,4.0
x_Chg4QSalesTrend,0.727706206968537,2.0
x_AdjEBITDAEV,0.7272544535024588,5.0
x_EPSNumRevFY1C,0.7032005820912889,3.0
x_Rev3MFY2C,0.6813088734154937,3.0
x_Chg1YOPM,0.6798084782956604,2.0
x_IO_Concentration,0.6609718068472363,1.0
x_IndRel_PM12M1M,0.6476793837760193,1.0
x_Chg1YAmihud,0.6251908596312703,8.0
x_AdjChgEPStoSales,0.6200544536764212,4.0
x_STO_6M,0.6084366339104733,1.0
x_IndRel_SEV,0.5960021055576387,5.0
x_IndRel_AdjAccruals,0.5800347258497974,4.0
x_InvToAst,0.5749509088538673,4.0
x_RONA,0.5728276146630037,5.0
x_IndRel_TotalAccruals,0.5612548237613738,4.0
x_AdjFwdFCFPC,0.5501736704585299,5.0
x_IndRel_PAdjChg1YSales,0.5408963404559113,2.0
x_BP,0.5357541214134934,5.0
x_ROE,0.529075949400629,6.0
