feature,importance,feature_category
x_EBITEstDisp,245,3.0
x_AdjFwdEPC,194,5.0
x_EPSEstDispFY1C,165,3.0
x_SUEC,149,3.0
x_SalesToEPSChg,149,4.0
x_60MAVGTTMROA,137,6.0
x_EBITMargin,135,4.0
x_EPSEstDispFY2C,126,3.0
x_RevMagFY1C,124,3.0
x_PAdjChg3YEPS,123,2.0
x_ChgSalestoChgEPS,123,4.0
x_AdjAccruals,115,4.0
x_GPMargin,114,4.0
x_REToAst_2,114,4.0
x_Chg1YOPM,113,2.0
x_IndRel_AdjAccruals,113,4.0
x_Chg4QSalesTrend,111,2.0
x_AdjEBITP,110,5.0
x_CashCycle,105,4.0
x_AdjRevMagC,105,3.0
x_12QTrendTTMEPS,105,2.0
x_IndRel_EPSSurpC,96,3.0
x_AnnVol12M,95,8.0
x_IndRel_TobinQ,94,6.0
x_Chg1YAmihud,93,8.0
x_AdjEPSNumRevFY1C,91,3.0
x_AdjChgEPStoSales,90,4.0
x_IndRel_ChgSalesMargin,88,4.0
x_IO_Level_AM,87,1.0
x_60MAVGTTMROE,87,6.0
x_IndRel_CashP,86,5.0
x_AdjRev3MFY1C,86,3.0
x_IO_Concentration,86,1.0
x_RONA,85,5.0
x_EPSNumRevFY1C,84,3.0
x_Chg1YROA,84,2.0
x_AdjFwdFCFPC,83,5.0
x_DepToCapex,82,4.0
x_AdjEPSNumRevFY2C,82,3.0
x_IO_ChgofIO_HF,82,1.0
x_IndRel_SEV,81,5.0
x_AstAdjChg3YEPS,80,2.0
x_Chg3YOPM,80,2.0
x_Chg1YOCF,80,2.0
x_IndRel_FwdFCFPC,80,5.0
x_STO_6M,80,1.0
x_WCAccruals,79,4.0
x_IndRel_FwdEPC,79,5.0
x_PrcTo260DL,79,1.0
x_PM1M,79,1.0
x_InvToAsset,78,4.0
x_AnnVol1M,78,8.0
x_Alpha60M,77,1.0
x_CFEV,77,5.0
x_IO_ChgofIO_AM,77,1.0
x_90DCV,76,8.0
x_IndRel_PM12M1M,75,1.0
x_RevEstDisp,75,3.0
x_IndRel_MaxRetPayoff,75,1.0
x_IndRel_BP,74,5.0
x_IndRel_ShortIntTrdVol,74,1.0
x_ROA_2,74,6.0
x_IndRel_NCAP,74,5.0
x_RecTurn,73,6.0
x_BP,73,5.0
x_ShortIntRatio,73,1.0
x_IndRel_InvToAsset,72,4.0
x_IndRel_CashCycle,71,4.0
x_AdjEBITDAEV,71,5.0
x_SalesAcc,70,2.0
x_IndRel_EPSEstDispFY1C,70,3.0
x_PTIToNOA,70,4.0
x_IndRel_OEA,70,4.0
x_IndRel_ShareChg,69,6.0
x_IndRel_TotalAccruals,69,4.0
x_52WVPT20DLag,69,1.0
x_IndRel_DivP,69,5.0
x_IO_Foreign,68,1.0
x_PAdjChg1YEPS,67,2.0
x_5DMoneyFlowVol,67,1.0
x_IndRel_PM5D,67,1.0
x_PM5D,67,1.0
x_PM6M,67,1.0
x_Beta60M,66,8.0
x_IndRel_OEP,66,5.0
x_IndRel_CashEV,66,5.0
x_CashEV,66,5.0
x_CVVolPrc60D,66,1.0
x_6MChgTgtPrc,66,3.0
x_MaxRetPayoff,65,1.0
x_EPSStab,65,2.0
x_IndRel_CFROIC,65,6.0
x_IndRel_LTDE,65,6.0
x_130DMinRtn,64,8.0
x_IndRel_DepToCapex,64,4.0
x_IndRel_SP,64,5.0
x_IndRel_OCFP,64,5.0
x_IndRel_RecTurn,64,6.0
x_6MAvgChg1MRecC,63,3.0
x_ShareChg,63,6.0
x_Chg1YLTDA,63,2.0
x_Chg1YTurnover,63,1.0
x_ROE,63,6.0
x_IndRel_PTMargin,63,6.0
x_IndRel_Chg1YOPM,63,2.0
x_CashP,63,5.0
x_IndRel_PTIP,63,5.0
x_EPSToOCFChg,62,4.0
x_LogUnadjPrice,62,1.0
x_CVVolPrc20D,62,1.0
x_IndRel_InvToAst,62,4.0
x_ChgSalesMargin,61,4.0
x_IndRel_EBITDAEV,61,5.0
x_STO,61,1.0
x_AssetTurn_2,61,4.0
x_5DVolSig,61,1.0
x_6MChgTgtPrcGapEMA,61,3.0
x_PAdjChg1YSales,61,2.0
x_IndRel_OCFEV,60,5.0
x_AccrualRatioCF,60,4.0
x_IO_Level,60,1.0
x_IndRel_ROIC,59,6.0
x_IndRel_ROA,59,6.0
x_Alpha36M6MPChg,59,1.0
x_YoYChgDA,59,8.0
x_IndRel_CashAst,59,5.0
