model,r2,mse,rmse,mae
linear,207.9640193877903,1500.017504443546,23.288007505817983,0.19807474382748563
ridge,0.8542889064467861,6.180126157752813,0.8646395768414864,0.02236979254091196
lasso,4.8884281272133956e-05,0.08040112736721952,0.014993718477472944,0.0117500862551313
enet,4.8884281272133956e-05,0.08040112736721952,0.014993718477472944,0.0117500862551313
xgb,0.00688268816858509,0.057596746804763316,0.012012111372334548,0.010329905439325453
lgbm,0.0066894157169519715,0.045797453588415186,0.009517585009746726,0.00896714633558045
catboost,0.005928663765851943,0.0429908763315402,0.008894946748308555,0.009002347844563895
nn1,0.1726448034576227,1.2633411665755874,0.22392273821218658,0.02534618493396165
nn2,0.006408557861995588,0.06930943517181547,0.01381182645426682,0.015565014110755247
nn3,0.0035653731306994774,0.06308829466278211,0.012407048968675059,0.008201660127659603
