feature,importance,feature_category
x_RevEstDisp,630,3.0
x_SUEC,148,3.0
x_SalesAcc,145,2.0
x_EPSNumRevFY1C,140,3.0
x_RecTurn,135,6.0
x_Chg4QSalesTrend,134,2.0
x_CashAst,134,5.0
x_ShortIntRatio,126,1.0
x_GPMargin,123,4.0
x_UnexpectedRecChg,123,4.0
x_CashCycle,112,4.0
x_LogTTMSales,110,7.0
x_IndRel_RONA,106,5.0
x_IndRel_SP,105,5.0
x_ChgSalesMargin,105,4.0
x_IndRel_InvToAsset,102,4.0
x_IndRel_PM1M,101,1.0
x_PrcTo260DL,100,1.0
x_AdjFwdEPC,100,5.0
x_InvToAsset,97,4.0
x_IndRel_MaxRetPayoff,96,1.0
x_IndRel_InvToAst,96,4.0
x_CapAcqRatio,94,6.0
x_IndRel_PAdjChg1YSales,93,2.0
x_IO_InvDuration,91,1.0
x_IndRel_CashAst,90,5.0
x_EBITEstDisp,90,3.0
x_IndRel_PTIP,88,5.0
x_AdjEPSNumRevFY1C,87,3.0
x_STO_6M,86,1.0
x_WCAccruals,85,4.0
x_AdjAccruals,85,4.0
x_IO_Foreign,85,1.0
x_IndRel_EPSSurpC,85,3.0
x_52WVPT20DLag,84,1.0
x_EBITDAEV,84,5.0
x_CVVolPrc30D,83,1.0
x_LogAssets,83,7.0
x_IndRel_PM9M,82,1.0
x_TobinQ,81,6.0
x_IndRel_TobinQ,80,6.0
x_IO_Level_AM,80,1.0
x_IndRel_CFROIC,79,6.0
x_AnnVol12M,79,8.0
x_IndRel_PAdjChg1YEPS,79,2.0
x_IO_ChgofNumBY,78,1.0
x_PM5D,78,1.0
x_IndRel_RecTurn,77,6.0
x_IndRel_EPSToSalesChg1Y,77,4.0
x_IndRel_SUEC,77,3.0
x_IndRel_PM12M1M,77,1.0
x_RevMagFY1C,76,3.0
x_130DMinRtn,76,8.0
x_IndRel_DebtChg1Y,76,6.0
x_Beta60M,75,8.0
x_IndRel_SEV,75,5.0
x_DepToCapex,75,4.0
x_ChgATO_2,74,2.0
x_LogUnadjPrice,74,1.0
x_60MAVGTTMROE,74,6.0
x_InvToAst,74,4.0
x_AdjEBITP,74,5.0
x_IndRel_PM6M,74,1.0
x_CVVolPrc20D,73,1.0
x_IndRel_PTMargin,73,6.0
x_BP,73,5.0
x_IndRel_EBITDAEV,72,5.0
x_IndRel_DA,72,6.0
x_IndRel_GPMargin,72,4.0
x_IO_Level,72,1.0
x_Chg1YOPM,71,2.0
x_REToAst_2,71,4.0
x_IndRel_TotalAccruals,71,4.0
x_IndRel_SolvencyRatio,70,5.0
x_IndRel_CashCycle,70,4.0
x_PM6M,70,1.0
x_IndRel_ChgSalesMargin,70,4.0
x_6MChgTgtPrcGapEMA,69,3.0
x_PAdjChg3YSales,69,2.0
x_AstGrwth,69,6.0
x_IndRel_DepToCapex,69,4.0
x_IndRel_ROA,69,6.0
x_SharpeRatio,68,1.0
x_6MAvgChg1MRecC,67,3.0
x_IndRel_BP,66,5.0
x_IndRel_CapExToAst,66,6.0
x_AssetTurn_2,66,4.0
x_6MChgTgtPrc,66,3.0
x_Alpha60M,66,1.0
x_IO_ChgofIO_HF,66,1.0
x_IndRel_FwdFCFPC,65,5.0
x_AdjFwdFCFPC,65,5.0
x_IndRel_OCFP,65,5.0
x_IndRel_OEP,65,5.0
x_EPSEstDispFY1C,65,3.0
x_IndRel_ShareChg,64,6.0
x_IndRel_NCAP,64,5.0
x_ETO,63,4.0
x_Chg1YLTDA,63,2.0
x_60MAVGTTMROA,63,6.0
x_IndRel_CashP,63,5.0
x_IndRel_OEA,63,4.0
x_IndRel_AstP,63,5.0
x_CapExToAst,62,6.0
x_EPSEstDispFY2C,62,3.0
x_AdjRevMagC,62,3.0
x_EPSStab,62,2.0
x_IndRel_ROE,62,6.0
x_SalesToInvCap,62,4.0
x_Chg1YTurnover,62,1.0
x_IndRel_FwdEPC,61,5.0
x_IndRel_DivP,61,5.0
x_5DVolSig,60,1.0
x_IO_ChgofIO_AM,60,1.0
x_ROEStab,60,2.0
x_14DayRSI,60,1.0
x_MVEToTL,60,6.0
x_IndRel_PM5D,60,1.0
x_IndRel_EPSEstDispFY1C,60,3.0
x_PAdjChg3YEPS,60,2.0
x_Alpha18M6MPChg,60,1.0
x_IndRel_CashEV,60,5.0
x_IO_Concentration,59,1.0
x_IndRel_ROIC,59,6.0
x_IndRel_Chg1YOPM,58,2.0
x_Chg1YAmihud,58,8.0
x_PA52WL20DLag,58,1.0
x_AnnVol1M,57,8.0
x_IndRel_AccrualRatioCF,57,4.0
x_AccrualRatioBS,57,4.0
x_YoYChgDA,57,8.0
x_SEV,57,5.0
x_AdjEBITDAEV,57,5.0
x_PSlopeSERR_26W,56,1.0
x_MaxRetPayoff,56,1.0
x_Alpha36M6MPChg,56,1.0
x_EPSToOCFChg,56,4.0
x_Alpha12M6MPChg,56,1.0
x_IndRel_CFP,56,5.0
x_RskAdjRS,55,1.0
x_FCFP,55,5.0
x_12QTrendTTMEPS,55,2.0
x_IndRel_ShortIntTrdVol,55,1.0
x_AstAdjChg1YOCF,55,2.0
x_Chg1YROA,55,2.0
x_PTIToNOA,54,4.0
x_CVVolPrc60D,54,1.0
x_CashAdjEV,54,5.0
x_6MChgTgtPrcGap,53,3.0
x_IndRel_WCAccruals,53,4.0
x_PrcTo52WH,53,1.0
x_ChgSalestoChgEPS,53,4.0
x_ShareChg,53,6.0
x_AstAdjChg3YEPS,53,2.0
x_Chg3YOPM,52,2.0
x_IndRel_FCFP,52,5.0
x_IndRel_FCFEqt,51,5.0
x_IO_BreadthStabHD,51,1.0
x_BuyToSellRecLess3MEMA,51,3.0
x_InvToAstChg1Y,51,4.0
x_IndRel_LTDA,51,6.0
x_IO_NAT,50,1.0
x_IndRel_EBITDAP,49,5.0
x_IndRel_AccrualRatioBS,49,4.0
x_AdjEPSNumRevFY2C,49,3.0
x_PAdjChg1YSales,49,2.0
x_52WSlope,49,1.0
x_HL52W,48,1.0
x_IndRel_FCFEV,48,5.0
x_IndRel_AdjAccruals,48,4.0
x_IndRel_LTDE,48,6.0
x_4To52WPrcOsc,47,1.0
x_BVEV,47,5.0
x_LTDA,47,6.0
x_IndRel_Chg1YOCF,46,2.0
x_5DMoneyFlowVol,46,1.0
x_IndRel_EP,46,5.0
x_Chg1YOCF,46,2.0
x_24MResRtnVar,46,1.0
