model,r2,mse,rmse,mae
linear,2.504562664799096,87.73737917579176,3.6631780223777186,0.04056749550850231
ridge,0.48508684812897906,17.114138131418674,1.0300600903263877,0.02235872497436713
lasso,7.622179628852178e-05,0.26651396613011996,0.022564501037418364,0.024188846202218246
enet,0.00018943353573388957,0.2652736416340213,0.022478812828610393,0.024213154443179823
xgb,0.006459235750706609,0.45349748036894383,0.040965144178855425,0.028080633156712182
lgbm,0.008995238964051536,0.5344349837237868,0.04803519882679379,0.03476377393428418
catboost,0.006744299177459664,0.46631477328412113,0.04164925518158049,0.03289816722412506
nn1,0.025731456686912253,0.9990081643029946,0.08499408228099485,0.026944181652982162
nn2,0.011188242025273343,0.5535087554912314,0.047790682615875754,0.029456785927324508
nn3,0.0058077937889836045,0.37116358114525205,0.03203627231629814,0.02296865236026637
