feature,importance,feature_category
x_RevEstDisp,814,3.0
x_Chg4QSalesTrend,219,2.0
x_ChgSalesMargin,190,4.0
x_SalesAcc,155,2.0
x_LogTTMSales,148,7.0
x_CashCycle,140,4.0
x_UnexpectedRecChg,135,4.0
x_PAdjChg1YSales,121,2.0
x_AdjFwdEPC,118,5.0
x_GPMargin,117,4.0
x_SUEC,114,3.0
x_AnnVol12M,112,8.0
x_CashAst,111,5.0
x_InvToAsset,105,4.0
x_IndRel_InvToAst,105,4.0
x_AssetTurn_2,103,4.0
x_LogUnadjPrice,103,1.0
x_AdjFwdFCFPC,101,5.0
x_STO_6M,100,1.0
x_ChgATO_2,98,2.0
x_DepToCapex,98,4.0
x_CapExToAst,96,6.0
x_IndRel_MaxRetPayoff,93,1.0
x_IndRel_SolvencyRatio,91,5.0
x_IndRel_SEV,86,5.0
x_IndRel_TotalAccruals,85,4.0
x_ShortIntRatio,85,1.0
x_Chg1YOPM,85,2.0
x_AdjChgEPStoSales,85,4.0
x_EBITMargin,83,4.0
x_PA52WL20DLag,82,1.0
x_IndRel_SP,82,5.0
x_IndRel_PAdjChg1YSales,81,2.0
x_MaxRetPayoff,81,1.0
x_IndRel_CapExToAst,81,6.0
x_IndRel_ShortIntTrdVol,81,1.0
x_IndRel_EPSSurpC,80,3.0
x_Beta60M,80,8.0
x_EBITEstDisp,79,3.0
x_AstAdjChg1YOCF,78,2.0
x_IO_Level_AM,78,1.0
x_CapAcqRatio,77,6.0
x_EPSEstDispFY2C,77,3.0
x_IndRel_LTDE,77,6.0
x_IndRel_PM12M1M,76,1.0
x_IndRel_CashAst,76,5.0
x_IndRel_CFROIC,76,6.0
x_IO_Level,75,1.0
x_IO_InvDuration,75,1.0
x_DivP,74,5.0
x_IndRel_PAdjChg1YEPS,74,2.0
x_Chg1YROA,74,2.0
x_IO_Foreign,73,1.0
x_AstGrwth,73,6.0
x_IndRel_PM9M,73,1.0
x_IndRel_FwdEPC,73,5.0
x_AnnVol1M,72,8.0
x_Alpha60M,72,1.0
x_IndRel_DivP,72,5.0
x_PAdjChg1YEPS,71,2.0
x_IndRel_CashCycle,71,4.0
x_TobinQ,70,6.0
x_IndRel_PM6M,70,1.0
x_IndRel_NCAP,70,5.0
x_IndRel_EPSToSalesChg1Y,70,4.0
x_PM1M,70,1.0
x_IndRel_ShareChg,70,6.0
x_IndRel_FwdFCFPC,69,5.0
