feature,importance,feature_category
x_LogUnadjPrice,0.3330051306795916,1.0
x_RevEstDisp,-0.32479734065936106,3.0
x_LogTTMSales,-0.31099043103302637,7.0
x_AnnVol12M,0.28471638029920227,8.0
x_EPSNumRevFY1C,0.2765385516245251,3.0
x_CashAst,0.25606226777953384,5.0
x_PrcTo52WH,0.25477948968477326,1.0
x_ConsQPosChgTTMEPS,-0.22740304608587336,2.0
x_4To52WPrcOsc,-0.22610424099180065,1.0
x_PM9M,0.2218374362022991,1.0
x_CapExToAst,-0.21614774306803025,6.0
x_IO_BreadthStabHD,-0.18342068728807065,1.0
x_IndRel_AssetTurn,0.18039917595190832,4.0
x_AssetTurn_2,-0.1774094500506483,4.0
x_MaxRetPayoff,-0.15532797399590714,1.0
x_CQPTTMCFtoSales,-0.1511546446185333,2.0
x_AdjChgEPStoSales,0.14947358947817452,4.0
x_ROA_2,-0.14772596335619506,6.0
x_Chg1YROA,0.1455623550592285,2.0
x_LogAssets,0.14291896902423862,7.0
x_IndRel_CapExToAst,0.1373537980051114,6.0
x_StdErr180D,0.13264939297998102,1.0
x_OCFAst_2,0.12706088861274023,4.0
x_ChgSalesMargin,-0.12635539737521478,4.0
x_InvToAst,0.12261060351764697,4.0
x_ConsQPosChginTTMCF,0.12243908946576003,2.0
x_IndRel_EP,0.12229901695375772,5.0
x_IO_Concentration,0.12085301102182529,1.0
x_IndRel_InvToAst,0.12035345624196714,4.0
x_PM5D,0.11383681435059807,1.0
x_CVVolPrc20D,-0.11145699096331114,1.0
x_IndRel_PM1M,0.099200124407061,1.0
x_IndRel_ChgSalesMargin,0.09664678825972817,4.0
x_Chg1YLTDA,-0.09655283974790663,2.0
x_CFEV,0.09444484858957033,5.0
x_EPSStab,0.09415552776438114,2.0
x_GPMargin,0.0917687779020341,4.0
x_IndRel_LTDA,-0.09160719015222694,6.0
x_IndRel_RecTurn,-0.08961602345567182,6.0
x_EBITMargin,-0.08938273874806647,4.0
x_ShortIntRatio,-0.08910958472039063,1.0
x_IndRel_PM12M1M,-0.0881190794436803,1.0
x_90DCV,0.08794365846853114,8.0
x_IndRel_EPSEstDispFY1C,0.08704874332741772,3.0
x_IndRel_FwdFCFPC,-0.0859559105316581,5.0
x_SUEC,0.08373885689171287,3.0
x_AstAdjChg1YCF,-0.08296921966895418,2.0
x_IndRel_DA,0.08118907142758,6.0
x_IndRel_PM6M,-0.08085574446643527,1.0
x_IndRel_RONA,-0.07959878978733925,5.0
x_IndRel_BP,-0.07944085913441508,5.0
x_IndRel_InvToAsset,0.07928130451832871,4.0
x_ROE,0.07925193468144728,6.0
x_IndRel_PAdjChg1YEPS,-0.07906323388855682,2.0
x_IndRel_EBITDAEV,0.07870435644740685,5.0
x_IndRel_PTIP,-0.07470040471722034,5.0
x_AnnVol1M,0.07433761337127258,8.0
x_AdjEPSNumRevFY2C,0.07191034089600729,3.0
x_CQDOHtoSales,0.07178144633379666,2.0
x_AdjSTO_6M,0.07150423905215457,1.0
x_FCFEqt,-0.07142380394244419,5.0
x_RelPrStr_12M,0.07078289840586029,1.0
x_AdjFwdFCFPC,0.06994810399229298,5.0
x_REToAst_2,-0.06956569772454993,4.0
x_IO_Level_AM,-0.06903125305450827,1.0
x_PAdjChg3YEPS,0.0683967542650219,2.0
x_CFAst,-0.06819959231816028,4.0
x_STO,0.06604238054213643,1.0
x_IndRel_SUEC,0.06487860667795209,3.0
x_CFIC,0.06450141799705728,4.0
x_IndRel_PM5D,-0.06354328621952815,1.0
x_MVEToTL,-0.061186707038494895,6.0
x_60MAVGTTMROA,0.059375755335043065,6.0
x_CashBurn,-0.05935767487612854,4.0
x_HL52W,0.056295626643999036,1.0
x_IndRel_AstP,0.05511050301137901,5.0
x_IndRel_GPMargin,-0.05470783105140045,4.0
x_6MAvgChg1MRecC,-0.05406413564829955,3.0
x_IndRel_CashAst,0.0536042176531487,5.0
x_5DVolSig,-0.05135195887484992,1.0
x_IndRel_AccrualRatioCF,0.05134718618482445,4.0
x_IO_Level,0.05124893187842803,1.0
x_CapAcqRatio,0.05102381454015867,6.0
x_CVVolPrc60D,-0.050506909020243664,1.0
x_IndRel_SEV,0.0504358820430864,5.0
x_PM1M,-0.050369517252252374,1.0
x_IndRel_MaxRetPayoff,0.05031621569975526,1.0
x_AdjAstAdjChg1YFCF,-0.04973881894940975,2.0
x_IndRel_ROE,0.04896805313204472,6.0
x_FL,-0.04889124128806721,6.0
x_IndRel_OEP,-0.048189625380481584,5.0
x_BuyToSellRecLess3MEMA,0.047996320987497385,3.0
x_6MChgTgtPrc,0.047714194312275165,3.0
x_IndRel_EBITDAP,-0.04561633213735922,5.0
x_IO_BreadthStabBY,0.04522426542150709,1.0
x_AdjEPSNumRevFY1C,0.0448208017741409,3.0
x_calendarquarter,-0.04463914874153094,
x_IO_ChgofIO_AM,-0.04373908037776797,1.0
x_IndRel_ROIC,-0.043723768520770714,6.0
x_AdjRev3MFY1C,-0.04276568958082221,3.0
x_Adj50DVolSig,0.042756783894657154,8.0
x_STO_6M,0.041122863842989826,1.0
x_IndRel_PM9M,-0.040936184335574013,1.0
x_DepToCapex,0.04080600890410339,4.0
x_IO_Foreign,0.04013382419751353,1.0
x_CFP,0.040058441808636394,5.0
x_SharpeRatio,-0.03957905532079268,1.0
x_Beta60M,0.038843357030065494,8.0
x_IndRel_LTDE,0.037766019284577554,6.0
x_CVVolPrc30D,-0.0375885484820708,1.0
x_130DMinRtn,-0.03734622953453305,8.0
x_IndRel_EPSSurpC,0.03653172484766588,3.0
x_IndRel_OCFP,0.035873219592601056,5.0
x_ETO,0.0353822490752054,4.0
x_IndRel_PTMargin,0.035365692040146474,6.0
x_RevMagFY1C,-0.034785757695079356,3.0
x_UnexpectedRecChg,-0.034358966713515376,4.0
x_IndRel_CFEV,-0.03388647418892263,5.0
x_PM6M,-0.03312262861502975,1.0
x_IndRel_NCAP,-0.03200750185999456,5.0
x_InvToAsset,0.03159885069120851,4.0
x_Chg1YOPM,-0.03159484506490133,2.0
x_IndRel_AccrualRatioBS,0.03156860086361428,4.0
x_DebtChg1Y,0.031312899865846705,6.0
x_ChgATO_2,0.03091692089519476,2.0
x_IndRel_OCFEV,-0.030797125535866075,5.0
x_IO_ChgofIO_HF,0.030585586540077397,1.0
x_PA52WL20DLag,-0.03039335101411908,1.0
x_IndRel_SolvencyRatio,0.03029723701214484,5.0
x_12QTrendTTMEPS,0.03022707607527815,2.0
x_IndRel_FCFP,0.02910278546511227,5.0
x_AdjFwdEPC,-0.028746896138648587,5.0
x_TobinQ,-0.026566255963099535,6.0
x_IO_NAT,-0.026390564558831087,1.0
x_60MAVGTTMROE,-0.026121870705367603,6.0
x_Chg1YAmihud,0.02540698685713022,8.0
x_EPSEstDispFY1C,0.025402464725200215,3.0
x_PSlopeSERR_26W,-0.024651884799371596,1.0
x_AdjEBITP,-0.024584559820005042,5.0
