feature,importance,feature_category
x_LogUnadjPrice,0.3329977674118844,1.0
x_RevEstDisp,-0.32479017978814845,3.0
x_LogTTMSales,-0.31096664801929674,7.0
x_AnnVol12M,0.2846932432145497,8.0
x_EPSNumRevFY1C,0.27653581102175556,3.0
x_CashAst,0.25604967592604244,5.0
x_PrcTo52WH,0.25475906715621427,1.0
x_ConsQPosChgTTMEPS,-0.2273965076260951,2.0
x_4To52WPrcOsc,-0.2261003304777301,1.0
x_PM9M,0.22183446434228898,1.0
x_CapExToAst,-0.21614484083700528,6.0
x_IO_BreadthStabHD,-0.18341810868605682,1.0
x_IndRel_AssetTurn,0.1803898877468001,4.0
x_AssetTurn_2,-0.1774068032274155,4.0
x_MaxRetPayoff,-0.15532167437566907,1.0
x_CQPTTMCFtoSales,-0.1511498004212245,2.0
x_AdjChgEPStoSales,0.1494314536706821,4.0
x_ROA_2,-0.1476162082729969,6.0
x_Chg1YROA,0.14545078234461642,2.0
x_LogAssets,0.14289623042184202,7.0
x_IndRel_CapExToAst,0.13735080164946592,6.0
x_StdErr180D,0.132651648369647,1.0
x_OCFAst_2,0.12705588300249376,4.0
x_ChgSalesMargin,-0.12631198705320157,4.0
x_InvToAst,0.12259986307519885,4.0
x_ConsQPosChginTTMCF,0.12243308941945989,2.0
x_IndRel_EP,0.1222882173292719,5.0
x_IO_Concentration,0.12085284687036289,1.0
x_IndRel_InvToAst,0.12035833579515764,4.0
x_PM5D,0.11383251657472959,1.0
x_CVVolPrc20D,-0.11145583568360222,1.0
x_IndRel_PM1M,0.09919735854631447,1.0
x_IndRel_ChgSalesMargin,0.0966412871330217,4.0
x_Chg1YLTDA,-0.09655017579021671,2.0
x_CFEV,0.09443904140658083,5.0
x_EPSStab,0.09415108385764355,2.0
x_GPMargin,0.09176386061999692,4.0
x_IndRel_LTDA,-0.09159920472868542,6.0
x_IndRel_RecTurn,-0.08961441952066622,6.0
x_EBITMargin,-0.08937864152362117,4.0
x_ShortIntRatio,-0.08910696066414348,1.0
x_IndRel_PM12M1M,-0.08811688946438564,1.0
x_90DCV,0.08793910187893234,8.0
x_IndRel_EPSEstDispFY1C,0.08704819917802128,3.0
x_IndRel_FwdFCFPC,-0.08595417016168432,5.0
x_SUEC,0.08373845981264338,3.0
x_AstAdjChg1YCF,-0.08296283242484527,2.0
x_IndRel_DA,0.081185782823652,6.0
x_IndRel_PM6M,-0.08085526050428236,1.0
x_IndRel_RONA,-0.07959734553345596,5.0
x_IndRel_BP,-0.07943824369751637,5.0
x_IndRel_InvToAsset,0.07928140866739711,4.0
x_ROE,0.07924621799163495,6.0
x_IndRel_PAdjChg1YEPS,-0.07906280744619308,2.0
x_IndRel_EBITDAEV,0.07870019727133087,5.0
x_IndRel_PTIP,-0.07469081791012497,5.0
x_AnnVol1M,0.0743403596574444,8.0
x_AdjEPSNumRevFY2C,0.07191063334566274,3.0
x_CQDOHtoSales,0.07177889613964125,2.0
x_AdjSTO_6M,0.07150389492461591,1.0
x_FCFEqt,-0.07141867697711063,5.0
x_RelPrStr_12M,0.07078445153732137,1.0
x_AdjFwdFCFPC,0.0699400175215144,5.0
x_REToAst_2,-0.06955925900004707,4.0
x_IO_Level_AM,-0.06903049265564803,1.0
x_PAdjChg3YEPS,0.06839157201053989,2.0
x_CFAst,-0.06819534972040103,4.0
x_STO,0.06604087203746108,1.0
x_IndRel_SUEC,0.06487884234506694,3.0
x_CFIC,0.06449981845082958,4.0
x_IndRel_PM5D,-0.06353995210145093,1.0
x_MVEToTL,-0.06118431534284578,6.0
x_60MAVGTTMROA,0.059357502726995415,6.0
x_CashBurn,-0.05935687523355224,4.0
x_HL52W,0.05629414643708743,1.0
x_IndRel_AstP,0.0551073629338293,5.0
x_IndRel_GPMargin,-0.05470623939286519,4.0
x_6MAvgChg1MRecC,-0.054064249684543535,3.0
x_IndRel_CashAst,0.053610544498957274,5.0
x_5DVolSig,-0.05135201889726547,1.0
x_IndRel_AccrualRatioCF,0.051346485037696885,4.0
x_IO_Level,0.05124570228738213,1.0
x_CapAcqRatio,0.05102358999586642,6.0
x_CVVolPrc60D,-0.050506938515379435,1.0
x_IndRel_SEV,0.05043544537322049,5.0
x_PM1M,-0.05036419945998644,1.0
x_IndRel_MaxRetPayoff,0.05031693253364675,1.0
x_AdjAstAdjChg1YFCF,-0.04973351934230606,2.0
x_IndRel_ROE,0.048967856208632546,6.0
x_FL,-0.048890613303598944,6.0
x_IndRel_OEP,-0.04818646832610893,5.0
x_BuyToSellRecLess3MEMA,0.047996596628100394,3.0
x_6MChgTgtPrc,0.047714112725858765,3.0
x_IndRel_EBITDAP,-0.04561654790777429,5.0
x_IO_BreadthStabBY,0.04522116088942681,1.0
x_AdjEPSNumRevFY1C,0.044822546681905676,3.0
x_calendarquarter,-0.04463782048682458,
x_IO_ChgofIO_AM,-0.04373796074986594,1.0
x_IndRel_ROIC,-0.04372214788741055,6.0
x_AdjRev3MFY1C,-0.042764813112388625,3.0
x_Adj50DVolSig,0.04275388135368994,8.0
x_STO_6M,0.04112307259713656,1.0
x_IndRel_PM9M,-0.04093520196878033,1.0
x_DepToCapex,0.040805495076789634,4.0
x_IO_Foreign,0.04013355900864037,1.0
x_CFP,0.04005469478214343,5.0
x_SharpeRatio,-0.03957796446582468,1.0
x_Beta60M,0.03884294101214912,8.0
x_IndRel_LTDE,0.03776556638750938,6.0
x_CVVolPrc30D,-0.037588797046468475,1.0
x_130DMinRtn,-0.03734935461152832,8.0
x_IndRel_EPSSurpC,0.036531447798026556,3.0
x_IndRel_OCFP,0.035872607695993486,5.0
x_ETO,0.03538055206225357,4.0
x_IndRel_PTMargin,0.0353646935513998,6.0
x_RevMagFY1C,-0.03478157519779555,3.0
x_UnexpectedRecChg,-0.034353978158473075,4.0
x_IndRel_CFEV,-0.03388368087326488,5.0
x_PM6M,-0.03311382556942686,1.0
x_IndRel_NCAP,-0.03200877297948983,5.0
x_InvToAsset,0.031598295766447244,4.0
x_Chg1YOPM,-0.031589266882082245,2.0
x_IndRel_AccrualRatioBS,0.03156891335356143,4.0
x_DebtChg1Y,0.03130417454261008,6.0
x_ChgATO_2,0.030916835490622147,2.0
x_IndRel_OCFEV,-0.030795689049017614,5.0
x_IO_ChgofIO_HF,0.030583890037462848,1.0
x_PA52WL20DLag,-0.030392899110878474,1.0
x_IndRel_SolvencyRatio,0.03029759286595969,5.0
x_12QTrendTTMEPS,0.030226799705892496,2.0
x_IndRel_FCFP,0.029102211449207722,5.0
x_AdjFwdEPC,-0.028746846432081724,5.0
x_TobinQ,-0.026565547592798326,6.0
x_IO_NAT,-0.026389184555653044,1.0
x_60MAVGTTMROE,-0.026120405429311076,6.0
x_Chg1YAmihud,0.025401861967207357,8.0
x_EPSEstDispFY1C,0.02539843814456372,3.0
x_PSlopeSERR_26W,-0.02465105210115947,1.0
x_AdjEBITP,-0.024581259942620073,5.0
x_6MChgTgtPrcGap,0.024308943278010413,3.0
x_IndRel_FCFEqt,0.02415235498555611,5.0
x_Alpha60M,-0.024044630952544638,1.0
x_52WVPT20DLag,-0.023806245773767328,1.0
x_EBITDAEV,-0.02344964853784044,5.0
x_52WSlope,0.023350104631067008,1.0
x_IndRel_ShareChg,0.02293889480200123,6.0
x_IndRel_EPSToSalesChg1Y,-0.022055503713603472,4.0
x_RecTurn,0.021920022385755897,6.0
x_IO_TO,0.021805421849033862,1.0
x_InvToAstChg1Y,-0.020407544508697095,4.0
x_Chg4QSalesTrend,-0.01990238747961823,2.0
x_EPSEstDispFY2C,0.019840995714720824,3.0
x_AstGrwth,-0.019807369304965176,6.0
x_AstAdjChg3YEPS,0.019563328246386274,2.0
x_AccrualRatioCF,-0.019536434119239346,4.0
x_RONA,-0.019114326507494422,5.0
x_HL1M,-0.01904899629723482,1.0
x_IndRel_DepToCapex,0.018936088212025602,4.0
x_Alpha36M6MPChg,0.01855486045955826,1.0
x_WCAccruals,0.018285668214469943,4.0
x_IO_InvDuration,0.018279765442041608,1.0
x_ROEStab,0.018158691983054042,2.0
x_24MResRtnVar,0.017412246682617195,1.0
x_DivP,0.017393468125552043,5.0
x_Chg1YTurnover,-0.01725403355644777,1.0
x_PAdjChg1YSales,0.01715846093859957,2.0
x_5DMoneyFlowVol,0.01699832287053287,1.0
x_IndRel_SP,-0.016850241890939963,5.0
x_IndRel_CFP,0.016374557661716575,5.0
x_IndRel_AdjAccruals,0.015833123758518745,4.0
x_AccrualRatioBS,0.01570182808757431,4.0
x_IndRel_TotalAccruals,-0.015261513209702078,4.0
x_IndRel_OEA,0.014958075543440993,4.0
x_IndRel_WCAccruals,0.014911191938333833,4.0
x_RskAdjRS,-0.014269355090255963,1.0
x_IndRel_CashP,-0.013794970255971983,5.0
x_Chg3YOPM,0.01289172737525318,2.0
x_AdjAccruals,-0.012400392993984663,4.0
x_IndRel_CashEV,0.012070612905265525,5.0
x_IndRel_ROA,-0.01180873208399028,6.0
x_IndRel_TobinQ,-0.011688901709447733,6.0
x_SalesAcc,-0.01141314857023018,2.0
x_CQDRItoSales,-0.01131440288814844,2.0
x_YoYChgDA,-0.011218653619243875,8.0
x_IndRel_ShortIntTrdVol,-0.011078200664635373,1.0
x_IndRel_FwdEPC,-0.010867823319694946,5.0
x_Rev3MFY2C,-0.010749624649392824,3.0
x_Alpha18M6MPChg,-0.010567717370551764,1.0
x_DivToCF,-0.010177320010653735,5.0
x_IndRel_Chg1YOPM,-0.009420764211205154,2.0
