feature,importance,feature_category
x_SalesAcc,0.014903757,2.0
x_PM9M,0.013141902,1.0
x_EPSNumRevFY1C,0.010426154,3.0
x_4To52WPrcOsc,0.009383945,1.0
x_6MChgTgtPrc,0.007966025,3.0
x_AdjRev3MFY1C,0.0077443975,3.0
x_CashAst,0.0076106763,5.0
x_ChgSalesMargin,0.007152108,4.0
x_DivP,0.0068955766,5.0
x_AdjEBITDAEV,0.0067909425,5.0
x_SUEC,0.006464294,3.0
x_RevEstDisp,0.0062537338,3.0
x_EBITDAEV,0.0061647967,5.0
x_AnnVol12M,0.006041228,8.0
x_52WSlope,0.0060024494,1.0
x_PrcTo260DL,0.005986096,1.0
x_AdjFwdEPC,0.0058802557,5.0
x_PA52WL20DLag,0.00587561,1.0
x_AdjEBITP,0.005846782,5.0
x_AdjRevMagC,0.005622787,3.0
x_EBITMargin,0.00546541,4.0
x_PAdjChg1YSales,0.0054448666,2.0
x_UnexpectedRecChg,0.005427915,4.0
x_Rev3MFY2C,0.0054116515,3.0
x_TobinQ,0.0053375964,6.0
x_CashAdjEV,0.005327992,5.0
x_PM6M,0.005313691,1.0
x_Chg4QSalesTrend,0.0052562673,2.0
x_IndRel_OEP,0.00524291,5.0
x_GPMargin,0.005225505,4.0
x_AdjEPSNumRevFY1C,0.0052117086,3.0
x_IndRel_EP,0.005199474,5.0
x_CapExToAst,0.0051573566,6.0
x_IndRel_TotalAccruals,0.005155473,4.0
x_HL52W,0.0050808806,1.0
x_CFP,0.005062417,5.0
x_STO_6M,0.0050500934,1.0
x_CapAcqRatio,0.0050499626,6.0
x_LogTTMSales,0.0050125755,7.0
x_PrcTo52WH,0.0049848794,1.0
x_RevMagFY1C,0.0049653095,3.0
x_CashCycle,0.00489862,4.0
x_IndRel_CFP,0.004879245,5.0
x_AdjAccruals,0.0048555085,4.0
x_FCFEqt,0.0048492136,5.0
x_SalesToInvCap,0.004807183,4.0
x_IndRel_PTIP,0.004783034,5.0
x_AstGrwth,0.0047739027,6.0
x_IO_InvDuration,0.004710036,1.0
x_IndRel_InvToAsset,0.004696958,4.0
x_IndRel_InvToAst,0.004690053,4.0
x_IndRel_PM9M,0.004681887,1.0
x_AdjFwdFCFPC,0.004680604,5.0
x_DivToCF,0.004649253,5.0
x_IndRel_CFEV,0.0046278425,5.0
x_IndRel_PM1M,0.0046181837,1.0
x_IndRel_PAdjChg1YEPS,0.004615543,2.0
x_Chg1YROA,0.004611384,2.0
x_IndRel_FCFEqt,0.0045935297,5.0
x_IO_Level_AM,0.00458108,1.0
x_Beta60M,0.004576186,8.0
x_EBITEstDisp,0.004574681,3.0
x_IndRel_SEV,0.004568773,5.0
x_CashP,0.0045687286,5.0
x_MVEToTL,0.004562067,6.0
x_IndRel_CashAst,0.004546617,5.0
x_InvToAst,0.004539277,4.0
x_IndRel_OEA,0.004524538,4.0
x_IndRel_OCFP,0.0045128786,5.0
x_IndRel_PAdjChg1YSales,0.004512782,2.0
x_CFAst,0.0045122076,4.0
x_MaxRetPayoff,0.0045093116,1.0
x_RecTurn,0.0044883625,6.0
x_IndRel_MaxRetPayoff,0.004477098,1.0
x_IndRel_WCAccruals,0.0044757216,4.0
x_EPSEstDispFY2C,0.004467816,3.0
x_InvToAsset,0.004460574,4.0
x_Chg1YOPM,0.004456768,2.0
x_AnnVol1M,0.00445541,8.0
x_YoYChgDA,0.0044500385,8.0
x_ChgATO_2,0.0044435076,2.0
x_IndRel_CFROIC,0.004441963,6.0
x_Chg3YOPM,0.0044202222,2.0
x_130DMinRtn,0.004408983,8.0
x_IndRel_AssetTurn,0.0044025546,4.0
x_IndRel_LTDE,0.004397355,6.0
x_LogUnadjPrice,0.004392351,1.0
x_EPSEstDispFY1C,0.0043806266,3.0
x_CashEV,0.0043727695,5.0
x_14DayRSI,0.004364364,1.0
x_IndRel_ShortIntTrdVol,0.0043582027,1.0
x_IndRel_ChgSalesMargin,0.0043490194,4.0
x_IndRel_PM12M1M,0.0043389695,1.0
x_PAdjChg3YSales,0.0043103616,2.0
x_DepToCapex,0.0043087825,4.0
x_IndRel_ROA,0.0043082507,6.0
x_CFEV,0.0043047336,5.0
x_IndRel_CapExToAst,0.0043025482,6.0
x_IndRel_GPMargin,0.004302275,4.0
x_AdjChgEPStoSales,0.0042928215,4.0
x_Chg1YOCF,0.0042761937,2.0
x_ETO,0.0042750374,4.0
x_BP,0.004273497,5.0
x_IndRel_CashEV,0.0042681536,5.0
x_AssetTurn_2,0.0042664194,4.0
x_LTDA,0.0042644,6.0
x_ShortIntRatio,0.004257552,1.0
x_IO_Level,0.0042550787,1.0
x_IndRel_PM6M,0.0042482456,1.0
x_AdjSTO_6M,0.004229867,1.0
x_IndRel_AstP,0.004229739,5.0
x_IndRel_NCAP,0.0042232135,5.0
x_IndRel_ShareChg,0.004221729,6.0
x_Adj50DVolSig,0.00422078,8.0
x_CashBurn,0.0042119515,4.0
x_RONA,0.0041983067,5.0
x_IndRel_DivP,0.0041951914,5.0
x_AccrualRatioCF,0.0041873185,4.0
x_IndRel_FCFP,0.004179999,5.0
x_IndRel_RONA,0.0041786083,5.0
x_OCFAst_2,0.00417513,4.0
x_InvToAstChg1Y,0.0041704825,4.0
x_IndRel_EBITDAP,0.0041672383,5.0
x_90DCV,0.004163756,8.0
x_LogAssets,0.004163075,7.0
x_AccrualRatioBS,0.0041598785,4.0
x_AdjAstAdjChg1YFCF,0.00415648,2.0
x_Alpha36M6MPChg,0.004154453,1.0
x_calendarquarter,0.004147118,
x_IndRel_EBITDAEV,0.0041394327,5.0
x_AstAdjChg1YOCF,0.0041387444,2.0
x_WCAccruals,0.004136696,4.0
x_IndRel_CashP,0.004135137,5.0
x_CFIC,0.0041328194,4.0
x_IndRel_SP,0.0041281455,5.0
x_Chg1YLTDA,0.0041239723,2.0
x_IndRel_FwdFCFPC,0.004114423,5.0
x_PM1M,0.004110735,1.0
x_IO_Foreign,0.0040937485,1.0
x_IndRel_SolvencyRatio,0.0040665125,5.0
x_PSlopeSERR_26W,0.0040653134,1.0
x_AdjEPSNumRevFY2C,0.004054401,3.0
x_ROE,0.0040543824,6.0
x_IndRel_RecTurn,0.0040304996,6.0
x_IndRel_PTMargin,0.0040217424,6.0
x_Chg1YTurnover,0.004006212,1.0
x_IO_Concentration,0.0040027453,1.0
x_IndRel_CashCycle,0.0040019383,4.0
x_SharpeRatio,0.003997839,1.0
x_52WVPT20DLag,0.00398817,1.0
x_PAdjChg1YOCF,0.0039798617,2.0
x_CVVolPrc60D,0.0039729946,1.0
x_IO_BreadthStabBY,0.0039717923,1.0
x_AstAdjChg3YEPS,0.003967675,2.0
x_IndRel_Chg1YOPM,0.003967051,2.0
x_FL,0.0039651697,6.0
x_6MAvgChg1MRecC,0.003940709,3.0
x_IndRel_BP,0.0039225984,5.0
x_IndRel_DA,0.0039215563,6.0
x_STO,0.0039153146,1.0
x_IndRel_EPSToSalesChg1Y,0.0039111553,4.0
x_IO_BreadthStabHD,0.0038803709,1.0
x_IndRel_OCFEV,0.0038773248,5.0
x_AstAdjChg1YCF,0.0038767548,2.0
x_EPSStab,0.0038668613,2.0
x_IndRel_ROIC,0.0038598676,6.0
x_IndRel_Chg1YOCF,0.0038587982,2.0
x_PAdjChg3YEPS,0.00385283,2.0
x_6MChgTgtPrcGapEMA,0.0038440467,3.0
x_PAdjChg1YEPS,0.003833122,2.0
x_PM5D,0.0038312087,1.0
x_IndRel_FwdEPC,0.003828174,5.0
x_IndRel_TobinQ,0.0037919718,6.0
x_RskAdjRS,0.0037913169,1.0
x_CVVolPrc30D,0.003785181,1.0
x_StdErr180D,0.0037839669,1.0
x_DebtChg1Y,0.003777592,6.0
x_Chg1YAmihud,0.003762523,8.0
x_CVVolPrc20D,0.0037567485,1.0
x_SEV,0.0037210467,5.0
x_ConsQPosChginTTMCF,0.00371189,2.0
x_6MChgTgtPrcGap,0.0037088152,3.0
x_SalesToEPSChg,0.0037062038,4.0
x_CQDOHtoSales,0.003698909,2.0
x_PTIToNOA,0.0036921755,4.0
x_IO_NAT,0.003652948,1.0
x_IndRel_ROE,0.0036518942,6.0
x_12QTrendTTMEPS,0.0036491915,2.0
x_EPSToOCFChg,0.003648211,4.0
x_ChgSalestoChgEPS,0.0036390848,4.0
x_IndRel_AdjAccruals,0.003622523,4.0
x_ROA_2,0.0036152627,6.0
x_5DMoneyFlowVol,0.003614743,1.0
x_ShareChg,0.003614444,6.0
x_IndRel_LTDA,0.0036065197,6.0
x_REToAst_2,0.0036025955,4.0
x_IndRel_FCFEV,0.00358589,5.0
x_Alpha18M6MPChg,0.0035744852,1.0
x_IO_ChgofNumBY,0.0035374814,1.0
x_CQPTTMCFtoSales,0.0035298392,2.0
x_IO_ChgofIO_AM,0.0034844696,1.0
x_IO_ChgofIO_HF,0.0034409636,1.0
x_IndRel_PM5D,0.0034144016,1.0
x_IO_StabofChgHD,0.0034033898,1.0
x_Alpha60M,0.0033915646,1.0
x_ConsQPosChgTTMEPS,0.0033675022,2.0
x_BuyToSellRecLess3MEMA,0.003350681,3.0
x_5DVolSig,0.0033394871,1.0
x_IndRel_EPSSurpC,0.0032900663,3.0
x_24MResRtnVar,0.0031782826,1.0
x_IndRel_EPSEstDispFY1C,0.0031726481,3.0
x_IndRel_SUEC,0.0031596303,3.0
x_IndRel_AccrualRatioBS,0.0030670227,4.0
x_RelPrStr_12M,0.0030625665,1.0
x_HL1M,0.0030526489,1.0
x_CQDRItoSales,0.0030452209,2.0
x_Alpha12M6MPChg,0.0029304707,1.0
x_IndRel_AccrualRatioCF,0.0029298791,4.0
x_IndRel_DepToCapex,0.0028602553,4.0
x_FCFP,0.0028505537,5.0
x_IndRel_DebtChg1Y,0.002752946,6.0
x_ROEStab,0.0022990035,2.0
x_IO_TO,0.0018971829,1.0
x_60MAVGTTMROE,0.0017356725,6.0
x_BVEV,0.0016117032,5.0
x_60MAVGTTMROA,0.0009896185,6.0
