feature,importance_mean,importance_std
x_EBITEstDisp,0.018304083,0.0015799543
x_AdjEBITP,0.015210671,0.0021453626
x_AdjFwdEPC,0.015017152,0.0044128974
x_AdjRevMagC,0.014381804,0.00634419
x_Beta60M,0.013616352,0.008020463
x_PrcTo260DL,0.012045217,0.008436772
x_EBITMargin,0.011574976,0.006328912
x_AstAdjChg1YCF,0.0102503775,0.003879916
x_SUEC,0.008874744,0.0023219716
x_EPSEstDispFY1C,0.008652557,0.0029647867
x_AdjRev3MFY1C,0.008555737,0.0024065021
x_EPSEstDispFY2C,0.008136761,0.00041113514
x_PM1M,0.007998674,0.0031601156
x_AdjEBITDAEV,0.00790181,0.0008665691
x_ROE,0.0077040694,0.0007122266
x_DivToCF,0.0076230955,0.0016835569
x_AnnVol12M,0.0074212467,0.003543256
x_RevMagFY1C,0.0070903758,0.00077255326
x_IndRel_PM9M,0.007019113,0.00195121
x_REToAst_2,0.0068454156,0.0031045268
x_PA52WL20DLag,0.0066549676,0.0034431126
x_AdjEPSNumRevFY1C,0.006643157,0.0010784436
x_InvToAsset,0.0066270763,1.135678e-05
x_LogAssets,0.0065467935,8.948543e-05
x_IndRel_ROE,0.0064857393,0.0019918517
x_CashEV,0.006440227,0.0015955286
x_CFIC,0.00630599,1.2911623e-05
x_Chg1YOPM,0.0062468695,0.0020975491
x_AdjEPSNumRevFY2C,0.006233014,0.0007906663
x_TobinQ,0.0061949324,0.0015095787
x_RONA,0.0061630365,0.0012557157
x_WCAccruals,0.0061053787,0.00038715312
x_CFAst,0.0060672546,0.00021855929
x_StdErr180D,0.0060321162,0.0019164379
x_AdjAccruals,0.005719669,0.00037580705
x_IndRel_BP,0.005665032,0.00034269737
x_ChgSalestoChgEPS,0.005656965,0.0028915824
x_IndRel_EBITDAP,0.005630713,0.0009235528
x_IndRel_PAdjChg1YSales,0.0056217005,0.00058410177
x_IndRel_FCFEV,0.0056105615,0.0012442963
x_AdjChgEPStoSales,0.005590612,0.00015534903
x_IndRel_MaxRetPayoff,0.0055836565,0.0008892799
x_CashP,0.0055753794,0.0004994075
x_AccrualRatioBS,0.0054872613,0.0005434458
x_SalesAcc,0.0054665036,0.00056202523
x_AstGrwth,0.0054595624,0.0018018802
x_CFP,0.0054556,0.00043388922
x_Rev3MFY2C,0.005445581,0.00062344223
x_CapAcqRatio,0.0053492403,0.001133357
x_IndRel_CFEV,0.0052588433,0.0008408113
x_PAdjChg3YSales,0.0052392976,0.00064939074
x_ROA_2,0.005216837,0.00034329877
x_AdjFwdFCFPC,0.005166456,0.00076487334
x_AccrualRatioCF,0.005101712,3.790995e-05
x_PAdjChg3YEPS,0.0051001236,0.00061728875
x_14DayRSI,0.005090593,0.0010525724
x_PM6M,0.0050888546,0.0017307268
x_FCFEqt,0.0050558085,0.00038288836
x_PAdjChg1YEPS,0.0050304634,0.0001511646
x_SalesToEPSChg,0.0050108186,0.0019542929
x_PAdjChg1YOCF,0.00497368,0.00064427964
x_EBITDAEV,0.0049229795,0.0007074906
x_IndRel_DA,0.0048885187,0.0007791363
x_IndRel_CashP,0.004868524,0.00069526606
x_SharpeRatio,0.004856047,0.00034400704
x_6MChgTgtPrcGapEMA,0.004840832,0.0012119611
x_IndRel_FCFP,0.0048384564,0.00084767933
x_Chg1YOCF,0.0048352713,0.003563375
x_ConsQPosChgTTMEPS,0.004828914,0.002422071
x_Chg3YOPM,0.0048179193,0.0018553329
x_IndRel_PAdjChg1YEPS,0.0048094457,0.0002505395
x_DepToCapex,0.0048022587,0.00084436964
x_IndRel_ShareChg,0.004798893,0.0006587771
x_InvToAstChg1Y,0.004769714,0.00013136957
x_IndRel_Chg1YOCF,0.0047436506,0.00015118765
x_IndRel_SP,0.0047109714,0.0016499414
x_PAdjChg1YSales,0.004704338,0.000362976
x_IO_ChgofIO_HF,0.0046825623,0.0017608441
x_130DMinRtn,0.0046275053,0.0013493372
x_OCFAst_2,0.004617777,0.00073314935
x_6MAvgChg1MRecC,0.004617484,0.00063649286
