feature,importance_mean,importance_std
x_RevEstDisp,8.907831893814663,0.610550088921765
x_Beta60M,1.2214022759203635,0.5979542943172851
x_CashAst,1.06702188431294,0.2570050964045368
x_ChgATO_2,1.0574451295541338,0.5004397165487393
x_SUEC,1.018125577155361,0.02244169092018744
x_LogTTMSales,0.9279501333248132,0.2159161536525911
x_EPSNumRevFY1C,0.9104031753742626,0.3292930241995501
x_AdjEBITP,0.8885638678848518,0.47676579111949646
x_DepToCapex,0.8755532851701568,0.48621818077014134
x_EBITDAEV,0.8619158384057717,0.10723388559442265
x_6MChgTgtPrc,0.8327792419301627,0.08525380904581137
x_AdjRevMagC,0.8225714862369351,0.2136787620314224
x_CFP,0.8216127215834528,0.07302198822599532
x_SalesAcc,0.7978325206769092,0.2025476931420176
x_EPSEstDispFY2C,0.786974265555161,0.3539716606144194
x_IO_Level_AM,0.7546730375227156,0.07713751138404767
x_InvToAstChg1Y,0.750702924880553,0.2660197299489278
x_AdjRev3MFY1C,0.7476604350184954,0.09670076434887054
x_PM9M,0.7406672203835556,0.0684131160279125
x_AccrualRatioCF,0.7356036062522453,0.002966245620680541
x_CapAcqRatio,0.7337834275914215,0.4292319055519276
x_WCAccruals,0.726509266117709,0.28627461099522794
x_IndRel_ShortIntTrdVol,0.7197546983411782,0.09226308742754002
x_Rev3MFY2C,0.7123950278928075,0.012242165936834082
x_Chg1YAmihud,0.6608120380474665,0.029924640550161474
x_PrcTo260DL,0.6458688285053843,0.18261911728528002
x_IndRel_EPSSurpC,0.6439488989565401,0.209470450976131
x_BuyToSellRecLess3MEMA,0.6420422109038455,0.1568940787924315
x_AstGrwth,0.6390551947443002,0.17859904939256024
x_CashEV,0.6268629021370523,0.16883827166120693
x_IndRel_SUEC,0.6233911407832349,0.029345142060548002
x_PM6M,0.6104861033192308,0.03517048276128942
x_RskAdjRS,0.6101000238326743,0.036156635037180695
x_6MAvgChg1MRecC,0.6079913555874203,0.009328265680920766
x_LogAssets,0.6077294939381628,0.03663943655325741
x_14DayRSI,0.6065085021590582,0.0022211041011717114
x_RecTurn,0.6008453832740579,0.01889430202953296
x_IndRel_PM5D,0.5836721741692292,0.22605419268478813
x_AdjFwdEPC,0.5832931895569846,0.23620861717429772
x_StdErr180D,0.5781560481523097,0.20573569243686318
x_Chg4QSalesTrend,0.5713220328919503,0.13301302721032104
x_IndRel_SP,0.56893527900101,0.2662079112645034
x_IndRel_CashEV,0.5647031272546889,0.23517173593302257
x_IndRel_Chg1YOCF,0.559592912167471,0.2668686946419511
x_IndRel_AccrualRatioBS,0.547849115619781,0.33938391234329673
x_CVVolPrc30D,0.547505043084836,0.30397336040500544
x_AdjEPSNumRevFY2C,0.5391992158302439,0.07630430430358745
x_Chg1YTurnover,0.5329054862182426,0.041862698715105506
x_LTDA,0.5319694630712245,0.009583169902476318
x_ETO,0.5232476333716387,0.2571397419371002
x_IO_ChgofNumBY,0.51797939309331,0.01569135430704749
x_GPMargin,0.5170045513048567,0.11801142883364785
x_CashCycle,0.516552732082621,0.14841192269089
x_IndRel_RecTurn,0.5053657867382872,0.005218050793677154
x_Alpha18M6MPChg,0.4988031177916853,0.2739861106387089
x_Adj50DVolSig,0.49810875474755956,0.193916112328656
x_EPSStab,0.49300501889339465,0.05922870274801531
x_IndRel_BP,0.49167165909084126,0.22735378127404698
x_IndRel_FCFEV,0.4914654039452341,0.05693445778949993
x_CVVolPrc60D,0.4901142960409292,0.07649784062683301
x_CVVolPrc20D,0.4880337482277953,0.10428771316712879
x_IndRel_RONA,0.48337661114754826,0.15238902434509294
x_UnexpectedRecChg,0.48328877489386635,0.25902016328664224
x_IndRel_Chg1YOPM,0.4810624950120078,0.2989282778458225
x_IndRel_DivP,0.48026118049267175,0.22691464914084758
x_6MChgTgtPrcGapEMA,0.4767629269737036,0.2144427204451896
x_IndRel_DepToCapex,0.47600403929301915,0.08165146752420382
x_Alpha36M6MPChg,0.4733286481439524,0.12553483292450113
x_IndRel_FwdEPC,0.471234000174976,0.07783797822266275
x_IndRel_MaxRetPayoff,0.47100284955906335,0.15386993491555848
x_REToAst_2,0.4643462282330164,0.2341398122179088
x_Chg1YOPM,0.4628142841699986,0.2705017788483358
x_IO_ChgofIO_AM,0.46065548458149685,0.27291569008667127
x_IndRel_EPSToSalesChg1Y,0.4591444437630704,0.06726892368300164
x_IndRel_PAdjChg1YEPS,0.45858061005520573,0.16904156327033143
x_RevMagFY1C,0.45534928132038954,0.07773690751537701
x_IndRel_InvToAsset,0.4547624890745061,0.2251270514032552
x_IndRel_InvToAst,0.45211342741443394,0.2637678856435528
