feature,importance_mean,importance_std
x_SUEC,150.0,5.0
x_EBITEstDisp,141.0,10.0
x_Chg1YTurnover,136.0,14.0
x_5DMoneyFlowVol,132.0,2.0
x_IO_ChgofIO_HF,122.5,1.5
x_EPSEstDispFY1C,120.5,5.5
x_IO_ChgofNumBY,119.0,8.0
x_IndRel_ShortIntTrdVol,113.5,16.5
x_6MAvgChg1MRecC,107.0,19.0
x_IndRel_SUEC,107.0,3.0
x_RskAdjRS,106.0,28.0
x_Alpha36M6MPChg,106.0,1.0
x_5DVolSig,104.5,12.5
x_ChgSalestoChgEPS,104.0,12.0
x_Alpha12M6MPChg,103.5,17.5
x_EPSNumRevFY1C,103.0,6.0
x_ROEStab,101.5,11.5
x_Chg1YAmihud,101.0,6.0
x_IO_ChgofIO_AM,100.5,5.5
x_Alpha18M6MPChg,99.0,0.0
x_RevEstDisp,99.0,2.0
x_HL1M,99.0,1.0
x_IndRel_DepToCapex,95.0,1.0
x_BuyToSellRecLess3MEMA,93.5,0.5
x_EPSStab,93.5,11.5
x_SalesToEPSChg,93.0,11.0
x_Adj50DVolSig,93.0,9.0
x_IO_StabofChgHD,92.0,22.0
x_PSlopeSERR_26W,91.5,21.5
x_CVVolPrc60D,91.0,3.0
x_IO_NAT,90.5,30.5
x_IO_BreadthStabBY,89.0,31.0
x_6MChgTgtPrcGap,89.0,20.0
x_IndRel_RONA,89.0,6.0
x_EPSEstDispFY2C,88.5,12.5
x_IO_BreadthStabHD,88.0,5.0
x_130DMinRtn,88.0,3.0
x_Chg1YLTDA,87.5,4.5
x_Chg1YOPM,87.0,17.0
x_SharpeRatio,86.5,13.5
x_IndRel_PM5D,86.0,0.0
x_STO_6M,86.0,7.0
x_IndRel_EPSEstDispFY1C,85.0,1.0
x_LogUnadjPrice,85.0,4.0
x_14DayRSI,85.0,11.0
x_Chg3YOPM,84.0,24.0
x_6MChgTgtPrcGapEMA,83.5,12.5
x_CVVolPrc20D,83.5,14.5
x_IO_TO,82.5,0.5
x_AdjRevMagC,82.5,8.5
x_60MAVGTTMROE,82.5,3.5
x_IndRel_PM9M,82.0,8.0
x_90DCV,82.0,20.0
x_AstGrwth,81.5,3.5
x_CVVolPrc30D,81.5,9.5
x_AnnVol1M,80.5,26.5
x_EPSToOCFChg,80.0,10.0
x_PM1M,80.0,13.0
x_IndRel_TobinQ,79.0,2.0
x_IndRel_InvToAst,79.0,6.0
x_IO_Foreign,78.5,10.5
x_IO_Concentration,78.5,7.5
x_ShortIntRatio,78.0,4.0
x_IndRel_ChgSalesMargin,77.5,0.5
x_IndRel_ROIC,77.0,2.0
x_PM5D,77.0,18.0
x_RelPrStr_12M,76.5,6.5
x_IndRel_Chg1YOCF,76.0,9.0
x_Chg1YROA,75.5,5.5
x_PA52WL20DLag,75.0,26.0
x_SalesAcc,74.5,3.5
x_6MChgTgtPrc,74.5,19.5
x_GPMargin,74.0,15.0
x_DebtChg1Y,74.0,2.0
x_IndRel_SolvencyRatio,73.5,1.5
x_IndRel_PM12M1M,72.5,4.5
x_Chg1YOCF,72.5,3.5
x_DepToCapex,72.5,17.5
x_RecTurn,72.5,18.5
x_IndRel_FwdFCFPC,72.0,3.0
x_Chg4QSalesTrend,72.0,16.0
x_IndRel_CapExToAst,72.0,10.0
x_IndRel_EPSSurpC,71.5,6.5
x_IndRel_CFEV,71.5,4.5
x_AstAdjChg3YEPS,71.5,8.5
x_WCAccruals,71.0,6.0
x_CashBurn,71.0,5.0
x_IndRel_SEV,71.0,11.0
x_12QTrendTTMEPS,70.5,12.5
x_IndRel_AccrualRatioBS,70.5,6.5
x_ChgATO_2,70.5,14.5
x_52WSlope,70.0,1.0
x_IndRel_PM6M,70.0,1.0
x_IO_Level_AM,70.0,16.0
x_AdjAstAdjChg1YFCF,69.5,11.5
x_MaxRetPayoff,69.0,0.0
x_IndRel_AdjAccruals,69.0,14.0
x_ChgSalesMargin,69.0,19.0
x_PM9M,69.0,0.0
x_IndRel_ROE,68.0,5.0
x_IO_InvDuration,68.0,4.0
x_IndRel_CashEV,67.5,4.5
x_PAdjChg3YEPS,67.5,8.5
x_IndRel_FCFP,67.5,12.5
x_CashCycle,67.5,2.5
x_AdjChgEPStoSales,67.0,12.0
x_IndRel_RecTurn,67.0,8.0
x_IndRel_CFROIC,67.0,2.0
x_IndRel_PM1M,66.5,11.5
x_IndRel_CashAst,66.5,9.5
x_InvToAsset,66.0,3.0
x_RevMagFY1C,66.0,12.0
x_IndRel_EBITDAEV,66.0,10.0
x_ShareChg,65.5,13.5
x_IndRel_Chg1YOPM,65.0,2.0
x_IndRel_LTDA,64.5,2.5
x_Beta60M,64.0,5.0
x_IndRel_MaxRetPayoff,64.0,6.0
x_IndRel_EPSToSalesChg1Y,64.0,13.0
x_PM6M,63.5,5.5
x_IndRel_InvToAsset,63.5,3.5
x_IndRel_DivP,63.5,2.5
x_IndRel_DA,62.5,0.5
x_PAdjChg1YOCF,62.5,9.5
x_PrcTo260DL,62.0,10.0
x_UnexpectedRecChg,62.0,6.0
x_AdjEBITDAEV,62.0,4.0
x_IO_Level,61.5,7.5
x_IndRel_GPMargin,61.5,19.5
x_PAdjChg3YSales,61.0,6.0
