feature,importance_mean,importance_std
x_AnnVol12M,1.9684938183273997,0.13543149581028502
x_AdjFwdEPC,-1.2038766319133543,0.39288343216707555
x_IndRel_EPSEstDispFY1C,1.0662819158953298,1.0662819158953298
x_CashAst,0.7366746757102486,0.06056275806301337
x_EPSEstDispFY2C,0.5220563296149273,0.022241291888215414
x_IO_Concentration,0.4906026442306425,0.30550464781459463
x_CFAst,-0.485408316889762,0.10010489286311391
x_IndRel_EP,-0.2814710548659066,0.2814710548659066
x_SUEC,0.2670350342456128,0.07562114138181876
x_SalesToInvCap,-0.2457898347223251,0.2457898347223251
x_MVEToTL,-0.23488375329322725,0.23488375329322725
x_AssetTurn_2,0.19403244751604817,0.19403244751604817
x_EBITMargin,-0.19358421863480169,0.19358421863480169
x_CQPTTMCFtoSales,-0.1851707807852772,0.1851707807852772
x_EPSNumRevFY1C,0.1612652734619984,0.1612652734619984
x_PAdjChg3YSales,-0.15522346470087822,0.15522346470087822
x_IndRel_ShareChg,-0.1487713232408667,0.1487713232408667
x_DivToCF,-0.14081827734204216,0.14081827734204216
x_ConsQPosChginTTMCF,-0.1381252417848528,0.1381252417848528
x_60MAVGTTMROA,-0.13753133046051003,0.13753133046051003
x_Chg3YOPM,-0.13641895791692688,0.13641895791692688
x_CapExToAst,-0.12031850521872049,0.12031850521872049
x_EPSEstDispFY1C,0.11737220867219049,0.11737220867219049
x_CFEV,0.11133422353283755,0.11133422353283755
x_calendarquarter,-0.09480926596432364,0.09480926596432364
x_Chg1YOPM,0.07881555172026959,0.07881555172026959
x_DivP,-0.07437138491592318,0.07437138491592318
x_EPSToOCFChg,-0.07425656690786563,0.07425656690786563
x_6MChgTgtPrcGapEMA,0.052056681879008006,0.052056681879008006
x_IndRel_PAdjChg1YSales,-0.047093049586519525,0.047093049586519525
x_STO_6M,-0.040661905541893514,0.040661905541893514
x_DepToCapex,-0.03770367606474926,0.03770367606474926
x_ConsQPosChgTTMEPS,-0.03311505783665542,0.03311505783665542
x_AdjRev3MFY1C,0.01538254009345923,0.01538254009345923
x_IO_StabofChgHD,-0.014370163567013637,0.014370163567013637
x_IndRel_PM5D,0.011704398147063203,0.011704398147063203
x_AdjEPSNumRevFY2C,0.010443037886931078,0.010443037886931078
x_ShareChg,-0.005300227078222467,0.005300227078222467
x_IndRel_AccrualRatioBS,0.004955654319700611,0.004955654319700611
x_Chg1YLTDA,0.0,0.0
x_IndRel_AdjAccruals,0.0,0.0
x_ChgATO_2,0.0,0.0
x_PM5D,0.0,0.0
x_PSlopeSERR_26W,0.0,0.0
x_LogUnadjPrice,0.0,0.0
x_AstAdjChg1YCF,0.0,0.0
x_AstAdjChg1YOCF,0.0,0.0
x_SEV,0.0,0.0
x_6MChgTgtPrcGap,0.0,0.0
x_CFP,0.0,0.0
x_6MChgTgtPrc,0.0,0.0
x_CapAcqRatio,0.0,0.0
x_CashCycle,0.0,0.0
x_Chg1YOCF,0.0,0.0
x_IndRel_TobinQ,0.0,0.0
x_IndRel_ShortIntTrdVol,0.0,0.0
x_IndRel_AccrualRatioCF,0.0,0.0
x_AdjRevMagC,0.0,0.0
x_Chg1YROA,0.0,0.0
x_AdjEBITP,0.0,0.0
x_Chg1YTurnover,0.0,0.0
x_ChgSalestoChgEPS,0.0,0.0
x_EBITEstDisp,0.0,0.0
x_IO_NAT,0.0,0.0
x_IndRel_DepToCapex,0.0,0.0
x_Chg1YAmihud,0.0,0.0
x_RevEstDisp,0.0,0.0
x_12QTrendTTMEPS,0.0,0.0
x_14DayRSI,0.0,0.0
